Tên hoạt chất,tên khác,tên biệt dược,thành phần,dược lực,dược động học,tác dụng,chỉ định,chống chỉ định,thận trọng lúc dùng,liều lượng - cách dùng,tương tác thuốc,tác dụng ngoại ý (tác dụng phụ),quá liều,bảo quản,bao che - đóng gói,Nguồn URL
Magnesium Valproate,Magnesium Valproat,,Magnesium Valproate,"Thuốc chống động kinh, có tác dụng chủ yếu trên hệ thống thần kinh trung ương. Thực nghiệm và lâm sàng cho thấy có 2 kiểu tác dụng chống co giật: - Tác dụng trực tiếp liên quan đến nồng độ valproat trong huyết tương và trong não. - Tác dụng gián tiếp thông qua các chất chuyển hóa của valproat trong não bằng cách tác động lên các chất trung gian dẫn truyền thần kinh hoặc tác dụng trực tiếp trên màng tế bào. Giả thuyết thường được chấp nhận nhất là giả thuyết về GABA (acid g-amino butyric); theo đó có hiện tượng tăng tỷ lệ GABA sau khi dùng valproat. Valproat làm giảm các giai đoạn trung gian của giấc ngủ cùng với sự gia tăng giấc ngủ chậm","Khả dụng sinh học đạt gần 100% sau khi uống. - Phân bố chủ yếu trong máu và dịch ngoại bào. - Thời gian bán thải khoảng 15 - 17 giờ, thải trừ chủ yếu qua nước tiểu sau khi được chuyển hóa tại gan qua hiện tượng glucurono kết hợp và beta oxy hóa. - Nồng độ tối thiểu trong huyết thanh đạt hiệu quả điều trị: 40 - 100 mg/ ml. - Gắn vào protein phụ thuộc liều lượng và độ bão hòa của thuốc. - Valproat không gây ra hiện tượng cảm ứng men trong hệ thống chuyển hóa của cytochrom P450",,Động kinh toàn thể hay cục bộ: - Động kinh toàn thể: + Cơn vắng ý thức. + Cơn co cứng co giật. + Cơn giật cơ. + Cơn co cứng. + Cơn co giật. + Cơn mất trương lực. - Động kinh cục bộ: + Đơn giản. + Phức tạp. + Toàn thể hóa. Các hội chứng đặc biệt như: + Hội chứngLennox- Gastaut. + Hội chứng West. Điều trị và dự phòng tái diễn cơn hưng cảm trong rối loạn cảm xúc lưỡng cực. Co giật do sốt cao ở trẻ em: trẻ nhũ nhi hay trẻ nhỏ có nguy cơ cao và đã có ít nhất một cơn co giật. Tic ở trẻ em,"Viêm gan cấp. - Viêm gan mạn. - Tiền sử viêm gan nặng, nhất là viêm gan do thuốc. - Quá mẫn với magnesi valproat. - Rối loạn chuyển hóa porphyrin","Không nên dừng thuốc đột ngột. Kiêng rượu. Tránh lái xe và vận hành máy móc. - Thực hiện việc kiểm tra sinh hóa về chức năng gan trước khi khởi đầu điều trị và theo dõi định kỳ trong 6 tháng đặc biệt là những bệnh nhân có nguy cơ cao. - Cũng giống như đa số các thuốc chống động kinh khác, nhất là lúc bắt đầu điều trị, người ta thấy có tăng tạm thời và riêng lẻ của các men transaminase mà không có biểu hiện lâm sàng nào. Trong trường hợp này nên thực hiện một tổng kê sinh học đầy đủ (đặc biệt là tỷ lệ prothrombin), chỉnh lại liều dùng và làm lại các xét nghiệm tùy theo kết quả của các thông số sinh học. - Ở trẻ dưới 3 tuổi, chỉ nên dùng valproat đơn liệu pháp khi đã đánh giá lợi ích điều trị so với nguy cơ bị bệnh gan. - Xét nghiệm máu (công thức máu bao gồm cả đếm tiểu cầu, thời gian máu chảy và xét nghiệm đông máu toàn bộ) cần được thực hiện trước khi điều trị, cũng như trước phẫu thuật hay trong trường hợp có vết bầm máu hoặc chảy máu tự phát. - Trong trường hợp suy thận, cần lưu ý đến sự gia tăng nồng độ acid valproic tự do trong huyết thanh và khi đó phải giảm liều. - Khi có hội chứng đau bụng cấp, cần định lượng amylase máu trước khi nghĩ đến phẫu thuật vì đã có báo cáo về những trường hợp hiếm hoi bị viêm tụy cấp. - Ở trẻ em nên tránh kê toa đồng thời với các dẫn xuất salicylat. - Nên cân nhắc lợi ích/ nguy cơ khi dùng valproat cho bệnh nhân bị lupus ban đỏ rải rác. Để xa tầm tay trẻ em. SỬ DỤNG CHO PHỤ NỮ CÓ THAI VÀ CHO CON BÚ: Nguy cơ liên quan đến bệnh động kinh và thuốc chống động kinh: Người ta nhận thấy ở những người mẹ được điều trị bằng thuốc chống động kinh sẽ sinh con với tỷ lệ dị dạng từ 2 đến 3 lần cao hơn tỷ lệ dị dạng trong dân số chung (3%). Tuy nhiên, mặc dù có sự gia tăng tỷ lệ trẻ dị dạng khi dùng đa liệu pháp, nhưng mối tương quan giữa bệnh và điều trị vẫn không có gì rõ ràng để giải thích sự gia tăng này. Các dị dạng thường gặp là sứt môi hở hàm ếch và những dị dạng về tim mạch. Việc ngưng đột ngột một điều trị chống động kinh ở người mẹ có thể làm bệnh nặng hơn từ đó gây nguy hại cho con. Nguy cơ liên quan đến valproat: - Ở súc vật: thuốc có thể gây sinh quái thai ở chuột, mèo, thỏ. - Ở người: nguy cơ bị dị dạng khi dùng thuốc trong 3 tháng đầu không cao hơn các thuốc chống động kinh khác. Dựa trên những nghiên cứu riêng rẽ, valproat dường như gây ra những bất thường về đóng ống thần kinh, thoát vị màng não tủy, gai sống tách đôi... là những dị dạng có thể phát hiện trước khi sinh với tần suất là 1%. Từ những dữ liệu nêu trên: - Khi muốn có thai, phải cân nhắc lại chỉ định điều trị thuốc chống động kinh, nên bổ sung thêm acid folic. - Trong lúc mang thai, không được ngưng thuốc chống động kinh đang có hiệu quả. Nên dùng đơn liệu pháp, dùng liều thấp nhất có hiệu quả và chia làm nhiều lần trong ngày. - Phải đặc biệt theo dõi trước khi sinh để phát hiện những bất thường của ống thần kinh. Thuốc có thể vào được sữa mẹ với nồng độ thấp (1 - 10% nồng độ trong máu), nhưng cho tới nay những trẻ bú mẹ được theo dõi vẫn không thấy có biểu hiện lâm sàng nào. TÁC ĐỘNG TRÊN KHẢ NĂNG LÁI XE VÀ VẬN HÀNH MÁY MÓC: Nên thận trọng khi lái xe và vận hành máy móc vì đã có báo cáo trạng thái ngầy ngật thoáng qua, đặc biệt khi trị liệu với nhiều thuốc chống động kinh, sử dụng đồng thời với benzodiazepin hoặc rượu","Người lớn: liều đầu tiên uống 600 mg/ 24 giờ, chia làm 2 - 4 lần, tiếp theo cứ 3 ngày tăng 200 mg (tăng dần tới liều cắt được cơn). Trung bình: 20 - 30 mg/ kg trọng lượng cơ thể/ 24 giờ, chia làm 2 - 4 lần. Trẻ em: 15 - 30 mg/ kg trọng lượng cơ thể/ 24 giờ, chia làm 2 - 3 lần. Thuốc nên được dùng trong khi ăn. Không được dùng quá 2,5 g/ 24 giờ","Ảnh hưởng của valproat lên các thuốc khác: - Các thuốc an thần kinh, ức chế MAO, chống trầm cảm: Valproat làm tăng hiệu quả các thuốc trên, do đó phải giảm liều các thuốc này khi cần. - Phenobarbital: Valproat làm tăng nồng độ phenobarbital. Cần theo dõi lâm sàng trong 15 ngày đầu phối hợp thuốc và giảm liều phenobarbital khi có triệu chứng an thần. - Primidon: Valproat làm tăng nồng độ của primidon và làm tăng tác dụng không mong muốn của nó. Theo dõi lâm sàng và chỉnh liều khi cần. - Phenytoin: Valproat làm tăng nồng độ phenytoin toàn phần trong huyết tương và phenytoin tự do. - Lamotrigin: Valproat làm giảm chuyển hóa lamotrigin, do vậy cần phải chỉnh liều. Ảnh hưởng của các thuốc khác lên valproat: - Phenobarbital, phenytoin, carbamazepin làm giảm nồng độ của valproat do đó phải giảm liều theo nồng độ trong huyết tương khi điều trị phối hợp. - Mefloquin làm tăng chuyển hóa valproat và có tác dụng gây động kinh. - Khi dùng phối hợp valproat với các chất gắn kết protein mạnh như aspirin sẽ làm tăng nồng độ valproat tự do. - Nồng độ valproat tăng (do làm giảm chuyển hóa tại gan) khi dùng phối hợp với erythromycin hoặc cimetidin","Bệnh gan (xem Lưu ý đặc biệt và thận trọng khi sử dụng). - Nguy cơ gây quái thai. - Đã có những trường hợp hiếm hoi bị viêm tụy đã được báo cáo. - Trạng thái lú lẫn và co giật: Vài trường hợp có trạng thái sững sờ riêng biệt hay đi kèm với sự xuất hiện trở lại các cơn động kinh, sẽ giảm khi ngưng điều trị hay giảm liều. Hiện tượng này thường xảy ra khi dùng đa liệu pháp hay tăng liều đột ngột. - Một số bệnh nhân, khi khởi đầu điều trị, có những rối loạn tiêu hóa như: Buồn nôn, đau dạ dày, mất sau vài ngày điều trị mà không cần phải ngưng thuốc. - Một vài tác dụng không mong muốn thoáng qua và phụ thuộc liều: Rụng tóc, cơn rung với biên độ nhỏ, giảm tiểu cầu, tăng ammoniac máu mà không có sự thay đổi các xét nghiệm sinh hóa về gan. - Vài trường hợp có hiện tượng giảm riêng rẽ fibrinogen, kéo dài thời gian chảy máu mà thường không có biểu hiện trên lâm sàng. - Giảm tiểu cầu, có vài trường hợp thiếu máu, giảm bạch cầu hay giảm cả 3 dòng máu. - Tăng cân, mất kinh hay kinh nguyệt không đều. Thông báo cho thầy thuốc các tác dụng không mong muốn gặp phải khi sử dụng thuốc",,,Viên nén bao tan trong ruột,https://thuocbietduoc.com.vn/thuoc-goc-2272/magnesium-valproate.aspx
Artemisinin,Dihydroartemisinin,,Dihydro artemisinin,"Artemisinin là thuốc chống sốt rét, được phân lập từ cây Thanh hao hoa vàng (Artemisia annua L.), họ Asteriaceae. Thuốc có hiệu quả cao, thậm chí cả với ký sinh trùng sốt rét Plasmodium falciparum đã kháng cloroquin. Khác với các thuốc chống sốt rét hiện đang dùng có cấu trúc dị vòng chứa nitrogen, artemisinin là một sesquiterpen lacton có cầu nối endoperoxid. Cầu nối này rất quan trọng đối với tác dụng chống sốt rét của thuốc. Artemisinin có tác dụng mạnh diệt thể phân liệt, nhưng thực tế không có tác dụng trên thể ngoại hồng cầu, thể thoa trùng và thể giao tử. Cơ chế tác dụng của artemisinin còn chưa biết thật rõ. Thuốc tập trung chọn lọc vào tế bào nhiễm ký sinh trùng và phản ứng với hemin (hemozoin) trong ký sinh trùng. In vitro, phản ứng này hình như sinh ra các gốc hữu cơ tự do độc hại có thể phá hủy các màng của ký sinh trùng. Trong nhiều thử nghiệm lâm sàng tại Trung Quốc và Việt Nam, so sánh artemisinin với nhiều thuốc sốt rét khác, kết quả cho thấy với artemisinin thời gian cắt sốt và thời gian sạch ký sinh trùng trong máu nhanh hơn so với cloroquin, quinin, mefloquin hoặc phối hợp mefloquin/ sulphadoxin/ pyrimethamin ở người bệnh sốt rét do P. falciparum không biến chứng. Kết quả rõ nhất là với sốt rét do P. falciparum kháng cloroquin và biến chứng thể não cả ở người lớn và trẻ em. Ở 141 người bệnh thể não điều trị dùng uống qua ống thông hoặc tiêm bắp, tỷ lệ tử vong là 7%. Một nghiên cứu tương tự ở trẻ em dưới 15 tuổi, thấy tỷ lệ tử vong là 9%. Những tỷ lệ này thấp hơn so với tỷ lệ được báo cáo trong một số nghiên cứu khác sử dụng cloroquin hoặc quinin. Một trong những vấn đề chủ yếu của artemisinin và dẫn xuất là tỷ lệ tái phát cao trong vòng một tháng sau khi điều trị, nên có khuynh hướng phối hợp với mefloquin để tránh tái phát sớm","Artemisinin có thể dùng uống hoặc đặt hậu môn. Sau khi uống, artemisinin hấp thu nhanh, nồng độ đỉnh đạt được trong huyết tương trong vòng 1 giờ. Sự hấp thu qua trực tràng của hỗn dịch trong nước kém và thay đổi so với dùng uống hoặc tiêm bắp dung dịch dầu. Sau khi đặt hậu môn, liều 10 mg/kg ở người, nồng độ trong máu của artemisinin là 8,6 nanogam/ml sau 30 phút, và đạt tới nồng độ tối đa trong máu khoảng 110 nanogam/ml 6 giờ sau khi dùng thuốc. Sau khi tiêm bắp, artemisinin hấp thu chậm hơn chút ít so với khi uống hoặc tiêm tĩnh mạch, thời gian bán thải là 3,85 – 5,38 giờ. Nồng độ đỉnh trong huyết tương đạt được khoảng 2 giờ sau khi dùng. Sau khi tiêm tĩnh mạch artemisinin cho chuột, thấy một lượng đáng kể chất này trong não, chứng tỏ thuốc đi qua được hàng rào máu – não. Ðiều này có thể có liên quan đến tác dụng của artemisinin đối với sốt rét thể não. Artemisinin liên kết mạnh với protein huyết tương và với hồng cầu (hemoglobin). Sự liên kết với protein huyết tương ở người là 64%. Thuốc phân bố rất rộng vào cơ thể với thể tích phân bố ở chuột cống trắng là 1,1 lít/kg. Thực nghiệm cho thấy gan là nơi chuyển hóa chính của artemisinin. Artemisinin bị thủy phân nhanh trong cơ thể thành chất chuyển hóa còn hoạt tính là dihydroartemisinin. Người uống artemisinin sẽ cho 4 chất chuyển hóa là deoxyartemisinin, deoxydihydroartemisinin, dihydro – xydihydroartemisinin và một chất được gọi là crystal – 7 có thể phân lập được ở nước tiểu. Các chất này đều không có nhóm peroxid và đều không còn hoạt tính trên ký sinh trùng. 80% liều dùng được thải qua phân và nước tiểu trong vòng 24 giờ. Sau khi tiêm tĩnh mạch cho chuột cống trắng và thỏ, thời gian bán thải trong huyết tương của artemisinin khoảng 30 phút, còn của dihydroartemisinin là 5 – 21 giờ. Chỉ một lượng rất nhỏ artemisinin được thải nguyên dạng qua nước tiểu",,"Ðiều trị sốt rét do tất cả các loại Plasmodium, kể cả sốt rét nặng do chủng P. falciparum đa kháng. Artemisinin có hiệu quả trong điều trị sốt rét, nhưng chỉ dùng khi các thuốc chống sốt rét khác không có tác dụng và phải dùng đủ liều",,"Thời kỳ mang thai Kinh nghiệm ở người còn hạn chế, đặc biệt là trong giai đoạn đầu của thai kỳ. Nghiên cứu trên 23 người mang thai được 16 – 38 tuần dùng artemisinin, trẻ đẻ ra không thấy có tác dụng phụ có hại. Do đó, có thể dùng artemisinin cho người mang thai bị sốt rét thể não hoặc sốt rét có biến chứng ở vùng mà P. falciparum đã kháng nhiều thuốc. Thời kỳ cho con bú Hiện còn chưa biết thuốc có tiết vào sữa mẹ hay không. Tuy nhiên, nên ngừng cho trẻ bú khi đang phải điều trị bằng artemisinin","Viên nén: Viên thuốc có thể nhai và nuốt mà không có vị khó chịu. Liều người lớn và trẻ trên 6 tháng như sau: Ngày 1: 25 mg/kg, dùng một lần duy nhất. Ngày 2: 12,5 mg/kg, dùng một lần duy nhất cộng với mefloquin dạng base 15 – 25 mg/kg. Ngày 3: 12,5 mg/kg, dùng một lần duy nhất. Ở Việt Nam, liều artemisinin cho người lớn như sau: Ngày 1: 1000 mg (4 viên) chia làm 2 lần. Sau đó 500 mg/ngày, trong 4 ngày liên tiếp. Viên đạn: Người lớn: Ngày 1: 1250 mg chia làm hai lần. Sau đó 750 mg/ngày, trong 2 – 3 ngày liên tiếp","Có hiệp đồng tác dụng giữa artemisinin và mefloquin hoặc tetracyclin cả trên in vitro với P. falciparum và in vivo với P. berghei. Sự phối hợp giữa artemisinin với cloroquin hoặc cloroquin với pyrimethamin có tính chất đối kháng in vitro chống lại P. falciparum. Tương kỵ Artemisinin có thể phối hợp với các thuốc chống sốt rét khác, đặc biệt là với mefloquin hoặc với sulfadoxin và pyrimethamin. Ðộ ổn định và bảo quản Bảo quản ở nơi mát, đồ đựng đậy nút kín, tránh ánh sáng","Hàng triệu người đã dùng artemisinin, nhưng chưa thấy có khuyến cáo về các phản ứng có hại nghiêm trọng. Các tác dụng có hại thường là nhẹ và thoáng qua, gồm tác hại trên hệ tiêu hóa (như buồn nôn, nôn, đau bụng, tiêu chảy), nhức đầu, chóng mặt, hoa mắt, đặc biệt là sau khi uống. Những cơn sốt ngắn do thuốc cũng đã được báo cáo trong một vài nghiên cứu. Dùng đường hậu môn, người bệnh có thể bị đau mót, đau bụng và tiêu chảy. Hướng dẫn cách xử trí ADR Vấn đề cần thiết là người bệnh phải dùng đủ liều để tránh tái phát. Nếu bị sốt rét nặng, có thể kéo dài đợt điều trị đến 7 ngày. Thường dùng artemisinin khi các thuốc chống sốt rét khác không có hiệu quả",,,,https://thuocbietduoc.com.vn/thuoc-goc-2271/artemisinin.aspx
Lumefantrine + Artemether,Lumefantrin,,"Lumefantrine,Artemether",,,,"Điều trị sốt rét do tất cả các loại Plasmodium, sốt rét do P. fal- ciparum kháng thuốc","Phụ nữ có thai và cho con bú ; tiền sử gia đình có người chết đột tử; có rối loạn về điện tâm đồ (QT kéo dài);, loạn nhịp tim, suy tim","Phải chú ý đến rối loạn điện giải, khi dùng đồng thời các thuốc kéo dài khoảng QT; phải giám sát người bệnh không ăn được (có nguy cơ bệnh nặng lên); suy gan và suy thận nặng. Tương tác thuốc. Chú ý khi lái xe hoặc vận hành máy vì có thể bị chóng mặt","( Tính theo Viên nén 20 mg artemether và 120 mg lumefantrin) Người lớn và trẻ em trên 12 tuổi và cân nặng trên 35 kg: Khởi đầu uống 4 viên, sau đó uống tiếp 5 liều, mỗi liều 4 viên cách 8, 24, 36, 48 và 60 giờ (tổng liều 24 viên trong 60 giờ) Trẻ em có cân nặng 10 - 14 kg: Khởi đầu 1 viên, sau đó uống tiếp 5 liều, mỗi liều 1 viên cách 8, 24, 36, 48 và 60 giờ (tổng liều 6 viên trong 60 giờ). Trẻ em cân nặng 15 - 24 kg: Khởi đầu 2 viên, sau đó uống tiếp 5 liều, mỗi liều 2 viên cách 8, 24, 36, 48 và 60 giờ (tổng liều 12 viên trong 60 giờ). Trẻ em cân nặng 25 - 34 kg: Khởi đầu 3 viên, sau đó uống tiếp 5 liều, mỗi liều 3 viên cách 8, 24, 36, 48 và 60 giờ (tổng liều 18 viên trong 60 giờ). Tác dụng không mong muón: Đau bụng, buồn nôn, nôn, chán ăn, ỉa chảy; đau đầu, chóng mặt, mất ngủ; đánh trống ngực, đau cơ; ho, mệt mỏi, suy nhược; ngứa, phát ban",,,và,,Viên nén 20 mg artemether và 120 mg lumefantrin; Viên nén Artemether 40mg/Lumefantrine 240mg;,https://thuocbietduoc.com.vn/thuoc-goc-2270/lumefantrine-artemether.aspx
Cloroquin,Chloroquine,,Chloroquine phosphate,"Chloroquine phosphate có tác dụng tốt trên các thể hồng cầu của P. vivax, P. malariae và hầu hết các chủng P. falciparum (trừ thể giao tử);. Cơ chế tác dụng chống sốt rét còn chưa rõ nhưng có thể do thuốc tác động đến quá trình tiêu hóa haemoglobin bằng cách tăng pH trong nang của tế bào ký sinh trùng sốt rét hoặc cản trở sự tổng hợp nucleoprotein của ký sinh trùng sốt rét","Chloroquine phosphate hấp thu nhanh và gần như hoàn toàn ở đường tiêu hóa. Thuốc thải trừ chậm nhưng tăng lên khi nước tiểu bị acid hóa, khoảng hơn một nửa lượng Chloroquine phosphate thải trừ qua đường nước tiểu ở dạng không biến đổi",,Điều trị sốt rét cấp tính do P. malariae và P. falciparum nhạy cảm; P. vivax và P. ovale (tiếp theo bằng primaquin để loại bỏ thể trong gan); dự phòng sốt rét cho người mang thai và người chưa có miễn dịch nhưng có nguy cơ; viêm đa khớp dạng thấp,"Mẫn cảm với các hợp chất 4-aminoquinolein; bệnh võng mạc, sốt rét do P. falciparum đã kháng cao với cloroquin","Suy gan, suy thận; rối loạn chuyển hoá por- phyrin; bệnh vẩy nến, tiền sử động kinh; người bệnh thiếu hụt enzym G6PD; phụ nữ có thai và cho con bú ; người nghiện rượu; rối loạn tiêu hoá nặng. có thể làm tăng bệnh nhược cơ, tránh điều trị đồng thời với các thuốc độc cho gan","Điều trị sốt rét: Uống: Người lớn và trẻ em 10 mg/kg, 6 - 8 giờ sau: 5 mg/kg; sau đó 5 mg/kg mỗi ngày trong 2 ngày sau (hoặc 10 mg/kg trong 2 ngày; tiếp theo là 5 mg/kg ngày trong ngày thứ 3); tổng liều: 25 mg/kg trong 3 ngày. Tiêm: Chỉ tiêm khi người bệnh không thể uống được, nhưng nên chọn quinin để điều trị sốt rét do P. falciparum. Tiêm tĩnh mạch nhỏ giọt hết sức chậm (ít nhất 8 giờ): người lớn và trẻ em: liều đầu tiên 10 mg/kg, sau đó truyền 2 lần 5 mg/kg cách nhau 8 giờ (ngay khi người bệnh có thể uống được, phải ngừng truyền và cho uống để tổng liều là 25 mg/kg trong 3 ngày). Tiêm bắp hoặc tiêm dưới da (khi không tiêm truyền được tĩnh mạch): Người lớn và trẻ em: 2,5 mg/kg, cách nhau 4 giờ hoặc 3,5 mg/kg cách nhau 6 giờ (cho tới tổng liều 25 mg/kg). Liều tiêm bắp hoặc tiêm dưới da 1 lần không bao giờ được quá 5 mg/kg vì trẻ em đặc biệt nhạy cảm với tác dụng của 4-aminoquinolon. Dự phòng sốt rét Uống: Người lớn 300 mg, 1 lần mỗi tuần. Trẻ em: 5 mg/kg, 1 lần mỗi tuần xem thêm mục Dự phòng bệnh sốt rét ở trên. Dự án quốc gia phòng chống sốt rét Việt Nam dùng viên cloroquin phosphat 250 mg (tương ứng 150 mg cloroquin base). Điều trị sốt rét: Ngày đầu và ngày thứ 2 dùng liều 10 mg/kg, ngày thứ 3 dùng liều 5 mg/kg",,"– Khi sử dụng liều cao và kéo dài, Chloroquine phosphate có ảnh hưởng lên thị lực của người bệnh nhưng ảnh hưởng này thường hết khi ngừng dùng thuốc. – Các tác dụng không mong muốn khác: + Thường gặp: đau đầu, phát ban, ngứa, nôn, buồn nôn, tiêu chảy. + Ít gặp: lo âu, nhìn mờ, bệnh giác mạc, giảm thị lực, … + Hiếm gặp: điếc, da nhạy cảm với ánh sáng, giảm tiểu cầu và giảm bạch cầu trung tính,… Thông báo cho bác sỹ những tác dụng không mong muốn gặp phải khi sử dụng thuốc",và,,"Viên nén, tính theo cloroquin base 100 mg, 150 mg; Siro, tính theo cloroquin base 50 mg/5ml; Dung dịch tiêm, tính theo cloroquin base 40 mg/ml, ống 5ml",https://thuocbietduoc.com.vn/thuoc-goc-2269/cloroquin.aspx
Sulfadoxine + Pyrimethamine,sulfadoxine,,"sulfadoxin,pyrimethamin",,,,Điều trị sốt rét do P. falciparum kháng cloroquin (thường phối hợp với quinin); không khuyến cáo dùng để phòng bệnh sốt rét,"Mẫn cảm với thuốc, suy gan và suy thận nặng; rối loạn tạo máu; trẻ dưới 2 tháng tuổi","Phải ngừng thuốc ngay khi có rối loạn về huyết học; đau họng; ngoại ban; loét miệng; khó thở; thiếu hụt G6PD; dễ bị thiết hụt acid folic; mang thai, cho con bú","Điều trị sốt rét: Uống một liều duy nhất Người lớn: 75 mg pyrimethamin và 1,5g sulfadoxin (3 viên). Trẻ em: 5 - 10 kg: 1/2 viên; 11 - 20 kg: 1 viên; 21 - 30 kg: 1 viên 1/2; 31 - 45 kg: 2 viên",,"Ngoại ban, mày đay; rụng tóc nhẹ, hiếm có hồng ban đa dạng; buồn nôn, ỉa chảy; hiếm gặp: nhức đầu, chóng mặt; sốt, viêm gan, mất bạch cầu hạt, giảm tiểu cầu, thiếu máu nguyên hồng cầu khổng lồ, ban xuất huyết; thâm nhiễm phổi; viêm đa thần kinh","và xử trí Triệu chứng: Khi nhiễm độc cấp, thường gặp những rối loạn trên hệ tiêu hoá hoặc trên hệ thần kinh kể cả co giật, sau đó có thể bị ức chế hô hấp, truỵ tuần hoàn và tử vong trong vòng vài giờ",,Viên nén : 25 mg pyrimethamin và 500 mg sulfadoxin,https://thuocbietduoc.com.vn/thuoc-goc-2268/sulfadoxine-pyrimethamine.aspx
Ciclopirox olamine,Ciclopirox olamin,Mycoster,Ciclopirox olamine,Thuốc kháng nấm dùng ngoài,,,Ðiều trị hăm kẽ ngón chân do nấm da. Dạng chế phẩm này không được chỉ định cho các vùng nếp gấp khác,Tiền sử dị ứng với một trong các thành phần của thuốc,"LÚC CÓ THAI VÀ LÚC NUÔI CON BÚ Do chưa có các nghiên cứu về tác dụng có hại của thuốc trên phụ nữ mang thai, không nên dùng thuốc này trong thai kỳ","Rắc (bột thuốc);, bôi thuốc (gel , kem...) lên vùng bị nấm 1 lần mỗi ngày. Thời gian điều trị khoảng 4 tuần","Phản ứng tại chỗ: có thể có phản ứng dị ứng hay bất dung nạp: nhói đau, kích ứng, đỏ, ngứa",,,"Tránh ẩm, ở nhiệt độ dưới 25 độ C",Kem dùng ngoài; Dung dịch thoa da; Thuốc bột thoa da;Gel bôi; Hỗn dịch dùng ngoài,https://thuocbietduoc.com.vn/thuoc-goc-2267/ciclopirox-olamine.aspx
