Drug Name,Registration Number,Dosage Form,Category,Ingredients,Packaging,Active Ingredients,Indications,Contraindications,Dosage and Administration,Side Effects,Drug Interactions,Source URL,Manufacturer,Registrant
DuoAPC Fort,VD-29672-18,Viên nén bao phim,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm",Lamivudin 150 mg; Zidovudin 300mg; Nevirapin 200 mg,"Hộp 1 vỉ, 3 vỉ, 10 vỉ x 10 viên","Lamivudine (150 mg), Nevirapine (200 mg), Zidovudine (300mg)","Điều trị nhiễm HIV ở người lớn & trẻ từ 12 tuổi trở lên, làm tăng khả năng miễn dịch. Thuốc được sử dụng riêng hay với các loại thuốc trị virus HIV khác để giúp kiểm soát sự lây nhiễm HIV. Thuốc giúp giảm lượng HIV trong cơ thể để hệ thống miễn dịch có thể làm việc tốt hơn. Điều này làm giảm nguy cơ bị các biến chứng HIV (như các nhiễm trùng mới, ung thư); và cải thiện chất lượng cuộc sống của bạn. Lamivudine,Nevirapin và zidovudine đều thuộc nhóm thuốc ức chế men (enzyme) sao chép ngược nucleotide","Quá mẫn với thành phần thuốc, bệnh nhân có bạch cầu trung tính thấp và trẻ < 12 tuổi","Theo chỉ định của bác sĩ; Người lớn & trẻ > 12 tuổi: 1 viên x 2 lần /ngày. Chỉnh liều khi suy thận, chỉnh liều zidovudin khi bị suy gan nặng","Nhức đầu, mệt mỏi, khó chịu, rối loạn tiêu hoá, chuột rút",Tránh dùng với ribavirin hay stavudin,https://thuocbietduoc.com.vn/thuoc-56025/duoapc-fort.aspx,Công ty cổ phần dược phẩm Ampharco U.S.A - VIETNAM,
Euroseafox dạng viên nang cứng,VN-12288-11,Viên nang cứng,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm",Cefpodoxim proxetil,Hộp 3 vỉ x 4 viên,Cefpodoxime (100mg Cefpodoxime),"Cefpodoxime được chỉ định để điều trị các nhiễm khuẩn sau đây : - Nhiễm khuẩn hô hấp trên bao gồm viêm tai giữa cấp, viêm xoang, viêm amiđan và viêm họng. - Viêm phổi cấp tính mắc phải trong cộng đồng. - Nhiễm lậu cầu cấp chưa có biến chứng. - Nhiễm khuẩn đường tiểu chưa có biến chứng. - Nhiễm khuẩn da và cấu trúc da",,"Người lớn: - Nhiễm khuẩn hô hấp trên, kể cả viêm amiđan và viêm họng: 100 mg mỗi 12 giờ trong 10 ngày. - Viêm phổi cấp tính mắc phải trong cộng đồng: 200 mg mỗi 12 giờ trong 14 ngày. - Nhiễm lậu cầu cấp chưa có biến chứng: liều duy nhất 200 mg. - Nhiễm khuẩn đường tiểu chưa có biến chứng: 100 mg mỗi 12 giờ trong 7 ngày. - Nhiễm khuẩn da và cấu trúc da: 400 mg mỗi 12 giờ trong 7 - 14 ngày. Trẻ em: - Viêm tai giữa cấp tính: 10 mg/kg/ngày (tối đa 400 mg/ngày chia làm 2 lần) trong 10 ngày. - Viêm họng và viêm amiđan: 10 mg/kg/ngày (tối đa 200 mg/ngày chia làm 2 lần) trong 10 ngày. - Cefpodoxime nên được chỉ định cùng với thức ăn. Ở các bệnh nhân suy thận (độ thanh thải creatinine dưới 30 ml/phút), khoảng cách giữa liều nên được tăng đến 24 giờ. - Không cần phải điều chỉnh liều ở các bệnh nhân xơ gan","Tác dụng phụ được ghi nhận trong các thử nghiệm lâm sàng thường nhẹ và thoáng qua, bao gồm: đi tiêu chảy, buồn nôn, nôn ói, đau bụng, viêm đại tràng và đau đầu. Hiếm khi xảy ra phản ứng quá mẫn, nổi ban, chứng ngứa, chóng mặt, chứng tăng tiểu cầu, chứng giảm tiểu cầu, giảm bạch cầu hoặc tăng bạch cầu ưa eosin","Nồng độ trong huyết tương giảm khoảng 30% khi Cefpodoxime proxetil được chỉ định cùng với thuốc kháng acid hoặc ức chế H2. Khi chỉ định Cefpodoxime đồng thời với hợp chất được biết là gây độc thận, nên theo dõi sát chức năng thận. Nồng độ cefpodoxime trong huyết tương gia tăng khi chỉ định Cefpodoxime với probenecid. Thay đổi các giá trị xét nghiệm: Cephalosporins làm cho thử nghiệm Coomb trực tiếp dương tính",https://thuocbietduoc.com.vn/thuoc-39097/euroseafox.aspx,"Navana Pharm., Ltd - BANGLADESH",Công ty TNHH Dược phẩm Huy Nhật - VIETNAM
Cefules 500,VN-11448-10,Viên nén bao phim,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm",Cefuroxime Axetil,Hộp 2 vỉ x 10 viên,Cefuroxime (500mg Cefuroxime),"Nhiễm khuẩn đường hô hấp dưới như viêm phổi, viêm phế quản cấp và mạn. Nhiễm khuẩn đường hô hấp trên như nhiễm khuẩn tai, mũi, họng như viêm tai giữa, viêm xoang, viêm amydale, viêm họng. Nhiễm khuẩn niệu- sinh dục: viêm bể thận, viêm bàng quang, viêm niệu đạo, nhiễm khuẩn da và mô mềm như mụn nhọt, mủ da, chốc lở. Bệnh lậu; viêm niệu đạo cấp không biến chứng do lậu cầu và viêm cổ tử cung",Không dùng cho bệnh nhân nhạy cảm với kháng sinh nhóm Cephalosporin,"Người lớn: Trong bệnh viêm phế quản và viêm phổi 500mg x 2 lần/ngày. Trong đa số các nhiễm trùng: 250mg x 2 lần /ngày. Trong nhiễm trùng đường niệu, dùng liều 125mg x 2 lần/ngày. Bệnh lậu không biến chứng: liều duy nhất 1g Trẻ em: Liều thông thường là 125mg x 2 lần/ngày hay 10mg/kg x 2 lần/ngày.Liều tối đa 250mg/ngày. Trẻ em trên 2 tuổi mắc bệnh viêm tai giữa: 250mg x 2 lần/ngày hay 15mg/kg x 2 lần/ngày, tới tối đa 500mg/ngày","Đa số các tác dụng ngoại ý do cefuroxim đều nhẹ và chỉ thoáng qua: buồn nôn, nôn, đau bụng, viêm đại tràng giả. Tăng bạch cầu ưa eosin và tăng thoáng qua các men gan",Probenecid làm chậm sự bài tiết cefuroxim,https://thuocbietduoc.com.vn/thuoc-37737/cefules-500.aspx,Maxim Pharmaceuticals Pvt. Ltd. - INDIA,"Yeva Therapeutics Pvt., Ltd - India"
Nefitaxime,VN-3424-07,Bột pha tiêm-1g,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm",Cefotaxime,Hộp 1 lọ + 1 ống dung môi,Cefotaxime (1g),"Nhiễm trùng máu, nhiễm khuẩn xương, khớp, viêm màng tim do cầu khuẩn Gr(+) & vi khuẩn Gr(-), viêm màng não. - Nhiễm khuẩn da & mô mềm, ổ bụng, phụ khoa & sản khoa, hô hấp dưới, tiết niệu, lậu. - Dự phòng nhiễm khuẩn sau phẫu thuật","Quá mẫn với cephalosporin, phụ nũ có thai & cho con bú","Người lớn: + Nhiễm khuẩn không biến chứng 1 g/12 giờ, tiêm IM hay IV. + Nhiễm khuẩn nặng, viêm màng não 2 g/6 - 8 giờ, tiêm IM hay IV. + Lậu không biến chứng liều duy nhất 1 g, tiêm IM. + Dự phòng nhiễm khuẩn phẫu thuật 1 g, tiêm 30 phút trước mổ. - Trẻ em: + Trẻ 2 tháng hoạc < 12 tuổi 50 mg - 150 mg/kg/ngày, chia làm 3 - 4 lần, Tiêm IM hay IV. + Sơ sinh > 7 ngày 75 - 150 mg/kg/ngày, chia làm 3 lần, tiêm IV. + Trẻ sinh non & sơ sinh < 7 ngày 50 mg/kg/ngày, chia làm 2 lần, tiêm IV. - Suy thận ClCr < 10 mL: giảm nửa liều","Quá mẫn, sốt, tăng bạch cầu ái toan. - Buồn nôn, nôn, đau bụng hay tiêu chảy, viêm đại tràng giả mạc. - Thay đổi huyết học. - Nhức đầu, hoa mắt, ảo giác. - Loạn nhịp tim","Probenecid, azlocillin, fosfomycin",https://thuocbietduoc.com.vn/thuoc-6208/nefitaxime.aspx,"M.S Overscas Laboratories Pvt., Ltd - India","Brawn Laboratories., Ltd - India"
Adfiko,VN1-044-07,Viên nén,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm",Adefovir dipivoxil,Hộp 3 vỉ x 10 viên,Adefovir (10mg),"Adefovir được chỉ định điều trị viêm gan B mạn tính ở người lớn có bằng chứng về sự nhân lên của virus hoạt động và có tăng lâu dài các aminotransferase trong huyết thanh hoặc có bệnh mô tiến triển. Đặc tính dược lực học: Adefovir là một thuốc kháng virus có khả năng ức chế các enzym cần thiết để virus viêm gan siêu vi B (HBV); và HIV sinh sản. Các virus như HIV và HBV sử dụng vật liệu di truyền của tế bào cơ thể để tạo thêm virus lan nhiễm cho các tế bào khác. Adefovir can thiệp vào vòng đời của HBV để ngăn chặn sự tạo thêm virus. Adefovir gắn kết đặc hiệu với các enzym DNA polymerase, vì thế HBV không thể xây dựng vật liệu di truyền cần thiết để tạo thêm virus và nhiễm thêm cho các tế bào khác. Đặc tính","Viên nén adefovir có chống chỉ định ở các bệnh nhân gan to, phân có mỡ, bệnh acid máu do chuyển hóa và có tiền sử mẫn cảm với bất kỳ thành phần nào của thuốc",Viêm gan siêu vi B mạn tính: Uống 1 viên/ ngày,"Các tác dụng không mong muốn thông thường nhất là: Suy nhược, đau đầu, đau bụng, tiêu chảy, buồn nôn, khó tiêu, đầy hơi, tăng creatinin và giảm phosphat huyết. Tiêu hóa: viêm tụy. Hệ thống cơ xương và mô liên kết: bệnh cơ, loãng xương (cả hai đều liên quan với bệnh ống lượn gần). Thận và tiết niệu: suy thận, hội chứng fanconi, bệnh ống lượn gần. Đã có báo cáo tăng nồng độ men gan và đợt kịch phát cấp tính viêm gan sau khi ngừng adefovir. Nhiễm acid lactic, thường liên quan với gan to nghiêm trọng và nhiễm mỡ có thể gặp khi sử dụng các thuốc đồng đẳng nucleosid một mình hoặc với thuốc kháng retrovirus. Thông báo cho thầy thuốc các tác dụng không mong muốn gặp phải khi sử dụng thuốc","In vivo, adefovir dipivoxil được chuyển hóa nhanh thành adefovir. In vivo, ở nồng độ rất cao (trên 4000 lần), adefovir không ức chế bất kỳ enzym thông thường nào ở người CYP450, CYP1A2, CYP2C9, CYP2C19, CYP2D6 và CYP3A4. Adefovir không là chất nền cho những enzym này. Tuy nhiên, chưa biết là adefovir có gây kích thích CYP450 hay không. Dựa trên các kết quả thử nghiệm in vitro và đường thải trừ qua thận của adefovir, ít có khả năng có tương tác qua trung gian CYP450 giữa các thuốc khác với adefovir làm chất ức chế hay chất nền. Không nên sử dụng đồng thời adefovir và tenofovir disoproxil fumarat. Phải theo dõi sát bệnh nhân khi sử dụng adefovir cùng với thuốc bài tiết qua thận hoặc thuốc có ảnh hưởng đến chức năng thận",https://thuocbietduoc.com.vn/thuoc-1215/adfiko.aspx,IKO Overseas - India,Công ty TNHH Dược phẩm Huy Cường - VIETNAM
Nystatin,VNB-4067-05,Viên nén,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm",Nystatin,Hộp 1 vỉ x 10 viên nén,Nystatin (-),"Dự phòng và điều trị nhiễm nấm Candida albicans ở niêm mạc miệng và hầu: tưa lưỡi, viêm miệng, viêm họng. - Bệnh do candida ở thực quản, dạ dày, ruột",Tiền sử quá mẫn với nystatin,"Nhiễm nấm Candida ở đường ruột, thực quản : uống 1-2 viên/ lần, ngày 3-4 lần - Nhiễm nấm Candida ở niêm mạc miệng : nghiền viên thuốc ra trước khi sử dụng để thuốc tiếp xúc trực tiếp với chỗ tổn thương","Ít gặp : buồn nôn, nôn, ỉa chảy, rối loạn tiêu hóa sau khi uống thuốc, nhất là khi sử dụng liều quá 5 triệu đơn vị 1 ngày. Thông tin về hoạt chất: Nystatin Thuốc này chứa hoạt chất Nystatin . Để biết thêm thông tin chi tiết về cơ chế tác dụng, dược lực học, dược động học của hoạt chất này, vui lòng xem: Xem chi tiết hoạt chất Nystatin",,https://thuocbietduoc.com.vn/thuoc-16854/nystatin.aspx,Công ty cổ phần Dược phẩm Dược liệu Pharmedic - VIETNAM,
Lincobic Inj.,VN-13326-11,Dung dịch tiêm,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm",Lincomycin HCl,Hộp 50 ống 2ml,Lincomycin (Lincomycin HCl 600m),"Nhiễm khuẩn nặng ở tai mũi họng, phế quản - phổi, miệng, da, sinh dục, xương khớp, ổ bụng, nhiễm khuẩn huyết","Quá mẫn với thuốc hoặc clindamycin. - Hen suyễn, viêm màng não, phụ nữ có thai hoặc nuôi con bú, trẻ sơ sinh < 1 tháng. - Nhiễm khuẩn kèm Candida albicans","Tiêm IM: + Người lớn: 600 - 1800 mg/24 giờ. + Trẻ từ 30 ngày trở lên: 10 - 20 mg/kg/24 giờ. - Tiêm truyền IV, không tiêm trực tiếp: pha trong NaCl 0.9% hoặc Glucose 5%. + Người lớn: 600 mg x 2 - 3 lần/ngày. + Trẻ từ 30 ngày trở lên: 10 - 20 mg/kg/ngày chia 2 - 3 lần","Kích ứng & đau cứng chỗ tiêm; giảm bạch cầu trung tính, mất bạch cầu hạt; phù thần kinh mạch, sốc phản vệ. - Khi tiêm IV quá nhanh: hạ HA, ngừng tim (hiếm);",Ðối kháng với erythromycin,https://thuocbietduoc.com.vn/thuoc-38699/lincobic-inj.aspx,"HVLS Co., Ltd. - KOREA","Phil International Co., Ltd - KOREA"
C Tax T,VN-7359-03,Viên nén bao phim,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm",Cefixime,Hộp lớn 15 hộp nhỏ x 1 vỉ x 10 viên,Cefixime (100mg),"Viêm tai giữa, viêm họng, viêm amidan, viêm phế quản, viêm phổi cấp & mãn tính. - Nhiễm trùng tiết niệu - sinh dục, bệnh lậu, da & mô mêm. - Điều trị thương hàn. - Dự phòng nhiễm trùng phẫu thuật",Quá mẫn với cephalosporin,"Người lớn & trẻ > 12 tuổi: 50 - 100 mg x 2 lần/ngày, có thể tăng lên 200 mg x 2 lần/ngày. - Nhiễm khuẩn đường tiểu do lậu liều duy nhất 400 mg. Suy thận: giảm liều","Rối loạn tiêu hoá, nhức đầu, nổi mẫn, mề đay, ngứa, sốt, đau khớp. giảm tiểu cầu, giảm bạch cầu, tăng bạch cầu ái toan, thay đổi chức năng gan, thận",Warfarin,https://thuocbietduoc.com.vn/thuoc-5719/c-tax-t.aspx,Emcure Pharmaceuticals Ltd. - INDIA,
Ametrazol spira,VD-4777-08,Viên bao phim,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm","Spiramycin , Metronidazole",Hộp 2 vỉ x 10 viên,"Spiramycin (-), Metronidazole (-)","Nhiễm trùng răng miệng cấp, mạn tính hoặc tái phát như áp-xe răng, viêm tấy, viêm mô tế bào quanh xương hàm, viêm quanh thân răng, viêm nướu , viêm nha chu, viêm miệng, viêm tuyến mang tai, viêm dưới hàm... Phòng nhiễm khuẩn răng miệng sau phẫu thuật","Mẫn cảm với Metronidazol, dẫn xuất Imidazol hoặc Acetyl Spiramycin Phụ nữ đang cho con bú","Người lớn: 4 - 6 viên/ngày, chia 2 - 3 lần. - Trẻ 10 - 15 tuổi: 1 viên x 3 lần/ngày. - Trẻ 5 - 10 tuổi: 1 viên x 2 lần/ngày","Rối loạn tiêu hoá: Đau dạ dày, buồn nôn, nôn mửa, tiêu chảy. - Phản ứng dị ứng: nổi mề đay. - Vị kim loại trong miệng, viêm lưỡi, viêm miệng. Giảm bạch cầu vừa phảI, hồi phục ngay sau khi ngưng dùng thuốc. - Hiếm thấy và liên quan đến thời gian điều trị kéo dài: chóng mặt, mất phối hợp, mất điều hoà, dị cảm, viêm đa dây thần kinh cảm giác và vận động. - Tiết niệu: Nước tiểu có màu nâu đỏ. Thông báo cho bác sĩ những tác dụng không mong muốn khác gặp phải khi dùng thuốc","– Thuốc có chứa Acetyl Spiramycin nên không dùng đồng thời với thuốc uống ngừa thai vì làm mất tác dụng của thuốc tránh thai. – Thuốc có chứa Metronidazol: + Khi dùng đồng thời với Disulfiram gây tác dụng độc với thần kinh như loạn thần, lú lẫn. + Làm tăng độc tính của các thuốc chống đông dùng đường uống (như warfarin); và tăng nguy cơ xuất huyết do giảm sự dị hóa ở gan. Khi dùng phối hợp phải kiểm tra thường xuyên hàm lượng Prothrombin, điều chỉnh liều dùng của thuốc chống đông. + Làm tăng tác dụng của vecuronium (thuốc giãn cơ) khi dùng cùng. + Khi dùng đồng thời với Lithi làm tăng nồng độ Lithi trong máu, gây độc. + Làm tăng độc tính của fluorouracil do làm giảm sự thanh thải. + Khi dùng phối hợp với rượu gây hiệu ứng Antabuse (nóng, đổ, nôn mửa, tim đập nhanh)",https://thuocbietduoc.com.vn/thuoc-24521/ametrazol-spira.aspx,Công ty dược phẩm OPV - VIETNAM,
Cefpodoxim 100mg,VD-26262-17,Viên nén bao phim,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm",Cefpodoxim (dưới dạng Cefpodoxim proxetil) 100mg,Hộp 1 vỉ x 10 viên,Cefpodoxime (100mg),"Cefpodoxime được chỉ định để điều trị các nhiễm khuẩn sau đây : - Nhiễm khuẩn hô hấp trên bao gồm viêm tai giữa cấp, viêm xoang, viêm amiđan và viêm họng. - Viêm phổi cấp tính mắc phải trong cộng đồng. - Nhiễm lậu cầu cấp chưa có biến chứng. - Nhiễm khuẩn đường tiểu chưa có biến chứng. - Nhiễm khuẩn da và cấu trúc da",Cefpodoxime Cefpodoxime proxetil được chống chỉ định ở các bệnh nhân có tiền sử nhạy cảm với cefpodoxime proxetil,"Người lớn: - Nhiễm khuẩn hô hấp trên, kể cả viêm amiđan và viêm họng: 100 mg mỗi 12 giờ trong 10 ngày. - Viêm phổi cấp tính mắc phải trong cộng đồng: 200 mg mỗi 12 giờ trong 14 ngày. - Nhiễm lậu cầu cấp chưa có biến chứng: liều duy nhất 200 mg. - Nhiễm khuẩn đường tiểu chưa có biến chứng: 100 mg mỗi 12 giờ trong 7 ngày. - Nhiễm khuẩn da và cấu trúc da: 400 mg mỗi 12 giờ trong 7 - 14 ngày. Trẻ em: - Viêm tai giữa cấp tính: 10 mg/kg/ngày (tối đa 400 mg/ngày chia làm 2 lần) trong 10 ngày. - Viêm họng và viêm amiđan: 10 mg/kg/ngày (tối đa 200 mg/ngày chia làm 2 lần) trong 10 ngày. - Cefpodoxime nên được chỉ định cùng với thức ăn. Ở các bệnh nhân suy thận (độ thanh thải creatinine dưới 30 ml/phút), khoảng cách giữa liều nên được tăng đến 24 giờ. - Không cần phải điều chỉnh liều ở các bệnh nhân xơ gan","Tác dụng phụ được ghi nhận trong các thử nghiệm lâm sàng thường nhẹ và thoáng qua, bao gồm: đi tiêu chảy, buồn nôn, nôn ói, đau bụng, viêm đại tràng và đau đầu. Hiếm khi xảy ra phản ứng quá mẫn, nổi ban, chứng ngứa, chóng mặt, chứng tăng tiểu cầu, chứng giảm tiểu cầu, giảm bạch cầu hoặc tăng bạch cầu ưa eosin","Nồng độ trong huyết tương giảm khoảng 30% khi Cefpodoxime proxetil được chỉ định cùng với thuốc kháng acid hoặc ức chế H2. Khi chỉ định Cefpodoxime đồng thời với hợp chất được biết là gây độc thận, nên theo dõi sát chức năng thận. Nồng độ cefpodoxime trong huyết tương gia tăng khi chỉ định Cefpodoxime với probenecid. Thay đổi các giá trị xét nghiệm: Cephalosporins làm cho thử nghiệm Coomb trực tiếp dương tính",https://thuocbietduoc.com.vn/thuoc-54223/cefpodoxim-100mg.aspx,Công ty cổ phần Dược phẩm Tipharco Tiền Giang - VIETNAM,
