Drug Name,Registration Number,Dosage Form,Category,Ingredients,Packaging,Active Ingredients,Indications,Contraindications,Dosage and Administration,Side Effects,Drug Interactions,Source URL,Manufacturer,Registrant
Goldcefo,VN-18874-15,Bột pha tiêm,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm",Cefotaxim (dưới dạng Cefotaxim natri) 1g,Hộp 10 lọ,Cefotaxime (-),"Nhiễm trùng máu, nhiễm khuẩn xương, khớp, viêm màng tim do cầu khuẩn Gr(+) & vi khuẩn Gr(-), viêm màng não. - Nhiễm khuẩn da & mô mềm, ổ bụng, phụ khoa & sản khoa, hô hấp dưới, tiết niệu, lậu. - Dự phòng nhiễm khuẩn sau phẫu thuật","Quá mẫn với cephalosporin, phụ nũ có thai & cho con bú","Người lớn: + Nhiễm khuẩn không biến chứng 1 g/12 giờ, tiêm IM hay IV. + Nhiễm khuẩn nặng, viêm màng não 2 g/6 - 8 giờ, tiêm IM hay IV. + Lậu không biến chứng liều duy nhất 1 g, tiêm IM. + Dự phòng nhiễm khuẩn phẫu thuật 1 g, tiêm 30 phút trước mổ. - Trẻ em: + Trẻ 2 tháng hoạc < 12 tuổi 50 mg - 150 mg/kg/ngày, chia làm 3 - 4 lần, Tiêm IM hay IV. + Sơ sinh > 7 ngày 75 - 150 mg/kg/ngày, chia làm 3 lần, tiêm IV. + Trẻ sinh non & sơ sinh < 7 ngày 50 mg/kg/ngày, chia làm 2 lần, tiêm IV. - Suy thận ClCr < 10 mL: giảm nửa liều","Quá mẫn, sốt, tăng bạch cầu ái toan. - Buồn nôn, nôn, đau bụng hay tiêu chảy, viêm đại tràng giả mạc. - Thay đổi huyết học. - Nhức đầu, hoa mắt, ảo giác. - Loạn nhịp tim","Probenecid, azlocillin, fosfomycin",https://thuocbietduoc.com.vn/thuoc-47704/goldcefo.aspx,Facta Farmaceutical SPA - Italy,Công ty TNHH dược phẩm Lamda - VIETNAM
Moretel,VN-19063-15,Dung dịch tiêm truyền,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm",Metronidazole 500mg/100ml,,Metronidazole (500mg),"Nhiễm khuẩn kị khí, dự phòng phẫu thuật",Mẫn cảm với bất cứ thành phần nào của thuốc Có thai 3 tháng đầu,"Nhiễm khuẩn kỵ khí ở ổ bụng, màng bụng, gan, vùng chậu, da, xương khớp, hô hấp dưới, hệ TKTW người lớn & trẻ ≥ 12 tuổi: truyền IV 100 mL dung dịch 0,5% mỗi 8 giờ, tốc độ tối đa 5 mL/phút, tối đa 4 g/ngày, x 7-10 ngày, hoặc 2-3 tuần khi cần; trẻ <12 tuổi: truyền IV chậm 7.5 mg/kg mỗi 8 giờ. Dự phòng trong phẫu thuật 5-10 phút trước mổ; người lớn & trẻ ≥ 12 tuổi: truyền IV 100 mL dung dịch 0,5%, lặp lại mỗi 8 giờ cho đến khi dùng thuốc uống; trẻ <12 tuổi: truyền IV 7.5 mg/kg","Buồn nôn, nôn, vị kim loại, tiêu chảy. Hiếm: bệnh thần kinh ngoại biên, mất điều hòa, lo lắng, trầm cảm, mất ngủ, ù tai","Khi sử dụng chung với những thuốc sau đây, sẽ gây ảnh hưởng tác dụng của thuốc: Thuốc kháng đông uống, disulfiram, astemizol, terfenadin. Kiêng rượu. Phenobarbital, lithi, cimetidin, phenytoin",https://thuocbietduoc.com.vn/thuoc-49212/moretel.aspx,SM Farmaceutici s.r.l - ITALY,Công ty TNHH Bình Việt Đức - VIETNAM
Bloci,560115985524,Viên nén bao phim,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm",Ciprofloxacin HCL,Hộp 2 vỉ x 8 viên,Ciprofloxacin (500mg Ciprofloxacin),"Viêm xoang kéo dài hoặc tái phát. Nhiễm khuẩn ở tinh hoàn. Nhiễm khuẩn bộ phận sinh dục ở phụ nữ Nhiễm khuẩn đường tiêu hoá-dạ dày và nhiễm khuẩn ổ bụng. Nhiễm khuẩn da và mô mềm. Nhiễm khuẩn xương khớp Ciprofloxacin dùng để điều trị nhiễm khuẩn ở bệnh nhân bị giảm bạch cầu trung tính. Thuốc dùng để ngăn ngừa nhiễm khuẩn ở bệnh nhân giảm bạch cầu trung tính. Ciprofloxacin dùng để ngăn ngừa nhiễm khuẩn do vi khuẩn Neisseria meningitidis. Nơi dễ bị nhiễm bệnh than. Nhiễm khuẩn đường tiết niệu không phức tạp Do kháng sinh fluoroquinolon, trong đó có ciprofloxacin liên quan đến phản ứng có hại nghiêm trọng (xem mục Cảnh báo và thận trọng); và nhiễm khuẩn đường tiết niệu không phức tạp ở một số bệnh nhân có thể tự khỏi, chỉ nên sử dụng ciprofloxacin cho những bệnh nhân không có lựa chọn điều trị khác thay thế Nhiễm khuẩn đường hô hấp: Đợt nhiễm khuẩn cấp của viêm phế quản mạn tính Do kháng sinh fluoroquinolon, trong đó có ciprofloxacin liên quan đến phản ứng có hại nghiêm trọng (xem mục cảnh báo và thận trọng) và đợt nhiễm khuẩn cấp của viêm phế quản mạn tính ở một số bệnh nhân có thể tự khỏi, chỉ nên sử dụng ciprofloxacin cho những bệnh nhân không có lựa chọn điều trị khác thay thế. Viêm xoang cấp tính do vi khuẩn Do kháng sinh fluoroquinolon, trong đó có ciprofloxacin liên quan đến phản ứng có hại nghiêm trọng (xem mục Cảnh báo và thận trọng) và viêm xoang cấp tính do vi khuẩn ở một số bệnh nhân có thể tự khỏi, chỉ nên sử dụng ciprofloxacin cho những bệnh nhân không có lựa chọn điều trị khác thay thế. Ciprofloxacin 500mg có thể được sử dụng dưới sự giám sát của nhân viên y tế để điều trị nhiễm khuẩn phế quản và phổi ở trẻ em và thanh niên (giữa 5 -17 tuổi) bị xơ nang","– Phụ nữ có thai hoặc dự định có thai. – Phụ nữ đang cho con bú. – Dị ứng với Ciprofloxacin hoặc các thuốc tương tự (như Norfloxacin), hoặc với bất kỳ thành phần nào của viên. – Có tiền sử tổn thương gân Achilles hoặc ở gần khác nguyên nhân bởi kháng sinh. – Trẻ em dưới 17 tuổi, ngoại trừ một số trường hợp cụ thể","Dùng thuốc chính xác theo hướng dẫn của bác sỹ. Nuốt cả viên với nước và không phụ thuộc vào thời điểm của bữa ăn. Liều thông thường như sau: Người lớn: Nhiễm khuẩn ngực: Liều thường dùng là 250mg-500mg Ciprofloxacin, 2 lần mỗi ngày. Phụ thuộc vào nguyên nhân và mức độ của nhiễm khuẩn. Lậu: Để điều trị lậu cấp tính, dùng liều đơn 500mg. Để điều trị lậu ngoài niệu đạo sử dụng liều thông thường 500mg, 1 lần mỗi ngày. Tiêu chảy: 500mg Ciprofloxacin, 1 hoặc 2 lần mỗi ngày. Nhiễm khuẩn nặng: 750 mg, 2 lần mỗi ngày Bệnh than: Liều thông thường là 500 mg, 2 lần mỗi ngày. Việc điều trị nên bắt đầu ngay lập tức sau khi nghi ngờ hoặc đã xác nhận hoặc đã thấy dấu hiệu của bệnh than. Các nhiễm khuẩn khác (viêm xoang cấp tính do vi khuẩn, đợt nhiễm khuẩn cấp của viêm phế quản mạn tính, …): 500 mg, 2 lần mỗi ngày. Nhiễm khuẩn đường tiết niệu không phức tạp: Để điều trị viêm bàng quang, dùng liều 250mg Ciprofloxacin, 1 hoặc 2 lần mỗi ngày. Với trường hợp nhiễm khuẩn nặng hơn, liều dùng có thể tăng từ 250mg lên tới 500mg, 2 lần mỗi ngày. Trẻ em và thanh thiếu niên: Ciprofloxacin thường không sử dụng cho trẻ em trừ các trường hợp đặc biệt sau đây: Để điều trị bệnh nhân xơ nang bệnh nhân từ 5-17 tuổi) bị nhiễm khuẩn ở ngực: dùng liều 20mg/kg thể trọng, 2 lần mỗi ngày, có thể dùng tới 10-14 ngày. Liều tối đa là 1500mg/ngày. Bệnh than: 15mg/kg thể trọng, 2 lần mỗi ngày. Liều tối đa mỗi ngày là 1000mg. Việc điều trị nên bắt đầu ngay lập tức sau khi nghi ngờ hoặc đã xác nhận hoặc đã thấy dấu hiệu của nhiễm khuẩn than. Lưu ý: Điều trị xơ nang ở trẻ em kéo dài 10-14 ngày. Liều tối đa là 1500mg mỗi ngày. Bệnh than ở người lớn và trẻ em – nên điều trị tới 60 ngày","Như hầu hết các thuốc khá, các tác dụng phụ có thể xảy ra nhưbuồn nôn, nôn, đau bụng, tiêu chảy, chóng mặt, mệt mỏi, ngứa. Thông báo cho bác sĩ khi xảy ra các tác dụng không mong muốn của thuốc. Thông tin về hoạt chất: Ciprofloxacin Thuốc này chứa hoạt chất Ciprofloxacin . Để biết thêm thông tin chi tiết về cơ chế tác dụng, dược lực học, dược động học của hoạt chất này, vui lòng xem: Xem chi tiết hoạt chất Ciprofloxacin",,https://thuocbietduoc.com.vn/thuoc-37872/bloci.aspx,"Bluepharma- Indústria Farmacêutical, S.A. - PORTUGAL",
Medocef 1g,529110033725,Bột pha tiêm,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm",Cefoperazone natri,Hộp 1 lọ hộp 50 lọ,Cefoperazone (1g Cefoperazone),"Nhiễm khuẩn đường hô hấp. Viêm phúc mạc và những nhiễm khuẩn khác trong ổ bụng. Nhiễm khuẩn huyết. Nhiễm khuẩn da và mô mềm. Viêm vùng chậu, viêm nội mạc tử cung và những nhiễm khuẩn kahc1 ở đường sinh dục nữ. Nhiễm khuẩn đường tiểu. Nhiễm khuẩn Enterococcus",Mẫn cảm với các kháng sinh cephalosporin,"Cefoperazon được chỉ định qua đường tiêm bắp hoặc tiêm tĩnh mạch hoặc tiêm truyền chậm. Tiêm bắp: Khuyến cáo pha loãng theo hai bước. Gõ nhẹ vào thành chai giúp tơi bột thuốc do bột thuốc có thể lắng lại trong quá trình bảo quản. Thêm lượng nước vô trùng như yêu cầu vào lọ MEDOCEF (xem bảng) và lắc mạnh theo chiều lên xuống cho đến khi bột thuốc MEDOCEF được hòa tan hoàn toàn. Trong quá trình này sẽ xuất hiện các bọt khí nhỏ trong dung dịch, trước khi tiến hành tiếp nên đợi bọt khí tan ra để giúp cho việc kiểm tra độ tan. Sau đó thêm lượng dung dịch lidocain 2% như yêu cầu vào (xem bảng) và trộn đều. Hàm lượng Bước 1 Thể tích nước cất pha tiêm Bước 2 Thể tích dung dịch lidocain 2% Thể tích rút ra Nồng độ cefoperazon cuối cùng 1g 2,8ml 1,0 ml 4,0ml 250mg/ml 2g 5,4ml 1,8ml 8,0ml 250mg/ml Tiêm tĩnh mạch: Pha loãng khởi đầu 5ml của bất kỳ một trong các dung dịch sau đây vào lọ bột cefoperazon 1g: Dextrose 5%, dextrose 5% và NaCl 0,9% hoặc 0,2%, dextrose 10%, NaCl 0,9%, nước cất pha tiêm (không được dùng trong trường hợp tiêm truyền tĩnh mạch). Cách pha như đã hướng dẫn trong trường hợp tiêm bắp. lượng dung dịch rút ra sau khi pha khởi đầu được pha loãng thêm với bất kỳ một trong các dung dịch tiêm truyền tĩnh mạch ở trên: Tiêm truyền tĩnh mạch không liên tục: Pha loãng 20 – 40 ml dung dịch thích hợp vào cefoperazon 1g và truyền từ 15 – 30 phút. Tiêm truyền tĩnh mạch liên tục: Dung dịch sau khi pha được pha loãng thêm tới nồng độ cuối cùng 2- 25 mg/ml trước khi sử dụng",,"Với thuốc Aminoglycosid: Dùng chung với cefoperazon có thể gây tăng độc tính trên thận. Thuốc kháng đông: Chỉ định kèm với thuốc kháng đông hoặc các dẫn xuất indandio, heparin hoặc các tác nhân tan huyết khối có thể làm tăng nguy cơ chảy máu. Thuốc lợi tiểu quai: Dùng kết hợp cefoperazon và thuốc lợi tiểu quai có thể gây độc tính trên thận. Với thức ăn Ethanol: Dùng kèm rượu cồn trong vòng 72 giờ sau khi sử dụng cefoperazon có thể gây ra các phản ứng kiểu disulfiram. Các xét nghiệm: Xét nghiệm kháng globulin trực tiếp: có thể xảy ra phản ứng Coombs trực tiếp dương tính trong khi điều trị với cefoperazon. Định lượng glucose: Trong thời gian điều trị với cefoperazon có thể cho kết quả dương tính giả trong xét nghiệm glucose niệu sử dụng phương pháp khử đồng (Benedict’s, Fehling’s);. Thông tin về hoạt chất: Cefoperazone Thuốc này chứa hoạt chất Cefoperazone . Để biết thêm thông tin chi tiết về cơ chế tác dụng, dược lực học, dược động học của hoạt chất này, vui lòng xem: Xem chi tiết hoạt chất Cefoperazone",https://thuocbietduoc.com.vn/thuoc-42743/medocef-1g.aspx,"Medochemie., Ltd - NORTHERN CYPRUS",
Agifamcin 300,893110053423,Viên nang,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm",Rifampicin 300mg,Hộp 10 vỉ x 10 viên nang,Rifampicin (300mg),Điều trị các thể lao bao gồm cả lao màng não. - Điều trị Phong. - Phòng viêm màng não do Haemophilus influenzae và Neisseria meningitidis. - Điều trị nhiễm khuẩn nặng do các chủng Staphylococcus kể cả các chủng đã kháng Methicillin,"Quá mẫn với thuốc, vàng da","Bệnh lao uống cách xa bữa ăn: + Người lớn: 8 - 12mg/kg, ngày dùng 1 lần. + Trẻ em: 10mg/kg, ngày dùng 1 lần. Dùng phối hợp với các thuốc chống lao khác và theo chỉ dẫn của thầy thuốc. - Bệnh nặng do vi khuẩn Gram (+) và Gram (-): + Trẻ sơ sinh: 15 - 20mg/kg/ngày, chia 2 lần. + Người lớn: 20 - 30mg/kg/ngày, chia 2 lần. - Bệnh Brucella: Dùng kết hợp Rifampicin 300mg/ngày, uống 1 lần buổi sáng lúc đói và Doxycyclin 200mg/ngày dùng 1 lần vào buổi tối. Nếu bệnh cấp tính thời gian điều trị là 45 ngày. - Dự phòng viêm màng não do não mô cầu: + Người lớn: 600mg/lần cách 12 giờ uống 1 lần. + Trẻ em 1 tháng - 12 tháng tuổi: 10mg/kg cách 12 giờ uống 1 lần. + Trẻ dưới 1 tháng tuổi: 5mg/kg cách 12 giờ uống 1 lần. - Bệnh phong: Uống 600mg/lần/tháng. Dùng phối hợp với các thuốc chống phong khác và theo chỉ dẫn của thầy thuốc","Rối loạn tiêu hóa nhẹ, ngứa, phát ban. Ít gặp: đau đầu, chóng mặt, mệt mỏi, sốt, tăng men gan, vàng da","thuốc Thận trọng khi dùng với thuốc chẹn Ca, chống loạn nhịp, chống đông, kháng nấm: cyclosporin, tacrolimus, corticoid, digitoxin, estrogene",https://thuocbietduoc.com.vn/thuoc-40125/agifamcin-300.aspx,Công ty cổ phần dược phẩm Agimexpharm - VIETNAM,
Cefuroxim 125mg Tipharco,VD-2128-06,Viên nén bao phim,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm",Cefuroxime,Hộp 2 vỉ x 5 viên nén bao phim,Cefuroxime (125mg),"Viêm tai giữa , viêm xoang, viêm amiđan, viêm thanh quản, viêm họng. Viêm phổi, viêm phế quản cấp, đợt cấp viêm phế quản mãn tính. Viêm bể thận, viêm bàng quang, viêm niệu đạo . Ðinh nhọt, viêm da mủ, chốc lở. Sốt thương hàn. Bệnh lậu, viêm niệu đạo cấp do lậu cấp, viêm cổ tử cung",Quá mẫn với cephalosporin,"Dùng 5-10 ngày, uống sau khi ăn. *Người lớn: Hầu hết Nhiễm khuẩn 250 mg x 2 lần/ngày; Sốt thương hàn 500 mg x 2 lần/ngày; Nhiễm khuẩn niệu-sinh dục 125 mg x 2 lần/ngày; Nhiễm khuẩn hô hấp dưới nhẹ đến trung bình: 250 mg/lần x 2 lần/ngày; nặng, nghi viêm phổi: 500 mg/lần x 2 lần/ngày; Viêm bể thận 250 mg/lần x 2 lần/ngày; Lậu không biến chứng liều đơn 1 g. - Bệnh Lyme giai đoạn đầu: 500mg x 2 lần/ngày, trong 20 ngày. *Trẻ em: Hầu hết Nhiễm khuẩn 125 mg/lần x 2 lần/ngày, tối đa 250 mg/lần; Sốt thương hàn 250 mg/lần x 2 lần/ngày; Trẻ 2 tuổi trở lên bị viêm tai giữa hay các Nhiễm khuẩn nghiêm trọng 250 mg/lần x 2 lần/ngày","ban đỏ đa dạng, hoại tử da do nhiễm độc, phát ban da, nổi mày đay, ngứa, sốt do thuốc, bệnh huyết thanh. Ðôi khi: tiêu chảy, buồn nôn, nôn, tăng bạch cầu ái toan, tăng men gan. Hiếm: viêm ruột giả mạc, giảm bạch cầu, tiểu cầu",Cefuroxime - Giảm,https://thuocbietduoc.com.vn/thuoc-6729/cefuroxim-125mg.aspx,Công ty Dược Vật tư Y tế Tiền Giang - VIETNAM,
Medoclav 1g,529110134824,Viên nén bao phim,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm",Amoxicilin (dưới dạng Amoxicilin trihydrat) 875mg; Acid clavulanic (dưới dạng Clavulanat kali) 125mg,Hộp 2 vỉ x 7 viên,"Amoxicilin (875mg), Clavulanic acid (125mg)","Nhiễm trùng đường hô hấp trên & dưới ( viêm phổi , viêm tai giữa , viêm xoang cấp , viêm cấp tính nặng của phế quản mãn tính);, da & mô mềm, thận & đường tiểu dưới",Dị ứng với penicillin. Dị ứng chéo với cephalosporin. Tăng bạch cầu đơn nhân nhiễm trùng hoặc leukemia dòng lympho,"Người lớn & trẻ > 12 tuổi trên 40 kg: Tính theo amoxycillin 500 - 625 mg x 3 lần/ngày hay 1000 mg x 2 lần/ngày. Tính theo amoxycillin: trẻ 2 - 12 tuổi: 30 - 60 mg/kg/ngày, trẻ < 2 tuổi: 30 - 40 mg/kg/ngày. Giảm liều khi suy gan & suy thận","Rối loạn tiêu hóa thoáng qua, viêm đại tràng giả mạc. Ngứa, mề đay, sốt & đau khớp, phù thần kinh-mạch, phản vệ, phản ứng da nặng. Thay đổi huyết học & đông máu. Viêm gan thoáng qua & vàng da tắc mật (hiếm)",Allopurinol. Probenecid. Thuốc chống đông. Thuốc uống ngừa thai là hormon,https://thuocbietduoc.com.vn/thuoc-57095/medoclav-1g.aspx,"Medochemie., Ltd - NORTHERN CYPRUS",
Stromectin 6mg,VD-23405-15,Viên nén,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm",Ivermectin 6mg,,Ivermectin (6mg),"Ivermectin được lựa chọn để điều trị bệnh giun chỉ Onchocerca, mặc dù thuốc có hiệu quả tốt trong điều trị các bệnh giun kể cả giun lươn ở ruột do Strongyloides stercoralis. Vai trò của ivermectin trong bệnh giun chỉ ở hệ bạch huyết còn chưa được nghiên cứu kỹ. Đặc tính dược lý: Ivermectin là dẫn chất bán tổng hợp của một trong số avermectin, nhóm chất có cấu trúc lacton vòng lớn, phân lập từ sự lên men Streptomyces avermitilis. Ivermectin có hiệu quả trên nhiều loại giun tròn như giun lươn, giun tóc, giun kim, giun đũa, giun móc và giun chỉ Wuchereria bancrofti. Tuy nhiên, thuốc không có tác dụng trên sán lá gan và sán dây. Hiện nay, ivermectin là thuốc được chọn điều trị bệnh giun chỉ Onchocerca volvulus và là thuốc diệt ấu trùng giun chỉ rất mạnh, nhưng ít tác dụng trên ký sinh trùng trưởng thành. Sau khi uống được 2 - 3 ngày, ấu trùng giun chỉ ở da mất đi nhanh; còn ấu trùng ở giác mạc và tiền phòng mắt thì chậm hơn","Bệnh nhân mẫn cảm với bất cứ thành phần nào của thuốc. Bệnh nhân mắc các bệnh có kèm theo rối loạn hàng rào máu não, như bệnh trypanosoma châu Phi và bệnh viêm màng não","Ivermectin uống với nước vào buổi sáng sớm khi chưa ăn hoặc có thể vào lúc khác, nhưng tránh ăn trong vòng 2 giờ trước và sau khi dùng thuốc. - Người lớn và trẻ em trên 5 tuổi: Dùng một liều duy nhất 0,15 mg/ kg. Cần phải tái điều trị với liều như trên hàng năm để chắc chắn khống chế được ấu trùng giun chỉ Onchocerca. Nếu người bệnh bị nhiễm nặng ấu trùng vào mắt, thì có thể phải tái điều trị thường xuyên hơn, chẳng hạn như cứ sau 6 tháng phải dùng thuốc lại một lần. - Hướng dẫn liều dùng ivermectin để điều trị nhiễm Onchocerca: Thể trọng (kg) Liều uống duy nhất 15 - 25 3 mg 26 - 44 6 mg 45 - 64 9 mg 65 - 84 12 mg ≥ 85 0,15 mg/ kg","Ivermectin là thuốc an toàn, rất thích hợp cho các chương trình điều trị trên phạm vi rộng. Hầu hết các tác dụng không mong muốn của thuốc là do các phản ứng miễn dịch đối với các ấu trùng bị chết. Vì vậy, mức độ nặng nhẹ của tác dụng này có liên quan đến mật độ ấu trùng ở da. Các tác dụng không mong muốn đã được thông báo gồm sốt, ngứa, chóng mặt hoa mắt, phù, ban da, nhạy cảm đau ở hạch bạch huyết, ra mồ hôi, rùng mình, đau cơ, sưng khớp, sưng mặt (phản ứng Mazzotti). Hạ huyết áp thế đứng nặng đã được thông cáo có kèm ra mồ hôi, nhịp tim nhanh và lú lẫn","Chưa thấy có thông báo về tương tác thuốc có hại, nhưng về mặt lý thuyết, thuốc có thể làm tăng tác dụng của các thuốc kích thích thụ thể GABA (như các benzodiazepin và natri valproat);",https://thuocbietduoc.com.vn/thuoc-50595/stromectin-6mg.aspx,Công ty cổ phần Dược phẩm Phong Phú PP.PHARCO - VIETNAM,Công ty TNHH Shine Pharma - VIETNAM
Fosmicin for I.V. Use 2g,VN-13785-11,Thuốc tiêm-2g,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm",Fosfomycin,Hộp 10 lọ x 2g,Fosfomycin,"Nhiễm trùng do các chủng vi khuẩn nhạy cảm, đã đề kháng với nhiều loại thuốc",Quá mẫn với fosfomycin,Người lớn: 2-4 g/ngày. Trẻ em: 100-200 mg/kg/ngày,"Giảm tiểu cầu, rối loạn tiêu hóa, phản ứng da. Viêm ruột giả mạc. Thông tin về hoạt chất: Fosfomycin Thuốc này chứa hoạt chất Fosfomycin . Để biết thêm thông tin chi tiết về cơ chế tác dụng, dược lực học, dược động học của hoạt chất này, vui lòng xem: Xem chi tiết hoạt chất Fosfomycin",,https://thuocbietduoc.com.vn/thuoc-11612/fosmicin.aspx,Meiji Seika Pharma Co. Ltd. - JAPAN,
Gentamicin 80mg/2ml Bidiphar,VNA-0859-03,Thuốc tiêm,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm",Gentamicin,Hộp 5 ống 2ml h10 ống 2ml h20 ống 2ml h50 ống 2ml t.tiêm,Gentamicin (80mg/2ml),"Nhiễm trùng thận, tiết niệu, sinh dục. - Nhiễm khuẩn huyết, viêm màng trong tim. - Nhiễm trùng da, xương khớp, đường hô hấp",Quá mẫn với kháng sinh nhóm aminosides. Phụ nữ có thai & trẻ sơ sinh,"Tiêm IM hoặc IV. - Người lớn: 2 - 5 mg/kg/ngày, chia 2 lần. - Trẻ em: 1,2 - 2,4 mg/kg/ngày, chia 2-3 lần. Không dùng quá 14 ngày","Ngoài độc tính ở thận & tai, còn có thể bị suy hô hấp, ngủ lịm, thay đổi HA, nổi mẩn ngứa, mề đay, trầm cảm, phản ứng phản vệ, sốt nhức đầu, buồn nôn","Gentamicin Dùng đồng thời với các thuốc gây độc với thận như: các aminosid khác, vancomycin, cephalosporin, thuốc lợi tiểu furosemid hoặc các acid ethacrynic sẽ tăng độc tính với thận. Với các thuốc ức chế dẫn truyền thần kinh cơ gây tăng nguy cơ giãn cơ. Gentamicin tương kị với penicillin, cephalosporin, furosemid, heparin và có phản ứng với các chất có pH kiềm hoặc vớicác thuốc không bền ở pH acid. Vì vậy không được trộn lẫn các thuốc này với gentamicin trong cùng 1 dung dịch tiêm truyền",https://thuocbietduoc.com.vn/thuoc-11800/gentamicin-80mg2ml.aspx,Công ty Dược & trang thiết bị Y tế Bình Định BIDIPHAR - VIETNAM,
