Drug Name,Registration Number,Dosage Form,Category,Ingredients,Packaging,Active Ingredients,Indications,Contraindications,Dosage and Administration,Side Effects,Drug Interactions,Source URL,Manufacturer,Registrant
Levoflox 500,VD-22196-15,Viên nén bao phim,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm",Levofloxacin (dưới dạng levofloxacin hemihydrat) 500mg,Hộp 2 vỉ x 7 viên,Levofloxacine (500mg),"Điều trị nhiễm trùng nhẹ, trung bình & nặng ở người lớn > 18 tuổi như: Viêm xoang cấp, đợt cấp viêm phế quản mãn, viêm phổi, viêm phổi mắc phải trong cộng đồng, nhiễm trùng da & cấu trúc da, nhiễm trùng đường tiết niệu có & không có biến chứng, viêm thận - bể thận cấp tính","Quá mẫn với thành phần thuốc, nhóm quinolon","Levofloxacine Liều lượng và đường dùng tùy từng loại và độ nặng nhiễm khuẩn và độ nhạy của tác nhân gây bệnh được nghi ngờ. Trong trường hợp cần phải điều trị bước đầu bằng đường tĩnh mạch với dung dịch tiêm truyền levofloxacin (bệnh nhân không thích hợp với đường uống), sau vài ngày có thể chuyển từ đường tĩnh mạch lúc đầu sang dùng đường uống với cùng liều lượng, tùy theo tình trạng của bệnh nhân","Có thể có: buồn nôn, nôn, tiêu chảy, thay đổi vị giác, rối loạn giấc ngủ, nhức đầu, chóng mặt. - Hiếm: nhạy cảm ánh nắng, đau sưng khớp/cơ/gân, đau bụng, thay đổi thị giác, phản ứng dị ứng. - Rất hiếm: động kinh, rối loạn tinh thần, đau ngực, rối loạn nhịp tim, bồn chồn, lo âu, thay đổi lượng nước tiểu, vàng mắt/da, Bội nhiễm khi dùng kéo dài","Levofloxacine Thuốc viên: Không có sự tương tác có ý nghĩa với thức ăn. Hai giờ trước hoặc sau khi uống levofloxacin, không nên uống những chế phẩm có chứa các cation hóa trị hai hoặc hóa trị ba như các muối sắt hoặc thuốc kháng-acid chứa magnesi hay nhôm, vì có thể làm giảm hấp thu. Sinh khả dụng của levofloxacin giảm có ý nghĩa khi thuốc được dùng chung với sucralfate, vì thế chỉ nên uống sucralfate 2 giờ sau khi uống levofloxacin. Thuốc và dung dịch tiêm truyền: Trong một nghiên cứu lâm sàng, không thấy các tương tác dược động học của levofloxacin với theophyllin. Tuy vậy, ngưỡng co giật ở não có thể giảm đáng kể khi dùng chung quinolone với theophyllin, fenbufen hoặc các thuốc kháng viêm không-steroid tương tự hoặc các thuốc khác có tác dụng hạ thấp ngưỡng co giật. Nên thận trọng khi dùng chung levofloxacin với những thuốc ảnh hưởng sự bài tiết ở ống thận như probenecid và cimetidine, đặc biệt là trên bệnh nhân suy thận.Tăng thời gian đông máu (PT/INR) và/hoặc chảy máu, có thể trầm trọng, đã được báo cáo trên bệnh nhân được điều trị levofloxacin phối hợp với thuốc đối kháng vitamin K (ví dụ warfarin). Do đó, cần theo dõi các xét nghiệm đông máu trên bệnh nhân được điều trị thuốc đối kháng vitamin K",https://thuocbietduoc.com.vn/thuoc-48815/levoflox-500.aspx,Công ty dược phẩm OPV - VIETNAM,
Osvimec 100,VD-22239-15,Viên nang cứng,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm",Cefdinir 100mg,Hộp 1 vỉ x 10 viên,Cefdinir (100mg),"Trong các nhiễm trùng gây ra bởi những dòng vi khuẩn nhạy cảm với cefdinir như: Staphylococcus sp., Streptococcus sp., Streptococcus pneumoniae, Peptostreptococcus sp., Propionibacterium sp., Neisseria gonorrhea, Branhamella catarrhatis, Escherichia coli, Klebsiella sp., Proteus mirabilis, Providencia sp., và Heamophilus influenza bao gồm các bệnh lý sau: Nhiễm trùng hô hấp trên & dưới. Viêm nang lông, nhọt, chốc lở, viêm quầng, viêm tấy, viêm mạch hay hạch bạch huyết, chín mé, viêm quanh móng, áp-xe dưới da, viêm tuyến mồ hôi, vữa động mạch nhiễm trùng, viêm da mủ mạn tính. Viêm thận-bể thận, viêm bàng quang. Viêm phần phụ tử cung, viêm tử cung, viêm tuyến Bartholin",Bệnh nhân dị ứng với bất cứ thành phần nào của thuốc,"1. Người lớn: - Viêm phổi mắc phải cộng đồng: 300 mg x 2 lần/ngày, trong 10 ngày. - Đợt cấp của viêm phế quản mãn: 300 mg x 2 lần/ngày, hoặc 600 mg/lần, trong 10 ngày. - Viêm xoang cấp tính: 300 mg x 2 lần/ngày, hoặc 600 mg/lần, trong 10 ngày. - Viêm hầu họng/ viêm amidan: 300 mg x 2 lần/ngày, hoặc 600 mg/lần, trong 5 - 10 ngày. - Viêm da và cấu trúc da: 300 mg x 2 lần/ngày, trong 10 ngày. 2. Trẻ em: - Viêm tai giữa cấp: 7 mg/kg x 2 lần hoặc 14 mg/kg x 1 lần, trong 5 - 10 ngày. - Viêm hầu họng/ viêm amidan: 7 mg/kg x 2 lần/ngày, hoặc 14 mg/kgx1lần, trong 5 - 10 ngày. - Viêm da và cấu trúc da: 7 mg/kg x 2 lần/ngày, trong 10 ngày. - Bệnh nhân suy thận: + Người lớn với độ thanh thải creatinin < 30 ml/phút: 300 mg x ngày. + Trẻ em với độ thanh thải creatinin < 30 ml/phút/1,73m2: 7 mg/kg/ngày (tối đa 300 mg/ngày). + Bệnh nhân đang chạy thận nhân tạo: Liều khuyến cáo: 300 mg/ngày hoặc 7 mg/kg tại thời điểm kết thúc một đợt chạy thận, cách ngày dùng một liều","Hiếm gặp: buồn nôn, nôn, đau bụng, biếng ăn, táo bón, nhức đầu, chóng mặt, viêm miệng, nhiễm nấm, thiếu vitamin K, vitamin nhóm B, giảm bạch cầu, tăng men gan, tăng BUN (Blood urea nitrogen - chỉ số nitơ urê huyết)",Các antacid(có chứa aluminum hoặc magie); : uống kết hợp 300mg cefdinir với 30ml hỗn dịch có chứa anluminum làm giảm tỉ lệ Cmax và AUC của khả năng hấp thụ. Các thuốc có chứa sắt : cần uống cách nhau 2 giờ,https://thuocbietduoc.com.vn/thuoc-48858/osvimec-100.aspx,Công ty cổ phần Dược phẩm Trà Vinh TV PHARM - VIETNAM,
Stavudine Capsules 30mg,VN-10392-10,Viên nang,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm",Stavudine,Hộp 1 lọ 30 viên,Stavudine (30mg),Stavudine Dùng kết hợp với các thuốc kháng siêu vi khác để điều trị bệnh nhân nhiễm HIV. Ðiều trị bệnh nhân người lớn nhiễm HIV sau khi đã dùng dài hạn zidovudine,Stavudine Quá mẫn cảm với bất cứ thành phần nào của thuốc,"Stavudine Dùng đường uống. Bệnh nhân >= 60kg: 40mg. Dùng mỗi 12 giờ. Bệnh nhân < 60kg: 30mg. Dùng mỗi 12 giờ. Trẻ em > 3 tháng tuổi, < 30kg: 1mg/kg/12 giờ. Trẻ em > 3 tháng tuổi, >= 30kg: dùng như liều người lớn","Stavudine Bệnh thần kinh ngoại biên. Tăng men gan. Nhức đầu, rối loạn tiêu hóa, ớn lạnh/sốt. Ðau cơ. Nổi mẩn da. Viêm tụy","Stavudine Do stavudine được đào thải chủ động qua thận, có thể có các tương tác với các thuốc khác cũng được đào thải chủ động qua thận (như trimethoprime). Tuy nhiên, không thấy bất kỳ tương tác dược động nào có ý nghĩa về mặt lâm sàng với lamivudine. Zidovudine có thể ức chế quá trình phosphoryl hoá nội bào của stavudine. Không khuyến cáo dùng stavudine chung với zidovudine. Tác động của stavudine bị ức chế bởi doxorubicine. Ngược lại, stavudine không bị ức chế bởi các thuốc dùng điều trị nhiễm HIV khác có cùng cách thức phosphoryl hoá, như didanosine, zalcitabine, ganciclovir, foscarnet. Ảnh hưởng của stavudine trên động học phosphoryl hoá các chất đồng đẵng nucleoside khác hơn là zidovudine chưa được nghiên cứu. Không có tương tác đáng kể về mặt lâm sàng giữa stavudine đơn thuần hoặc stavudine kết hợp didannosine với nelfinavir. Chưa có nghiên cứu chính thức về tương tác với các thuốc khác được thực hiện",https://thuocbietduoc.com.vn/thuoc-33823/stavudine-capsules-30mg.aspx,Matrix Laboratories Limited - INDIA,
Broncocef 508,VNB-0268-02,Viên nang,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm","Cephalexin , Bromhexine",Hộp 10 vỉ 10 viên nang,"Cephalexin (-), Bromhexine (-)","Viêm phế quản cấp & mạn, đợt cấp viêm phế quản mạn, viêm khí quản, giãn phế quản, đặc biệt khi có nhiều đàm","Quá mẫn với nhóm beta-lactam, bromhexine. Có thai, cho con bú",Trẻ 5-12 tuổi: 1 viên x 3 lần/ngày; trẻ 1- < 5 tuổi: 1/2 viên x 3 lần/ngày; trẻ < 1 tuổi: 1/2 viên x 2 lần/ngày. - Người lớn & trẻ > 12 tuổi: 1 viên x 3-4 lần/ngày,"Buồn nôn, tiêu chảy, nổi mẩn đỏ, nhức đầu, mệt mỏi","Kéo dài thời gian prothrombin khi dùng với thuốc uống kháng đông máu. Giảm hiệu quả tránh thai của thuốc uống ngừa thai. Thông tin về hoạt chất: Cephalexin Thuốc này chứa hoạt chất Cephalexin . Để biết thêm thông tin chi tiết về cơ chế tác dụng, dược lực học, dược động học của hoạt chất này, vui lòng xem: Xem chi tiết hoạt chất Cephalexin",https://thuocbietduoc.com.vn/thuoc-7299/broncocef-508.aspx,,
Fimabute,VN-2633-07,Viên nén hòa tan-100mg,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm",Cefixime,Hộp 1 vỉ nhôm-nhôm x 10 viên,Cefixime (100mg),"Viêm tai giữa, viêm họng, viêm amidan, viêm phế quản, viêm phổi cấp & mãn tính. - Nhiễm trùng tiết niệu - sinh dục, bệnh lậu, da & mô mêm. - Điều trị thương hàn. - Dự phòng nhiễm trùng phẫu thuật",Quá mẫn với cephalosporin,"Người lớn & trẻ > 12 tuổi: 50 - 100 mg x 2 lần/ngày, có thể tăng lên 200 mg x 2 lần/ngày. - Nhiễm khuẩn đường tiểu do lậu liều duy nhất 400 mg. Suy thận: giảm liều","Rối loạn tiêu hoá, nhức đầu, nổi mẫn, mề đay, ngứa, sốt, đau khớp. giảm tiểu cầu, giảm bạch cầu, tăng bạch cầu ái toan, thay đổi chức năng gan, thận",Warfarin,https://thuocbietduoc.com.vn/thuoc-5848/fimabute.aspx,"Brawn Laboratories., Ltd - India",
Pmtiam,VN-13214-11,Bột pha tiêm,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm",Cefotiam HCl,Hộp 10 lọ,Cefotiam (1g hoạt lực),"Nhiễm trùng máu - Nhiễm trùng vết bỏng hay vết mổ, áp xe dưới da, mụn nhọt. - Viêm tủy xương, viêm khớp có mủ. - Viêm amidan, viêm phế quản, giãn phế quản có nhiễm trùng, viêm phổi, nhiễm trùng phổi, viêm màng phổi có mủ, viêm đường mật, viêm túi mật, viêm phúc mạc, viêm thận bể thận, viêm bàng quang, viêm niệu đạo, viêm tuyến tiền liệt, viêm màng não, các nhiễm trùng bên trong tử cung, viêm khung chậu, viêm dây chằng, viêm tuyến Bartholin, viêm tai giữa, viêm xoang",Người bệnh có tiền sử sốc với cefotiam. - Người bệnh có tiền sử dị ứng với kháng sinh nhóm Beta lactam,"Người lớn: Tiêm tĩnh mạch 0,5 - 2g/ ngày, chia làm 2 - 4 lần Trẻ em: Tiêm tĩnh mạch 40 – 80 mg/ kg thể trọng/ ngày chia làm 3 - 4 lần. Liều điều trị nhiễm trùng máu ở người lớn có thể lên đến 4 g/ ngày. Liều điều trị nhiễm trùng nặng hoặc kéo dài (như nhiễm trùng máu, viêm màng não) ở trẻ em có thể tăng đến 160 mg/kg/ ngày. Liều có thể được điều chỉnh tùy theo tuổi và triệu chứng của bệnh nhân. Bệnh nhân suy thận: Những bệnh nhân suy thận có độ thanh thải creatinine # 16,6 ml/ phút có thể dùng chế độ liều như những bệnh nhân có chức năng thận bình thường. Những bệnh nhân suy thận có độ thanh thải creatinine <16,6 ml/ phút, cần phải giảm liều xuống còn 75% so với liều dùng cho bệnh nhân có chức năng thận bình thường với khoảng cách liều là cách mỗi 6 hoặc 8 giờ. * Pha chế dung dịch tiêm: -Tiêm tĩnh mạch: dùng ngay sau khi hòa tan thuốc tiêm Bifotirin trong nước cất pha tiêm, dung dịch natri clorid đẳng trương và dung dịch glucose 5%. - Tiêm truyền: hòa tan liều 0,25 – 2 g vào dung dịch tiêm truyền như dung dịch glucose, dung dịch điện giải, dung dịch acid amin và tiêm truyền kéo dài hơn 30 phút đến 1 giờ. Khi hòa tan không cần dùng nước cất pha tiêm","Trường hợp gặp phải những tác dụng không mong muốn sau, cần ngưng sử dụng thuốc ngay và có biện pháp điều trị thích hợp. 1); Sốc: Sốc có thể xảy ra, nếu có bất kỳ dấu hiệu nào hoặc triệu chứng nào liên quan xảy ra , phải ngưng sử dụng Tratim ngay lập tức và có biện pháp điều trị thích hợp. 2) Mẫn cảm với thuốc: Dấu hiệu về phản ứng quá mẫn cảm như phát ban, nổi mề đay, ban đỏ, ngứa ngáy hoặc sốt có thể xảy ra. 3) Da: Hiếm gặp hội chứng Steven – Johnson’s hoặc hoại tử biểu bì. 4) Huyết học: Dấu hiệu về các phản ứng huyết học như bệnh thiếu máu, giảm bạch cầu hạt, giảm tiểu cầu, hoặc tăng tế bào ưa Eozin có thể xảy ra. 5) Gan: Hiếm thấy trường hợp tăng GOT, GPT, alkaline phophatase, LDH, γ-GTP. 6) Thận: Nên kiểm tra định kỳ chức năng thận vì có thể suy thận nặng như suy thận cấp tính có thể xảy ra. 7) Dạ dày ruột: Hiếm thấy viêm kết mạc ruột nghiêm trọng như viêm ruột kết màng giả, biểu hiện rõ trong phân có máu. Đau bụng và tiêu chảy thường xuyên, cần phải có cách điều trị thích hợp, bao gồm cả việc ngưng chỉ định dùng Tratim. Trường hợp buồn nôn, ói mửa, hoặc biếng ăn hiếm gặp. 8) Hô hấp: hiếm gặp hội chứng PIE biểu hiện rõ bằng sốt, ho , khó thở, kết quả chụp X-quang bất thường, hoặc có tế bào ưa eozin xảy ra. Nếu xảy ra bất kỳ triệu chứng nào như trên phải ngưng sử dụng thuốc ngay lập tức và có cách điều trị thích hợp như cho sử dụng các hormon tuyến thượng thận. 9) Hệ thần kinh trung ương: Tai biến có thể xảy ra trên bệnh nhân suy thận sau khi tiêm tĩnh mạch với dung lượng lớn. 10) Bội nhiễm: Viêm miệng hoặc nấm candida có thể xảy ra. 11) Thiếu vitamin: Hiếm khi thấy thiếu Vitamin K gây ra hiện tượng máu không đông và có xu hướng chảy máu hoặc thiếu Vitamin nhóm B gây ra viêm lưỡi, chán ăn hoặc viêm dây thần kinh. 12) Những trường hợp khác: Đau đầu,hoa mắt có thể xảy ra",Thỉnh thoảng có độc tính trên thận khi sử dụng cùng với kháng sinh họ Cephalosporin hoặc với thuốc lợi tiểu như Furosemide,https://thuocbietduoc.com.vn/thuoc-38471/pmtiam.aspx,,"Kyongbo Pharm Co., Ltd - KOREA"
Secef 200mg,VN-1526-06,Viên nang-200mg,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm",Cefixime,Hộp 1vỉ x 4 viên,Cefixime (200mg),"Viêm tai giữa, viêm họng, viêm amidan, viêm phế quản, viêm phổi cấp & mãn tính. - Nhiễm trùng tiết niệu - sinh dục, bệnh lậu, da & mô mêm. - Điều trị thương hàn. - Dự phòng nhiễm trùng phẫu thuật",Quá mẫn với cephalosporin,"Người lớn & trẻ > 12 tuổi: 50 - 100 mg x 2 lần/ngày, có thể tăng lên 200 mg x 2 lần/ngày. - Nhiễm khuẩn đường tiểu do lậu liều duy nhất 400 mg. Suy thận: giảm liều","Rối loạn tiêu hoá, nhức đầu, nổi mẫn, mề đay, ngứa, sốt, đau khớp. giảm tiểu cầu, giảm bạch cầu, tăng bạch cầu ái toan, thay đổi chức năng gan, thận",Warfarin,https://thuocbietduoc.com.vn/thuoc-5996/secef-200mg.aspx,Sandoz GmbH - AUSTRIA,
"Piperazam 4,5g",VN-3547-07,"Bột đông khô pha tiêm-4g/0,5g","Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm","Piperacillin Sodium, Tazobactam Sodium",Hộp 1 lọ,Tazobactam (-),"Nhiễm trùng đường tiết niệu có & không có biến chứng. - Nhiễm trùng đường hô hấp dưới, trong ổ bụng, da & mô mềm. - Nhiễm khuẩn huyết. - Nhiễm trùng trên bệnh nhân giảm bạch cầu hạt","Quá mẫn với penicillin, cephalosporin hoặc chất ức chế beta-lactamase","Người lớn & trẻ > 12 tuổi: 4,5 g/8 giờ. - Suy thận ClCr = 20 - 80 mL/phút: Liều 4,5 g/8 giờ, < 20 mL/phút: Liều 4,5 g/12 giờ. - Giảm bạch cầu hạt người lớn & trẻ > 50 kg: Liều 4,5 g/6 giờ, trẻ < 50 kg: Liều 90 mg/kg/6 giờ. - Nhiễm trùng trong ổ bụng trẻ < 40 kg: Liều 112,5 mg/kg/8 giờ",,"Probenecid, các thuốc ảnh hưởng đến quá trình đông máu hay chức năng tiểu cầu",https://thuocbietduoc.com.vn/thuoc-17991/piperazam-45g.aspx,Laboratorio Libra S.A - URUGUAY,Công ty TNHH Dược phẩm Việt Pháp - VIETNAM
"Cloramphenicol 0,25g",VNA-3131-00,Viên nén,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm",Chloramphenicol,chai 400 viên nén,Chloramphenicol (-),"Sốt thương hàn, phó thương hàn, nhiễm salmonella, lỵ, nhiễm brucella, nhiễm trùng tiểu, viêm phổi, viêm màng não, viêm loét đại tràng, viêm ruột, bệnh hoa liễu",Quá mẫn với thành phần của thuốc,Người lớn: 50 mg/kg. - Trẻ em: 50 - 100 mg/kg. - Nhũ nhi - Sơ sinh: 25 - 50 mg/kg. Liều chia thành 4 lần bằng nhau,"Buồn nôn, nôn, đau thượng vị, nổi mẩn da, hội chứng xám trẻ sơ sinh, bội nhiễm, thiếu máu bất sản, giảm tế bào máu, viêm thần kinh thị & viêm thần kinh ngoại biên","Chloramphenicol Không dùng với kháng sinh diệt khuẩn, thuốc có tác động trên hệ tạo máu, sulphonylurea, coumarin, hydantoin & methotrexate",https://thuocbietduoc.com.vn/thuoc-7559/cloramphenicol-025g.aspx,Xí nghiệp Dược phẩm 380-Bộ Công An - VIETNAM,
Vinecef-500,VN-10432-10,Viên nén bao phim,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm",Cefuroxime Axetil,Hộp 1 vỉ x 10 viên,Cefuroxime (500mg Cefuroxime),"Nhiễm khuẩn đường hô hấp dưới như viêm phổi, viêm phế quản cấp và mạn. Nhiễm khuẩn đường hô hấp trên như nhiễm khuẩn tai, mũi, họng như viêm tai giữa, viêm xoang, viêm amydale, viêm họng. Nhiễm khuẩn niệu- sinh dục: viêm bể thận, viêm bàng quang, viêm niệu đạo, nhiễm khuẩn da và mô mềm như mụn nhọt, mủ da, chốc lở. Bệnh lậu; viêm niệu đạo cấp không biến chứng do lậu cầu và viêm cổ tử cung",Không dùng cho bệnh nhân nhạy cảm với kháng sinh nhóm Cephalosporin,"Người lớn: Trong bệnh viêm phế quản và viêm phổi 500mg x 2 lần/ngày. Trong đa số các nhiễm trùng: 250mg x 2 lần /ngày. Trong nhiễm trùng đường niệu, dùng liều 125mg x 2 lần/ngày. Bệnh lậu không biến chứng: liều duy nhất 1g Trẻ em: Liều thông thường là 125mg x 2 lần/ngày hay 10mg/kg x 2 lần/ngày.Liều tối đa 250mg/ngày. Trẻ em trên 2 tuổi mắc bệnh viêm tai giữa: 250mg x 2 lần/ngày hay 15mg/kg x 2 lần/ngày, tới tối đa 500mg/ngày","Đa số các tác dụng ngoại ý do cefuroxim đều nhẹ và chỉ thoáng qua: buồn nôn, nôn, đau bụng, viêm đại tràng giả. Tăng bạch cầu ưa eosin và tăng thoáng qua các men gan",Probenecid làm chậm sự bài tiết cefuroxim,https://thuocbietduoc.com.vn/thuoc-33932/vinecef-500.aspx,"Micro Labs., Ltd - India",
