Drug Name,Registration Number,Dosage Form,Category,Ingredients,Packaging,Active Ingredients,Indications,Contraindications,Dosage and Administration,Side Effects,Drug Interactions,Source URL,Manufacturer,Registrant
Zovirin,VN-8097-09,Viên nén,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm",Ribavirin,Hộp 1 vỉ 10 viên,Ribavirin (-),"Viêm gan A, B, C do virus, Herpes zoster, herpes simplex. Rút ngắn thời gian bị cúm. - Các bệnh virus ở trẻ em: sởi, quai bị, thủy đậu, hợp bào hô hấp",Suy thận nặng (ClCr < 30 mL/phút);. Thiếu máu mạn tính (Hb < 10 g/dl). Thai kỳ. Mẫn cảm với thuốc,"Người lớn: Viêm gan A 800 mg/ngày, chia ra nhiều lần x 10 - 14 ngày. - Viêm gan B & C 800 - 1200 mg/ngày, chia 3 - 4 lần x 6 tháng - 1 năm. - Herpes zoster/simplex 800 - 1200 mg/ngày, chia 3 - 4 lần x 7 - 10 ngày. - Dự phòng tái phát Herpes sinh dục 400 mg/ngày, chia 1 - 2 lần x 6 tháng","Thiếu máu tán huyết nhẹ. Ðau cơ, buồn nôn, mệt mỏi & ngứa (hồi phục sau khi ngưng điều trị). Tăng bilirubin, acid uric huyết thanh. Rối loạn tiêu hóa, TKTW",Ribavirin Khi dùng bằng đường toàn thân người ta thấy có sự hiệp lực giữa Ribavirin và dideoxyinosine (ddI) trong việc ức chế HIV,https://thuocbietduoc.com.vn/thuoc-30108/zovirin.aspx,M/s CCL Pharmaceuticals Pvt Ltd. - Pakistan,Công ty TNHH Mỹ Âu á - VIETNAM
Aegendinir 125,VN-13904-11,Bột pha hỗn dịch uống,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm",Cefdinir,Hộp 10 gói 125mg,Cefdinir (125mg),"Điều trị các nhiễm khuẩn nhẹ đến vừa do các chủng vi khuẩn nhạy cảm cho trẻ em trong các trường hợp sau: – Viêm tai giữa nhiễm khuẩn cấp. – Viêm xoang hàm cấp. – Viêm họng, viêm amidan. – Nhiễm khuẩn da và cấu trúc da không biến chứng","Mẫn cảm với cefdinir và các kháng sinh khác thuộc nhóm cephalosporin, penicillin","– Theo chỉ dẫn của bác sỹ. – Có thể uống trước hoặc sau bữa ăn. – Trẻ em từ 6 tháng – 12 tuổi: liều dùng 14mg/kg/ngày. Tối đa 600mg/ngày. Trường hợp nhiễm khuẩn Liều dùng Thời gian dùng Viêm tai giữa nhiễm khuẩn cấp 7mg/kg x 2 lần/ngày |5- 10 ngày hoặc 14mg/kg/lần/ngày | 10 ngày Viêm xoang hàm cấp 7mg/kg x 2 lần/ngày hoặc 14mg/kg/lần/ngày | 10 ngày Viêm họng, viêm amidan 7mg/kg x 2 lần/ngày | 5 – 10 ngày hoặc 14mg/kg/lần/ngày |10 ngày Nhiễm khuẩn da và cấu trúc da không biến chứng 7mg/kgx 2 lần/ngày 10 ngày – Bệnh nhân suy thận: trẻ em có độ thanh thải creatinine < 30ml/phút: dùng liều 7mg/kg/lần/ngày (tối đa 300mg). – Bệnh nhân thẩm tách máu: liều bắt đầu 7mg/kg mỗi 2 ngày/lần ở trẻ em. Do một phần cefdinir bị loại bỏ bởi quá trình thẩm tách máu, tại thời điểm kết thúc một đợt thẩm tách nên dùng một liều bổ sung 7mg/kg ở trẻ em và liều tiếp theo sau dùng mỗi 2 ngày/lần","– Các tác dụng phụ có thể gặp: tiêu chảy, buồn nôn, nhức đầu, đau bụng, nổi mẫn,... – Thông báo cho bác sỹ những tác dụng phụ không mong muốn gặp phải khi sử dụng thuốc","– Dùng đồng thời với các thuốc chứa sắt hoặc các thuốc kháng acid làm giảm hấp thu cefdinir. Do đó, nếu cần thiết dùng đồng thời, cefdinir nên uống cách 2 giờ trước hay sau khi dùng các thuốc trên. – Probenecid làm giảm sự bài tiết qua thận của cefdinir",https://thuocbietduoc.com.vn/thuoc-41036/aegendinir-125.aspx,Aegen Bioteck Pharma Private Limited - INDIA,Vista Labs - USA
Oncecef 1g,VN-20477-17,Thuốc bột pha tiêm,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm",Ceftriaxon (dưới dạng Ceftriaxon natri) 1g,Hộp gồm 1 lọ và 1 ống 10ml nước cất pha tiêm,Ceftriaxone (-),"Nhiễm trùng hô hấp, tai - mũi - họng, thận - tiết niệu sinh dục, nhiễm trùng máu, viêm màng não mủ. - Dự phòng nhiễm trùng hậu phẫu, nhiễm trùng xương khớp, da, vết thương & mô mềm, viêm phúc mạc, viêm túi mật, viêm đường mật & nhiễm trùng tiêu hóa","Quá mẫn cảm với ceftriaxone hoặc cephalosporin, penicilline","Tiêm IM hoặc IV: - Người lớn & trẻ > 12 tuổi: 1 - 2 g/ngày; trường hợp nặng: 4 g/ngày. - Trẻ 15 ngày tuổi đến 12 tuổi: 20 - 80 mg/kg. - Trẻ < 14 ngày tuổi: 20 - 50 mg/kg/ngày. - Viêm màng não: 100 mg/kg x 1 lần/ngày, tối đa 4 g. - Lậu: Tiêm IM liều duy nhất 250 mg. - Dự phòng trước phẫu thuật: 1 - 2 g tiêm 30 - 90 phút trước mổ","Quá mẫn da, vàng da, tăng men gan, suy thận cấp, viêm đại tràng nặng, viêm phổi kẽ & sốc",Thuốc lợi tiểu,https://thuocbietduoc.com.vn/thuoc-57535/oncecef-1g.aspx,Pharmavision San ve Tic. A.S. - TURKEY,Công ty TNHH MTV DP Altus - VIETNAM
Hepazol,VN-9442-10,Viên bao phim,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm",Tenofovir disoproxil fumarate,Hộp 1 vỉ x 10 viên,Tenofovir (300mg),"Tenofovir Điều trị nhiễm HIV-týp 1 (HIV-1) ở người lớn, kết hợp với các thuốc kháng retrovirus khác (không dùng riêng lẻ). Phòng ngừa nhiễm HIV sau khi đã tiếp xúc với bệnh (do nghề nghiệp hay không do nghề nghiệp) ở người có nguy cơ lây nhiễm virus, kết hợp với các thuốc kháng retrovirus khác. Điều trị viêm gan siêu vi B mãn tính ở người lớn khi đã đề kháng với lamivudin",Tenofovir Bệnh nhân mẫn cảm với tenofovir disoproxil fumarat hoặc với bất kỳ thành phần nào của thuốc,"Tenofovir Uống thuốc một lần mỗi ngày, không bị ảnh hưởng bởi bữa ăn. Người lớn: Điều trị nhiễm HIV: 1 viên (300 mg) x 1 lần/ngày, kết hợp với các thuốc kháng retrovirus khác. Dự phòng nhiễm HIV sau tiếp xúc do nguyên nhân nghề nghiệp: 1 viên (300 mg) x 1 lần/ngày kết hợp với các thuốc kháng retrovirus khác (thường kết hợp với lamivudin hay emtricitabin). Nên bắt đầu càng sớm càng tốt (tốt nhất là trong vòng vài giờ) sau khi tiếp xúc do nguyên nhân nghề nghiệp và tiếp tục trong 28 ngày. Dự phòng nhiễm HIV sau tiếp xúc không do nguyên nhân nghề nghiệp: 1 viên x 1 lần/ngày kết hợp với ít nhất 2 thuốc kháng retrovirus khác. Nên bắt đầu càng sớm càng tốt sau khi tiếp xúc không do nguyên nhân nghề nghiệp (tốt nhất là trong vòng 72 giờ) và tiếp tục trong 28 ngày. Điều trị viêm gan siêu vi B mạn tính: 1 viên x 1 lần/ngày trong 48 tuần. Bệnh nhân suy thận điều chỉnh liều dựa trên độ thanh thải creatinin (Clcr): Clcr ≥ 50 ml/phút: 1 lần/ngày. Clcr 30-49 ml/phút: Dùng cách nhau mỗi 48 giờ. Clcr 10-29 ml/phút: Dùng cách nhau mỗi 72 đến 96 giờ. Bệnh nhân thẩm phân máu: Dùng một liều cách nhau mỗi 7 ngày hoặc sau khi thẩm phân 12 giờ. Do tính an toàn và hiệu quả của những liều dùng trên chưa được đánh giá trên các nghiên cứu lâm sàng, nên theo dõi chặt chẽ đáp ứng lâm sàng của trị liệu và chức năng thận. Bệnh nhân suy gan không cần điều chỉnh liều","Tenofovir Tiêu chảy, nôn và buồn nôn, đau bụng, đầy hơi, khó tiêu, chán ăn. Nồng độ amylase huyết thanh có thể tăng cao và viêm tụy. Giảm phosphat huyết Phát ban da. Bệnh thần kinh ngoại vi, đau đầu, chóng mặt, mất ngủ, trầm cảm, suy nhược, ra mồ hôi và đau cơ. Tăng men gan, tăng nồng độ triglycerid máu, tăng đường huyết và thiếu bạch cầu trung tính. Suy thận, suy thận cấp và các tác dụng trên ống lượn gần, bao gồm hội chứng Fanconi. Nhiễm acid lactic, thường kết hợp với chứng gan to nghiêm trọng và nhiễm mỡ",,https://thuocbietduoc.com.vn/thuoc-32488/hepazol.aspx,APC Pharmaceuticals & Chemicals Ltd. - HONGKONG,
Amoxicillin 500mg,H01-038-00,Viên nang,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm",Amoxicilline,"Hộp 1chai x 100 viên nang, hộp 10 vỉ x 10 viên nang",Amoxicillin (500mg),"Nhiễm trùng hô hấp, tai mũi họng, răng miệng, sinh dục, tiêu hóa & gan mật","Dị ứng với penicillin. Nhiễm virus thuộc nhóm Herpes, nhất là bệnh tăng bạch cầu đơn nhân nhiễm khuẩn","– Người lớn và trẻ em trên 40 kg: 750 mg – 3 g / ngày, chia làm 3-4 lần – Trẻ em dưới 40 kg: 25 – 50 mg / kg thể trọng / 24 giờ. – Đối với người suy thận, phải giảm liều theo hệ số thanh thải creatinin: * Cl creatinin < 10 ml / phút: 500 mg / 24 giờ. * Cl creatinin > 10 ml / phút: 500 mg / 12 giờ","Nổi mày đay, tăng bạch cầu ưa acid, phù Quincke, khó thở, hiếm khi gặp sốc phản vệ. Buồn nôn, mửa, tiêu chảy, nhiễm nấm Candida","– Nifedipin làm tăng hấp thu Amoxicillin. – Khi dùng Allopurinol cùng với Amoxicillin sẽ làm tăng khả năng phát ban của Amoxicillin. – Có thể có sự đối kháng giữa chất diệt khuẩn Amoxicillin và các chất kìm khuẩn như Chloramphenicol, Tetracyclin",https://thuocbietduoc.com.vn/thuoc-1910/amoxicillin-500mg.aspx,Công ty Cổ phần Armephaco - Xí nghiệp dược phẩm 150 - VIETNAM,
Fracef,VN-9294-05,Cốm pha hỗn dịch uống,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm",Cefaclor,,Cefaclor (125mg/gói),"Nhiễm khuẩn đường hô hấp trên và hô hấp dưới mức độ nhẹ và vừa do các vi khuẩn nhạy cảm: viêm tai giữa cấp, viêm xoang cấp, viêm họng, viêm amidan tái phát nhiều lần, viêm phế quản cấp có bội nhiễm, viêm phổi, đợt bùng phát của viêm phế quản mạn tính. - Nhiễm khuẩn đường tiết niệu không biến chứng do các chủng vi khuẩn nhạy cảm (bao gồm viêm thận - bể thận và viêm bàng quang);. - Nhiễm khuẩn da và mô mềm do các chủng Staphylococcus aureus nhạy cảm với methicilin và Streptococcus pyogenes nhạy cảm",Không dùng cho bệnh nhân nhạy cảm với kháng sinh nhóm cephalosporin và các thành phần khác của thuốc. Trẻ em dưới 1 tháng tuổi,"Cách sử dụng: Dùng thuốc đường uống. Cho thuốc vào trong ½ ly nước, khuấy đều tạo hỗn dịch","Ước tính gặp ở khoảng 4% người bệnh dùng cefaclor. Ban da và tiêu chảy thường gặp nhất. Thường gặp, ADR > 1/100 Máu: Tăng bạch cầu ưa eosin. Tiêu hóa: Tiêu chảy. Da: Ban da dạng sởi. Ít gặp, 1/1000 < ADR < 1/100 Toàn thân: Test Coombs trực tiếp dương tính. Máu: Tăng tế bào lympho, giảm bạch cầu, giảm bạch cầu trung tính. Tiêu hóa: Buồn nôn, nôn. Da: Ngứa, nổi mày day. Tiết niệu - sinh dục: Ngứa bộ phận sinh dục, viêm âm đạo, bệnh nấm Candida. Hiếm gặp, ADR < 1/1000 Toàn thân: Phản ứng phản vệ, sốt, triệu chứng giống bệnh huyết thanh (thường gặp ở bệnh nhi dưới 6 tuổi). Hội chứng Stevens-Johnson, hoại tử biểu bì nhiễm độc (hội chứng Lyell), ban da mụn mủ toàn thân. Phản ứng giống bệnh huyết thanh hay gặp ở trẻ em hơn người lớn: Ban da dạng, viêm hoặc đau khớp, sốt hoặc không, có thể kèm theo hạch to, protein niệu. Máu: Giảm tiểu cầu, thiếu máu tan huyết. Tiêu hóa: Viêm đại tràng màng giả. Gan: Tăng enzym gan (ASAT, ALAT, phosphatase kiềm), viêm gan và vàng da ứ mật. Thận: Viêm thận kẽ hồi phục, tăng nhẹ urê huyết hoặc creatinin huyết thanh hoặc xét nghiệm nước tiểu không bình thường. Thần kinh trung ương: Cơn động kinh (với liều cao và suy giảm chức năng thận), tăng kích động, đau đầu, tình trạng bồn chồn, mất ngủ, lú lẫn, tăng trương lực, chóng mặt, ảo giác và ngủ gà. Bộ phận khác: Đau khớp. Hướng dẫn cách xử trí ADR Ngừng sử dụng cefaclor nếu xảy ra dị ứng. Các triệu chứng quá mẫn có thể dai dẳng trong một vài tháng. Trong trường hợp dị ứng hoặc phản ứng quá mẫn nghiêm trọng cần tiến hành điều trị hỗ trợ (duy trì thông khí, thở oxy, sử dụng adrenalin, tiêm tĩnh mạch corticosteroid). Ngừng điều trị nếu bị tiêu chảy nặng. Các trường hợp bị viêm đại tràng màng giả do Clostridium difficile phát triển quá mức ở thể nhẹ, thường chỉ cần ngừng thuốc. Các trường hợp thể vừa và nặng, cần lưu ý cho truyền dịch và chất điện giải, bổ sung protein và điều trị bằng kháng sinh có tác dụng với C.difficile (nên dùng metronidazol, không dùng vancomycin). Phản ứng giống bệnh huyết thanh thường xảy ra một vài ngày sau khi bắt đầu điều trị và giảm dần sau khi ngừng thuốc vài ngày. Đôi khi phản ứng nặng cần điều trị bằng các thuốc kháng histamin và corticosteroid. Nếu bị co giật do thuốc điều trị, phải ngừng thuốc. Có thể điều trị bằng thuốc chống co giật nếu cần","Dùng dồng thời cefaclor và warfarin hiếm khi gây tăng thời gian prothrombin, biểu hiện gây chảy máu hay không chảy máu lâm sàng. Bệnh nhân thiếu vitamin K (ăn kiêng, hội chứng kém hấp thu) và bệnh nhân suy thận là những đối tượng có nguy cơ cao gặp tương tác. Đối với những bệnh nhân này, nên theo dõi thường xuyên thời gian prothrombin và điều chỉnh liều nếu cần thiết. Probenecid làm tăng nồng độ cefaclor trong huyết thanh. Cefaclor dùng đồng thời với các thuốc kháng sinh aminoglycosid hoặc thuốc lợi tiểu furosemid có thể làm tăng độc tính đối với thận",https://thuocbietduoc.com.vn/thuoc-5306/fracef.aspx,Lloyd Laboratories Inc - PHILIPPINES,Công ty CP Dược phẩm Duy Tân DUYTANPHARMA - VIETNAM
Novicef-300,VN-6406-08,Viên nang cứng,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm",Cefdinir,Hộp 1vỉ x 4viên,Cefdinir (300mg),"Nhiễm trùng hô hấp trên & dưới. Viêm nang lông, nhọt, chốc lở, viêm quầng, viêm tấy, viêm mạch hay hạch bạch huyết, chín mé, viêm quanh móng, áp-xe dưới da, viêm tuyến mồ hôi, viêm da mủ mạn tính. Viêm thận-bể thận, viêm bàng quang. Viêm phần phụ tử cung, viêm tử cung, viêm tuyến Bartholin",Quá mẫn với thành phần thuốc hoặc với kháng sinh có nhân cephem khác,"Người lớn: 100 mg x 3 lần/ngày. Trẻ em: 9-18 mg/kg/ngày, chia 3 lần. Liều có thể điều chỉnh theo tuổi & triệu chứng bệnh","Hiếm khi xảy ra như buồn nôn, nôn, đau bụng, rối loạn dạ dày, biếng ăn, táo bón; nhưc đầu, chóng mặt, cảm giác nặng ngực; viêm miệng, nhiễm nấm; thiếu vit K, vit nhóm B; giảm bạch cầu, tăng men gan, tăng BUN. Rất hiếm: quá mẫn, viêm ruột, viêm phổi kẽ",Có thể giảm sinh khả dụng khi dùng với chế phẩm chứa sắt,https://thuocbietduoc.com.vn/thuoc-28699/novicef-300.aspx,Systa Labs. - India,
Cefatam Kid,VD-11860-10,Thuốc cốm,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm",Mỗi gói 3g chứa: Cephalexin (dưới dạng Cephalexin monohydrat) 250 mg,"Hộp 12 gói, 25 gói, 14 gói, 24 gói x 3g",Cephalexin (250 mg),"Nhiễm khuẩn đường hô hấp & tai mũi họng, đường tiểu & sinh dục, da & mô mềm",Mẫn cảm với cephalosporin,"Người lớn & trẻ em > 12 tuổi 500 mg x 3 lần/ngày. - Trẻ em 5 - 12 tuổi 250 mg x 3 lần/ngày. - Trẻ em 1 - 4 tuổi 125 mg x 3 lần/ngày. - Trẻ em < 1 tuổi 62,5 - 125 mg x 2 lần/ngày","Nôn, buồn nôn, tiêu chảy","Cephalexin Tránh dùng cephalexin cho bệnh nhân bị dị ứng với kháng sinh nhóm cephalosporin. Vì cephalexin có quan hệ hóa học với penicillin, đôi khi một bệnh nhân có phản ứng dị ứng (thậm chí phản vệ) với cả hai thuốc. Điều trị cephalexin cũng như các kháng sinh khác có thể làm thay đổi vi khuẩn chí bình thường ở đại tràng, cho phép C. difficile tǎng sinh quá mức, đây là một vi khuẩn gây viêm đại tràng giả mạc. Bệnh nhân bị viêm đại tràng giả mạc do hậu quả của điều trị kháng sinh có thể bị ỉa chảy, đau bụng, sốt, thậm chí sốc. Cephalexin không gây quen thuốc. Chưa xác định được độ an toàn sử dụng ở trẻ em",https://thuocbietduoc.com.vn/thuoc-51747/cefatam-kid.aspx,Công ty cổ phần Pymepharco VTYT Phú Yên - VIETNAM,
Kidfix,VN-7535-09,Bột pha hỗn dịch uống,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm",Cefixime trihydrat,Hộp 1 lọ để pha 50ml hỗn dịch,Cefixime (-),"– Nhiễm khuẩn đường tiết niệu không biến chứng do các vi khuẩn nhạy cảm, bệnh lậu không biến chứng. – Một số trường hợp viêm thận – bể thận và nhiễm khuẩn đường tiết niệu có biến chứng do các Enterobacteriaceae, nhưng kết quả điều trị kém hơn so với các trường hợp nhiễm khuẩn đường tiết niệu không biến chứng. – Viêm tai giữa, viêm họng và amiđan. – Viêm phế quản cấp và mạn. – Viêm phổi mắc phải tại cộng đồng thể nhẹ và vừa. – Bệnh thương hàn, bệnh lỵ",Bệnh nhân quá mẫn kháng sinh nhóm Cephalosporin. – Trẻ sơ sinh dưới 6 tháng tuổi,"Người lớn và trẻ em > 12 tuổi: 400 mg/ngày. Viêm nhiễm khuẩn đường niệu do lậu cầu: uống liều duy nhất 400mg hoặc 200mg x 2lần/ngày. Trẻ em 6 tháng – 12 tuổi: 8mg/kg x 1lần/ngày hoặc 4mg/kg x 2lần/ngày. – Đối với bệnh nhân suy thận, cần điều chỉnh liều cho phù hợp: Thời gian điều trị thông thường từ 5 – 10 ngày","– Các tác dụng không mong muốn thường thoáng qua, mức độ nhẹ và vừa. – Thường gặp rối loạn tiêu hóa, đau đầu, chóng mặt, bồn chồn, mất ngủ, mệt mỏi, ban đỏ, mày đay, sốt do thuốc. Rối loạn tiêu hóa thường xảy ra ngay trong 1 – 2 ngày đầu điều trị và đáp ứng với các thuốc điều trị triệu chứng, hiếm khi phải ngừng thuốc. – Ít gặp: tiêu chảy nặng do Clostridium difficile và viêm đại tràng giả mạc; phản vệ, phù mạch, hội chứng Stevens – Johnson, hồng ban đa dạng; giảm tiểu cầu, bạch cầu, bạch cầu ưa acid thoáng qua, giảm nồng độ hemoglobin và hematocrit; viêm gan và vàng da, tăng tạm thời AST, ALT, phosphatase kiềm, bilirubin, LDH; suy thận cấp, tăng nitrogen phi protein huyết tương và nồng độ creatinin huyết tương tạm thời; viêm và nhiễm nấm Candida âm đạo. – Hiếm gặp: co giật, thời gian prothrombin kéo dài. Thông báo cho Bác sĩ những tác dụng không mong muốn gặp phải khi sử dụng thuốc","– Probenecid làm tăng nồng độ đỉnh và AUC của thuốc, giảm độ thanh thải của thận và thể tích phân bố của thuốc. – Khi dùng chung với các thuốc chống đông như warfarin làm tăng thời gian prothrombin, có hoặc kèm theo chảy máu. – Khi dùng chung carbamazepin làm tăng nồng độ carbamazepin trong huyết tương. – Khi dùng chung nifedipin làm tăng sinh khả dụng của thuốc biểu hiện bằng tăng nồng độ đỉnh và AUC",https://thuocbietduoc.com.vn/thuoc-29841/kidfix.aspx,Delta Pharma Ltd. - BANGLADESH,Công ty TNHH Dược phẩm DOHA - VIETNAM
CV 8,VNB-4096-05,Viên nén bao phim,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm","Dihydroartemisinin , Piperaquin phosphate , Primaquine phosphate, Trimethoprim","Hộp 5 vỉ x 8 viên, hộp 1 chai 160 viên nén bao phim","Artemisinin (-), Trimethoprim (-), Piperaquin (-)","Artemisinin Ðiều trị sốt rét do tất cả các loại Plasmodium, kể cả sốt rét nặng do chủng P. falciparum đa kháng. Artemisinin có hiệu quả trong điều trị sốt rét, nhưng chỉ dùng khi các thuốc chống sốt rét khác không có tác dụng và phải dùng đủ liều",,"Artemisinin Viên nén: Viên thuốc có thể nhai và nuốt mà không có vị khó chịu. Liều người lớn và trẻ trên 6 tháng như sau: Ngày 1: 25 mg/kg, dùng một lần duy nhất. Ngày 2: 12,5 mg/kg, dùng một lần duy nhất cộng với mefloquin dạng base 15 – 25 mg/kg. Ngày 3: 12,5 mg/kg, dùng một lần duy nhất. Ở Việt Nam, liều artemisinin cho người lớn như sau: Ngày 1: 1000 mg (4 viên) chia làm 2 lần. Sau đó 500 mg/ngày, trong 4 ngày liên tiếp. Viên đạn: Người lớn: Ngày 1: 1250 mg chia làm hai lần. Sau đó 750 mg/ngày, trong 2 – 3 ngày liên tiếp","Artemisinin Hàng triệu người đã dùng artemisinin, nhưng chưa thấy có khuyến cáo về các phản ứng có hại nghiêm trọng. Các tác dụng có hại thường là nhẹ và thoáng qua, gồm tác hại trên hệ tiêu hóa (như buồn nôn, nôn, đau bụng, tiêu chảy), nhức đầu, chóng mặt, hoa mắt, đặc biệt là sau khi uống. Những cơn sốt ngắn do thuốc cũng đã được báo cáo trong một vài nghiên cứu. Dùng đường hậu môn, người bệnh có thể bị đau mót, đau bụng và tiêu chảy. Hướng dẫn cách xử trí ADR Vấn đề cần thiết là người bệnh phải dùng đủ liều để tránh tái phát. Nếu bị sốt rét nặng, có thể kéo dài đợt điều trị đến 7 ngày. Thường dùng artemisinin khi các thuốc chống sốt rét khác không có hiệu quả","Artemisinin Có hiệp đồng tác dụng giữa artemisinin và mefloquin hoặc tetracyclin cả trên in vitro với P. falciparum và in vivo với P. berghei. Sự phối hợp giữa artemisinin với cloroquin hoặc cloroquin với pyrimethamin có tính chất đối kháng in vitro chống lại P. falciparum. Tương kỵ Artemisinin có thể phối hợp với các thuốc chống sốt rét khác, đặc biệt là với mefloquin hoặc với sulfadoxin và pyrimethamin. Ðộ ổn định và bảo quản Bảo quản ở nơi mát, đồ đựng đậy nút kín, tránh ánh sáng",https://thuocbietduoc.com.vn/thuoc-10130/cv-8.aspx,Công ty cổ phần Dược phẩm OPC - VIETNAM,
