Drug Name,Registration Number,Dosage Form,Category,Ingredients,Packaging,Active Ingredients,Indications,Contraindications,Dosage and Administration,Side Effects,Drug Interactions,Source URL,Manufacturer,Registrant
Bidiocyn 250mg,VNA-4121-01,Viên nén bao đường kèm toa,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm",Tetracycline,"chai 100 viên, 500 viên, 1000 viên nén bao đường kèm toa",Tetracycline (250mg),"Tetracycline Ðiều trị các nhiễm khuẩn do Chlamydia, Rickettsia, lậu cầu, xoắn khuẩn, tả, nhất là các nhiễm khuẩn đường hô hấp, sinh dục, tiết niệu. Điều trị các bệnh do vi khuẩn nội bào, bệnh dịch tả, dịch hạch, đau mắt và trứng cá. Ngoài ra thuốc còn được phối hợp với các bệnh kháng sinh khác để điều trị loét dạ dày tá tràng(diệt Helicobacter pylori), các bệnh do sinh vật đơn bào, ký sinh trùng sốt rét và các vi khuẩn kháng thuốc khác",Tetracycline Quá mẫn với tetracyclin. Phụ nữ có thai hoặc cho con bú. Trẻ em < 9 tuổi. Bệnh gan hoặc thận nặng,"Tetracycline Người lớn: 1-2g/ngày, chia 2-4 lần/ngày. Trẻ 8-15 tuổi: 10-25mg/kg/ngày, chia 3-5 lần (không quá 2g/ngày)","Tetracycline Thường gặp nhất là rối loạn tiêu hoá, bội nhiễm nấm ở miệng, thực quản và nấm candida âm đạo. Làm xương, răng ở trẻ em kém phát triển và biến màu( kể cả khi bà mẹ mang thai dùng thuốc này và trong thời kỳ cho con bú). Các tác dụng không mong muốn khác là mày đay, ban đỏ, thiếu máu, giảm bạch cầu trung tính, giảm chức năng gan thận, tăng áp lực nội sọ. Quá mẫn: sốt, ban đỏ (hiếm gặp). Rối loạn chức năng thận, suy thận. Nhạy cảm với ánh sáng","Tetracycline Tránh dùng đồng thời với muối Ca, Fe, Al, sữa. Methoxyfluran tăng thêm độc tính trên thận của tetracyclin. Barbiturat, phenytoin làm giảm hoạt tính kháng khuẩn của tetracyclin",https://thuocbietduoc.com.vn/thuoc-20730/bidiocyn-250mg.aspx,Công ty Dược & trang thiết bị Y tế Bình Định BIDIPHAR - VIETNAM,
Wonfotiam Injection,VN-10198-10,Bột pha tiêm,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm",Cefotiam hydrochlorid,Hộp 10 lọ x 1g,Cefotiam (1g Cefotiam),"Nhiễm trùng máu - Nhiễm trùng vết bỏng hay vết mổ, áp xe dưới da, mụn nhọt. - Viêm tủy xương, viêm khớp có mủ. - Viêm amidan, viêm phế quản, giãn phế quản có nhiễm trùng, viêm phổi, nhiễm trùng phổi, viêm màng phổi có mủ, viêm đường mật, viêm túi mật, viêm phúc mạc, viêm thận bể thận, viêm bàng quang, viêm niệu đạo, viêm tuyến tiền liệt, viêm màng não, các nhiễm trùng bên trong tử cung, viêm khung chậu, viêm dây chằng, viêm tuyến Bartholin, viêm tai giữa, viêm xoang",Người bệnh có tiền sử sốc với cefotiam. - Người bệnh có tiền sử dị ứng với kháng sinh nhóm Beta lactam,"Người lớn: Tiêm tĩnh mạch 0,5 - 2g/ ngày, chia làm 2 - 4 lần Trẻ em: Tiêm tĩnh mạch 40 – 80 mg/ kg thể trọng/ ngày chia làm 3 - 4 lần. Liều điều trị nhiễm trùng máu ở người lớn có thể lên đến 4 g/ ngày. Liều điều trị nhiễm trùng nặng hoặc kéo dài (như nhiễm trùng máu, viêm màng não) ở trẻ em có thể tăng đến 160 mg/kg/ ngày. Liều có thể được điều chỉnh tùy theo tuổi và triệu chứng của bệnh nhân. Bệnh nhân suy thận: Những bệnh nhân suy thận có độ thanh thải creatinine # 16,6 ml/ phút có thể dùng chế độ liều như những bệnh nhân có chức năng thận bình thường. Những bệnh nhân suy thận có độ thanh thải creatinine <16,6 ml/ phút, cần phải giảm liều xuống còn 75% so với liều dùng cho bệnh nhân có chức năng thận bình thường với khoảng cách liều là cách mỗi 6 hoặc 8 giờ. * Pha chế dung dịch tiêm: -Tiêm tĩnh mạch: dùng ngay sau khi hòa tan thuốc tiêm Bifotirin trong nước cất pha tiêm, dung dịch natri clorid đẳng trương và dung dịch glucose 5%. - Tiêm truyền: hòa tan liều 0,25 – 2 g vào dung dịch tiêm truyền như dung dịch glucose, dung dịch điện giải, dung dịch acid amin và tiêm truyền kéo dài hơn 30 phút đến 1 giờ. Khi hòa tan không cần dùng nước cất pha tiêm","Trường hợp gặp phải những tác dụng không mong muốn sau, cần ngưng sử dụng thuốc ngay và có biện pháp điều trị thích hợp. 1); Sốc: Sốc có thể xảy ra, nếu có bất kỳ dấu hiệu nào hoặc triệu chứng nào liên quan xảy ra , phải ngưng sử dụng Tratim ngay lập tức và có biện pháp điều trị thích hợp. 2) Mẫn cảm với thuốc: Dấu hiệu về phản ứng quá mẫn cảm như phát ban, nổi mề đay, ban đỏ, ngứa ngáy hoặc sốt có thể xảy ra. 3) Da: Hiếm gặp hội chứng Steven – Johnson’s hoặc hoại tử biểu bì. 4) Huyết học: Dấu hiệu về các phản ứng huyết học như bệnh thiếu máu, giảm bạch cầu hạt, giảm tiểu cầu, hoặc tăng tế bào ưa Eozin có thể xảy ra. 5) Gan: Hiếm thấy trường hợp tăng GOT, GPT, alkaline phophatase, LDH, γ-GTP. 6) Thận: Nên kiểm tra định kỳ chức năng thận vì có thể suy thận nặng như suy thận cấp tính có thể xảy ra. 7) Dạ dày ruột: Hiếm thấy viêm kết mạc ruột nghiêm trọng như viêm ruột kết màng giả, biểu hiện rõ trong phân có máu. Đau bụng và tiêu chảy thường xuyên, cần phải có cách điều trị thích hợp, bao gồm cả việc ngưng chỉ định dùng Tratim. Trường hợp buồn nôn, ói mửa, hoặc biếng ăn hiếm gặp. 8) Hô hấp: hiếm gặp hội chứng PIE biểu hiện rõ bằng sốt, ho , khó thở, kết quả chụp X-quang bất thường, hoặc có tế bào ưa eozin xảy ra. Nếu xảy ra bất kỳ triệu chứng nào như trên phải ngưng sử dụng thuốc ngay lập tức và có cách điều trị thích hợp như cho sử dụng các hormon tuyến thượng thận. 9) Hệ thần kinh trung ương: Tai biến có thể xảy ra trên bệnh nhân suy thận sau khi tiêm tĩnh mạch với dung lượng lớn. 10) Bội nhiễm: Viêm miệng hoặc nấm candida có thể xảy ra. 11) Thiếu vitamin: Hiếm khi thấy thiếu Vitamin K gây ra hiện tượng máu không đông và có xu hướng chảy máu hoặc thiếu Vitamin nhóm B gây ra viêm lưỡi, chán ăn hoặc viêm dây thần kinh. 12) Những trường hợp khác: Đau đầu,hoa mắt có thể xảy ra",Thỉnh thoảng có độc tính trên thận khi sử dụng cùng với kháng sinh họ Cephalosporin hoặc với thuốc lợi tiểu như Furosemide,https://thuocbietduoc.com.vn/thuoc-33286/wonfotiam-injection.aspx,"Daewon Pharm Co., Ltd - KOREA",
Levonis-250,VN-6441-08,Viên nén bao phim,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm",Levofloxacin hemihydrate,Hộp 1 vỉ x 10 viên,Levofloxacine (Levofloxacin 250mg/),"Điều trị nhiễm trùng nhẹ, trung bình & nặng ở người lớn > 18 tuổi như: Viêm xoang cấp, đợt cấp viêm phế quản mãn, viêm phổi, viêm phổi mắc phải trong cộng đồng, nhiễm trùng da & cấu trúc da, nhiễm trùng đường tiết niệu có & không có biến chứng, viêm thận - bể thận cấp tính","Quá mẫn với thành phần thuốc, nhóm quinolon","Levofloxacine Liều lượng và đường dùng tùy từng loại và độ nặng nhiễm khuẩn và độ nhạy của tác nhân gây bệnh được nghi ngờ. Trong trường hợp cần phải điều trị bước đầu bằng đường tĩnh mạch với dung dịch tiêm truyền levofloxacin (bệnh nhân không thích hợp với đường uống), sau vài ngày có thể chuyển từ đường tĩnh mạch lúc đầu sang dùng đường uống với cùng liều lượng, tùy theo tình trạng của bệnh nhân","Có thể có: buồn nôn, nôn, tiêu chảy, thay đổi vị giác, rối loạn giấc ngủ, nhức đầu, chóng mặt. - Hiếm: nhạy cảm ánh nắng, đau sưng khớp/cơ/gân, đau bụng, thay đổi thị giác, phản ứng dị ứng. - Rất hiếm: động kinh, rối loạn tinh thần, đau ngực, rối loạn nhịp tim, bồn chồn, lo âu, thay đổi lượng nước tiểu, vàng mắt/da, Bội nhiễm khi dùng kéo dài","Levofloxacine Thuốc viên: Không có sự tương tác có ý nghĩa với thức ăn. Hai giờ trước hoặc sau khi uống levofloxacin, không nên uống những chế phẩm có chứa các cation hóa trị hai hoặc hóa trị ba như các muối sắt hoặc thuốc kháng-acid chứa magnesi hay nhôm, vì có thể làm giảm hấp thu. Sinh khả dụng của levofloxacin giảm có ý nghĩa khi thuốc được dùng chung với sucralfate, vì thế chỉ nên uống sucralfate 2 giờ sau khi uống levofloxacin. Thuốc và dung dịch tiêm truyền: Trong một nghiên cứu lâm sàng, không thấy các tương tác dược động học của levofloxacin với theophyllin. Tuy vậy, ngưỡng co giật ở não có thể giảm đáng kể khi dùng chung quinolone với theophyllin, fenbufen hoặc các thuốc kháng viêm không-steroid tương tự hoặc các thuốc khác có tác dụng hạ thấp ngưỡng co giật. Nên thận trọng khi dùng chung levofloxacin với những thuốc ảnh hưởng sự bài tiết ở ống thận như probenecid và cimetidine, đặc biệt là trên bệnh nhân suy thận.Tăng thời gian đông máu (PT/INR) và/hoặc chảy máu, có thể trầm trọng, đã được báo cáo trên bệnh nhân được điều trị levofloxacin phối hợp với thuốc đối kháng vitamin K (ví dụ warfarin). Do đó, cần theo dõi các xét nghiệm đông máu trên bệnh nhân được điều trị thuốc đối kháng vitamin K",https://thuocbietduoc.com.vn/thuoc-28725/levonis-250.aspx,"Kniss Laboratories Pvt., Ltd - India","Axon Drugs Private., Ltd - India"
Merausin,VN-4333-07,Bột pha tiêm-1g,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm",Ceftriaxone sodium,Hộp 1 lọ,Ceftriaxone (-),"Nhiễm trùng hô hấp, tai - mũi - họng, thận - tiết niệu sinh dục, nhiễm trùng máu, viêm màng não mủ. - Dự phòng nhiễm trùng hậu phẫu, nhiễm trùng xương khớp, da, vết thương & mô mềm, viêm phúc mạc, viêm túi mật, viêm đường mật & nhiễm trùng tiêu hóa","Quá mẫn cảm với ceftriaxone hoặc cephalosporin, penicilline","Tiêm IM hoặc IV: - Người lớn & trẻ > 12 tuổi: 1 - 2 g/ngày; trường hợp nặng: 4 g/ngày. - Trẻ 15 ngày tuổi đến 12 tuổi: 20 - 80 mg/kg. - Trẻ < 14 ngày tuổi: 20 - 50 mg/kg/ngày. - Viêm màng não: 100 mg/kg x 1 lần/ngày, tối đa 4 g. - Lậu: Tiêm IM liều duy nhất 250 mg. - Dự phòng trước phẫu thuật: 1 - 2 g tiêm 30 - 90 phút trước mổ","Quá mẫn da, vàng da, tăng men gan, suy thận cấp, viêm đại tràng nặng, viêm phổi kẽ & sốc",Thuốc lợi tiểu,https://thuocbietduoc.com.vn/thuoc-23185/merausin.aspx,"Daihan Pharm Co., Ltd - KOREA",Công ty TNHH SX và TMDV kinh doanh Dược phẩm Nghĩa Phát - VIETNAM
Eurosefro 500 Navana Pharma,VN-13596-11,Viên nang,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm",Cephradine,,Cephradine (500mg),"Cephradine Nhiễm trùng đường hô hấp trên (viêm họng, viêm xoang, viêm tai giữa, viêm họng-phế quản); & dưới (viêm phế quản cấp & mãn, viêm phế quản phổi, viêm phổi thuỳ). Nhiễm trùng da & mô mềm (ápxe, viêm mô mềm, mụn, nhọt, chốc lở). Giúp giảm nguy cơ nhiễm trùng hậu phẫu khi phẫu thuật có nguy cơ nhiễm trùng cao",Cephradine Quá mẫn với cephalosporin,"Cephradine Uống không phụ thuộc bữa ăn. Trẻ 6-12 tuổi: 10mL/lần x 2-4 lần/ngày. Trẻ 1-6 tuổi: 5mL/lần x 2-4 lần/ngày. Trẻ < 1 tuổi: 25 mg/kg/ngày, chia 2-4 liều hoặc 1.25-2.5mL/lần x 2 lần/ngày. Viêm tai giữa 10-20mL/lần x 2-3 lần/ngày. Tối đa 4g/ngày. Suy thận: chỉnh liều theo ClCr","Cephradine Viêm lưỡi, ợ nóng, chóng mặt, buồn nôn, nôn, tiêu chảy, đau bụng, viêm âm đạo, bội nhiễm nấm. Mề đay, nổi mẩn, đau khớp, phù","Cephradine Dùng đồng thời probenecid uống sẽ cạnh tranh ức chế bài tiết của đa số các cephalosporin ở ống thận, làm tăng và kéo dài nồng độ của cephalosporin trong huyết thanh",https://thuocbietduoc.com.vn/thuoc-7340/eurosefro-500.aspx,"Navana Pharm., Ltd - BANGLADESH",Công ty TNHH Dược phẩm C.A.T - VIETNAM
Meipen 1g,VN1-069-08,Bột pha tiêm,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm",Meropenem Trihydrat,Hộp 1lọ,Meropenem (1g Meropenem),"Meropenem dùng đường tĩnh mạch (IV) được chỉ định trong điều trị các nhiễm khuẩn ở người lớn và trẻ em gây ra bởi một hay nhiều vi khuẩn nhạy cảm với meropenem như sau: - Viêm phổi và viêm phổi bệnh viện. - Nhiễm khuẩn đường niệu. - Nhiễm khuẩn trong ổ bụng. - Nhiễm khuẩn phụ khoa, như viêm nội mạc tử cung và các bệnh lý viêm vùng chậu. - Nhiễm khuẩn da và cấu trúc da. - Viêm màng não. - Nhiễm khuẩn huyết. - Điều trị theo kinh nghiệm các nghi ngờ nhiễm khuẩn ở người lớn bị sốt giảm bạch cầu theo đơn trị liệu hay phối hợp với các thuốc kháng virus hoặc thuốc kháng nấm. Meropenem đơn trị liệu hay phối hợp với các thuốc kháng khuẩn khác đã được chứng minh là hiệu quả trong điều trị nhiễm khuẩn hỗn hợp. Meropenem dùng đường tĩnh mạch đã cho thấy hiệu quả trên bệnh nhân xơ hóa nang và nhiễm khuẩn đường hô hấp dưới mạn tính khi sử dụng như đơn trị liệu hoặc phối hợp với các thuốc kháng khuẩn khác. Vi khuẩn không phải luôn luôn được tiệt trừ hoàn toàn. Chưa có kinh nghiệm sử dụng thuốc ở trẻ em giảm bạch cầu hay suy giảm miễn dịch nguyên phát hoặc thứ phát","Không sử dụng thuốc Tiepanem cho bệnh nhân mẫn cảm với thuốc Không sử dụng thuốc Tiepanem cho bệnh nhân dị ứng hoạt chất, bất kỳ chất kháng khuẩn carbapenem nào khác hay bất kì thành phần tá dược. Thuốc không dùng cho bệnh nhân quá mẫn cảm nghiêm trọng (ví dụ như phản ứng phản vệ, phản ứng da nghiêm trọng) với bất kỳ loại tác nhân kháng khuẩn beta-lactam nào khác (ví dụ như penicillin hoặc cephalosporin)","Người lớn: Liều lượng và thời gian điều trị tùy thuộc mức độ và loại nhiễm khuẩn cũng như tình trạng bệnh nhân. Liều khuyến cáo mỗi ngày như sau: 500 mg Meropenem dùng đường tĩnh mạch (IV) mỗi 8 giờ trong điều trị viêm phổi, nhiễm khuẩn đường niệu, các nhiễm khuẩn phụ khoa như viêm nội mạc tử cung, nhiễm khuẩn da và cấu trúc da. 1 g Meropenem dùng đường tĩnh mạch (IV) mỗi 8 giờ trong điều trị viêm phổi bệnh viện, viêm phúc mạc, các nghi ngờ nhiễm khuẩn ở bệnh nhân giảm bạch cầu, nhiễm khuẩn huyết. Trong bệnh xơ hóa nang, liều lên đến 2 g mỗi 8 giờ đã được sử dụng; đa số bệnh nhân được điều trị với liều 2 g mỗi 8 giờ. Trong viêm màng não, liều khuyến cáo là 2 g mỗi 8 giờ. Cũng như các thuốc kháng sinh khác, cần đặc biệt thận trọng khi sử dụng meropenem đơn trị liệu trong trường hợp nhiễm khuẩn hay nghi ngờ nhiễm khuẩn Pseudomonas aeruginosa đường hô hấp dưới trầm trọng. Khuyến cáo nên thường xuyên thử nghiệm độ nhạy cảm của thuốc khi điều trị nhiễm khuẩn do Pseudomonas aeruginosa","Hiếm khi có các biến cố ngoại ý nghiêm trọng. Các biến cố ngoại ý sau ghi nhận qua các thử nghiệm lâm sàng đã được báo cáo: * Các phản ứng tại nơi tiêm: viêm, viêm tĩnh mạch huyết khối, đau tại nơi tiêm. * Các phản ứng dị ứng toàn thân: các phản ứng dị ứng toàn thân (quá mẫn) hiếm xảy ra khi sử dụng meropenem. Các phản ứng này bao gồm phù mạch và các biểu hiện phản vệ. * Các phản ứng da: phát ban, ngứa, mề đay. Các phản ứng da nghiêm trọng như hồng ban đa dạng, hội chứng Stevens-Johnson và hoại tử da nhiễm độc hiếm khi ghi nhận. * Tiêu hóa: đau bụng, buồn nôn, nôn, tiêu chảy. Viêm đại tràng giả mạc đã được báo cáo. * Huyết học: tăng tiểu cầu, tăng bạch cầu ái toan, giảm tiểu cầu, giảm bạch cầu và bạch cầu đa nhân trung tính (kể cả mất bạch cầu hạt rất hiếm xảy ra) có thể hồi phục. Thiếu máu tán huyết hiếm khi xảy ra. Phản ứng Coombs dương tính trực tiếp hay gián tiếp có thể xảy ra ở một số bệnh nhân; đã có ghi nhận về giảm thời gian thromboplastin một phần. * Chức năng gan: tăng nồng độ bilirubin, transaminase, phosphatase kiềm và lactic dehydrogenase huyết thanh đơn thuần hay phối hợp đã được báo cáo. * Hệ thần kinh trung ương: nhức đầu, dị cảm. Co giật đã được báo cáo mặc dù mối liên hệ nhân quả với 'Meronem' chưa được thiết lập. * Tác động không mong muốn khác: nhiễm Candida miệng và âm đạo","Thuốc ó tương tác với các thuốc Probenecid, thuốc chống đông máu. Không khuyến cáo sử dụng đồng thời meropenem và axit valproic/natri valproate/valpromide",https://thuocbietduoc.com.vn/thuoc-28855/meipen-1g.aspx,"Shenzhen Haibin Pharmaceutical Co., Ltd. - China",Công ty cổ phần Dược phẩm TW2 - VIETNAM
Buticef 1000,VN-6981-08,Bột pha tiêm,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm",Cefoperazon natri,Hộp 1 lọ,Cefoperazone (-),"Nhiễm trùng hô hấp, tiết niệu, tiêu hóa. - Viêm phúc mạc, nhiễm trùng máu, viêm màng não mủ, sản phụ khoa, xương khớp",Quá mẫn với cefoperazone hoặc cephalosporins,"Tiêm IM hoặc IV: - Người lớn: 2 - 4 g/ngày, chia 2 lần. + Nhiễm trùng nặng: 8 - 12 g/ngày chia 2 - 3 lần, có thể tăng lên 16 g. - Sơ sinh & trẻ em: 50 - 200 mg/kg/ngày, chia 2 - 4 lần. + Viêm màng não: có thể tăng lên 300 mg/kg. - Suy thận liều tối đa 4 g/ngày","Quá mẫn da, vàng da, tăng men gan, suy thận cấp, viêm đại tràng nặng, viêm phổi kẽ & sốc",Tránh uống chất cồn,https://thuocbietduoc.com.vn/thuoc-29189/buticef-1000.aspx,"Penta Labs Pvt., Ltd - India",Công ty cổ phần Thương mại và đầu tư Tân Phát - VIETNAM
Tetracyclin 500mg,VNB-1072-03,Viên nang,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm",Tetracycline,Hộp 10 vỉ x 10v; lọ 50 viên nang,Tetracycline (500mg),"Ðiều trị các nhiễm khuẩn do Chlamydia, Rickettsia, lậu cầu, xoắn khuẩn, tả, nhất là các nhiễm khuẩn đường hô hấp, sinh dục, tiết niệu, mắt, tiêu hoá và mụn trứng cá",Quá mẫn với tetracyclin. Phụ nữ có thai hoặc cho con bú. Trẻ em < 8 tuổi. Bệnh gan hoặc thận nặng,"Uống 1 giờ trước hoặc 2 giờ sau khi ăn: - Người lớn: 250 - 500 mg/lần x 4 lần/ngày. Trẻ > 8 tuổi: 25 - 50 mg/kg/ngày, chia 4 lần. - Mụn trứng cá dùng thời gian dài với liều giảm dần từ 750 mg - 1 g/ngày đến 250 mg/ngày","Sốt, ban đỏ , rối loạn chức năng thận, suy thận, nhạy cảm với ánh sáng","Tránh dùng đồng thời với muối Ca, Fe, Al, sữa",https://thuocbietduoc.com.vn/thuoc-20564/tetracyclin-500mg.aspx,Công ty cổ phần Dược & thiết bị vật tư Y tế Thanh Hóa - VIETNAM,
Seczolin,VN-9613-05,Viên nén bao phim,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm",Secnidazole,Hộp 1 vỉ x 2 viên,Secnidazole (1g),"Bệnh Amib ruột cấp tính. - Bệnh viêm âm đạo do trichomonas, Giardia và nhiễm khuẩn. - Nhiễm Amib ruột không triệu chứng. Bệnh Amib gan",Quá mẫn với dẫn xuất imidazole,"Bệnh Amib ruột cấp tính & bệnh Giardia liều duy nhất, có thể chia nhỏ liều, người lớn: 2 g; trẻ em: 30 mg/kg. Nhiễm Amib ruột không triệu chứng liều như trên, dùng trong 3 ngày. - Bệnh Amib gan uống 1 lần/ngày hoặc chia nhỏ liều, người lớn: 1,5 g/ngày x 5 ngày; trẻ em: 30 mg/kg/ngày x 5 ngày. - Huyết trắng do nhiễm Trichomonas, do nhiễm khuẩn âm đạo người lớn: 2 g liều duy nhất, nên điều trị cả vợ & chồng","Buồn nôn, nôn, đau thượng vị, vị kim loại, viêm dạ dày, mề đay, chóng mặt","Warfarin, rượu. Thông tin về hoạt chất: Secnidazole Thuốc này chứa hoạt chất Secnidazole . Để biết thêm thông tin chi tiết về cơ chế tác dụng, dược lực học, dược động học của hoạt chất này, vui lòng xem: Xem chi tiết hoạt chất Secnidazole",https://thuocbietduoc.com.vn/thuoc-19377/seczolin.aspx,"Intas Pharm., Ltd - India",
Efindom DT 100,VN-14084-11,Viên nén rã,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm",Cefpodoxime proxetil,Hộp 2 vỉ x 10 viên,Cefpodoxime (100mg Cefpodoxime),"Cefpodoxime được chỉ định để điều trị các nhiễm khuẩn sau đây : - Nhiễm khuẩn hô hấp trên bao gồm viêm tai giữa cấp, viêm xoang, viêm amiđan và viêm họng. - Viêm phổi cấp tính mắc phải trong cộng đồng. - Nhiễm lậu cầu cấp chưa có biến chứng. - Nhiễm khuẩn đường tiểu chưa có biến chứng. - Nhiễm khuẩn da và cấu trúc da",Cefpodoxime Cefpodoxime proxetil được chống chỉ định ở các bệnh nhân có tiền sử nhạy cảm với cefpodoxime proxetil,"Người lớn: - Nhiễm khuẩn hô hấp trên, kể cả viêm amiđan và viêm họng: 100 mg mỗi 12 giờ trong 10 ngày. - Viêm phổi cấp tính mắc phải trong cộng đồng: 200 mg mỗi 12 giờ trong 14 ngày. - Nhiễm lậu cầu cấp chưa có biến chứng: liều duy nhất 200 mg. - Nhiễm khuẩn đường tiểu chưa có biến chứng: 100 mg mỗi 12 giờ trong 7 ngày. - Nhiễm khuẩn da và cấu trúc da: 400 mg mỗi 12 giờ trong 7 - 14 ngày. Trẻ em: - Viêm tai giữa cấp tính: 10 mg/kg/ngày (tối đa 400 mg/ngày chia làm 2 lần) trong 10 ngày. - Viêm họng và viêm amiđan: 10 mg/kg/ngày (tối đa 200 mg/ngày chia làm 2 lần) trong 10 ngày. - Cefpodoxime nên được chỉ định cùng với thức ăn. Ở các bệnh nhân suy thận (độ thanh thải creatinine dưới 30 ml/phút), khoảng cách giữa liều nên được tăng đến 24 giờ. - Không cần phải điều chỉnh liều ở các bệnh nhân xơ gan","Tác dụng phụ được ghi nhận trong các thử nghiệm lâm sàng thường nhẹ và thoáng qua, bao gồm: đi tiêu chảy, buồn nôn, nôn ói, đau bụng, viêm đại tràng và đau đầu. Hiếm khi xảy ra phản ứng quá mẫn, nổi ban, chứng ngứa, chóng mặt, chứng tăng tiểu cầu, chứng giảm tiểu cầu, giảm bạch cầu hoặc tăng bạch cầu ưa eosin","Nồng độ trong huyết tương giảm khoảng 30% khi Cefpodoxime proxetil được chỉ định cùng với thuốc kháng acid hoặc ức chế H2. Khi chỉ định Cefpodoxime đồng thời với hợp chất được biết là gây độc thận, nên theo dõi sát chức năng thận. Nồng độ cefpodoxime trong huyết tương gia tăng khi chỉ định Cefpodoxime với probenecid. Thay đổi các giá trị xét nghiệm: Cephalosporins làm cho thử nghiệm Coomb trực tiếp dương tính",https://thuocbietduoc.com.vn/thuoc-43729/efindom-dt-100.aspx,Vee Excel Drugs & Pharmaceuticals (P) Ltd - INDIA,Công ty TNHH Dược phẩm DOHA - VIETNAM
