Drug Name,Registration Number,Dosage Form,Category,Ingredients,Packaging,Active Ingredients,Indications,Contraindications,Dosage and Administration,Side Effects,Drug Interactions,Source URL,Manufacturer,Registrant
Samchundangcezime,VN-6355-02,Bột pha dung dịch tiêm,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm",Ceftazidime,Hộp 10 Lọ,Ceftazidime (1g),"Nhiễm trùng huyết, áp-xe phổi, viêm màng não. - Nhiễm trùng đường niệu, đường hô hấp dưới & viêm phổi, da & mô mềm, xương-khớp, đường hiêu hoá, gan mật & ổ bụng. - Nhiễm trùng ở bệnh nhân suy giảm miễn dịch",Quá mẫn với nhóm cephalosporin,"Tiêm IM hay IV: - Người lớn: 1 - 6 g/ngày. 500 mg, 1 g hoặc 2 g/12 giờ. - Ða số nhiễm trùng: 1 g/8 giờ hoặc 2 g/12 giờ","Rối loạn tiêu hoá, thay đổi huyết học, phản ứng quá mẫn",Chloramphenicol: đối kháng,https://thuocbietduoc.com.vn/thuoc-6492/samchundangcezime.aspx,"Samchundang Pharm Co., Ltd - KOREA","Phil International Co., Ltd - KOREA"
Roxitel,VN-8288-09,Viên nén bao phim,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm",Roxithromycin,Hộp 10 vỉ x 10 viên,Roxithromycin (-),"Nhiễm trùng tai mũi họng: viêm tai giữa, viêm amidan, viêm thực quản, viêm phổi, viêm phế quản, viêm xoang. - Nhiễm trùng đường niệu - sinh dục: viêm niệu đạo, viêm tuyến tiền liệt, viêm cổ tử cung, viêm cổ âm đạo, viêm vòi tử cung đặc biệt do nhiễm Chlamydia. - Nhiễm trùng da và mô mềm: viêm nang, nhọt, nhọt độc, chốc lở, bệnh mủ da, chứng viêm da do nhiễm trùng, viêm quầng, loét do nhiễm trùng. - Nhiễm trùng răng miệng",Quá mẫn với thành phần thuốc. Không dùng chung với ergotamin,"Người lớn: 150 mg x 2 lần/ngày hoặc 300 mg x 1 lần/ngày. Nên kéo dài ít nhất 2 ngày sau khi giảm triệu chứng, ít nhất 10 ngày trong trường hợp nhiễm Streptoccoci, viêm đường niệu, viêm âm đạo - cổ tử cung. Điều trị tối đa 4 tuần. - Trẻ em: 5-7,5 mg/kg/ngày","Nôn, buồn nôn, tiêu chảy, đau dạ dày","Disopyramide, Digoxin, Midazolam, Terfenadine",https://thuocbietduoc.com.vn/thuoc-29877/roxitel.aspx,"Theragen Etex Co., Ltd - KOREA","Schnell Korea Pharma Co., Ltd - KOREA"
Cevinale Inj,VN-1137-06,Bột pha tiêm-1g/500mg,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm","Cephradine , L-Arginine",Hộp 10 lọ,"Cephradine (-), L-Arginine (-)","Cephradine Nhiễm trùng đường hô hấp trên (viêm họng, viêm xoang, viêm tai giữa, viêm họng-phế quản); & dưới (viêm phế quản cấp & mãn, viêm phế quản phổi, viêm phổi thuỳ). Nhiễm trùng da & mô mềm (ápxe, viêm mô mềm, mụn, nhọt, chốc lở). Giúp giảm nguy cơ nhiễm trùng hậu phẫu khi phẫu thuật có nguy cơ nhiễm trùng cao",Cephradine Quá mẫn với cephalosporin,"Cephradine Uống không phụ thuộc bữa ăn. Trẻ 6-12 tuổi: 10mL/lần x 2-4 lần/ngày. Trẻ 1-6 tuổi: 5mL/lần x 2-4 lần/ngày. Trẻ < 1 tuổi: 25 mg/kg/ngày, chia 2-4 liều hoặc 1.25-2.5mL/lần x 2 lần/ngày. Viêm tai giữa 10-20mL/lần x 2-3 lần/ngày. Tối đa 4g/ngày. Suy thận: chỉnh liều theo ClCr","Cephradine Viêm lưỡi, ợ nóng, chóng mặt, buồn nôn, nôn, tiêu chảy, đau bụng, viêm âm đạo, bội nhiễm nấm. Mề đay, nổi mẩn, đau khớp, phù","Cephradine Dùng đồng thời probenecid uống sẽ cạnh tranh ức chế bài tiết của đa số các cephalosporin ở ống thận, làm tăng và kéo dài nồng độ của cephalosporin trong huyết thanh",https://thuocbietduoc.com.vn/thuoc-7394/cevinale-inj.aspx,"Korea Prime Pharma Co., Ltd - KOREA","Boram Pharma Co., Ltd - KOREA"
Fazidone Inj. 1g,VN-6179-08,Bột pha tiêm,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm",Cefazedone sodium,Hộp 10 lọ,Cefazedone sodium,,,,,,https://thuocbietduoc.com.vn/thuoc-27378/fazidone-inj-1g.aspx,Hawon Pharm Corporation - KOREA,
Rialcef,VN-12089-11,Bột pha hỗn dịch uống,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm",Cefixime,Hộp 20 gói,Cefixime (100mg),"– Nhiễm khuẩn đường tiết niệu không biến chứng do các vi khuẩn nhạy cảm, bệnh lậu không biến chứng. – Một số trường hợp viêm thận – bể thận và nhiễm khuẩn đường tiết niệu có biến chứng do các Enterobacteriaceae, nhưng kết quả điều trị kém hơn so với các trường hợp nhiễm khuẩn đường tiết niệu không biến chứng. – Viêm tai giữa, viêm họng và amiđan. – Viêm phế quản cấp và mạn. – Viêm phổi mắc phải tại cộng đồng thể nhẹ và vừa. – Bệnh thương hàn, bệnh lỵ",Bệnh nhân quá mẫn kháng sinh nhóm Cephalosporin. – Trẻ sơ sinh dưới 6 tháng tuổi,"Người lớn và trẻ em > 12 tuổi: 400 mg/ngày. Viêm nhiễm khuẩn đường niệu do lậu cầu: uống liều duy nhất 400mg hoặc 200mg x 2lần/ngày. Trẻ em 6 tháng – 12 tuổi: 8mg/kg x 1lần/ngày hoặc 4mg/kg x 2lần/ngày. – Đối với bệnh nhân suy thận, cần điều chỉnh liều cho phù hợp: Thời gian điều trị thông thường từ 5 – 10 ngày","– Các tác dụng không mong muốn thường thoáng qua, mức độ nhẹ và vừa. – Thường gặp rối loạn tiêu hóa, đau đầu, chóng mặt, bồn chồn, mất ngủ, mệt mỏi, ban đỏ, mày đay, sốt do thuốc. Rối loạn tiêu hóa thường xảy ra ngay trong 1 – 2 ngày đầu điều trị và đáp ứng với các thuốc điều trị triệu chứng, hiếm khi phải ngừng thuốc. – Ít gặp: tiêu chảy nặng do Clostridium difficile và viêm đại tràng giả mạc; phản vệ, phù mạch, hội chứng Stevens – Johnson, hồng ban đa dạng; giảm tiểu cầu, bạch cầu, bạch cầu ưa acid thoáng qua, giảm nồng độ hemoglobin và hematocrit; viêm gan và vàng da, tăng tạm thời AST, ALT, phosphatase kiềm, bilirubin, LDH; suy thận cấp, tăng nitrogen phi protein huyết tương và nồng độ creatinin huyết tương tạm thời; viêm và nhiễm nấm Candida âm đạo. – Hiếm gặp: co giật, thời gian prothrombin kéo dài. Thông báo cho Bác sĩ những tác dụng không mong muốn gặp phải khi sử dụng thuốc","– Probenecid làm tăng nồng độ đỉnh và AUC của thuốc, giảm độ thanh thải của thận và thể tích phân bố của thuốc. – Khi dùng chung với các thuốc chống đông như warfarin làm tăng thời gian prothrombin, có hoặc kèm theo chảy máu. – Khi dùng chung carbamazepin làm tăng nồng độ carbamazepin trong huyết tương. – Khi dùng chung nifedipin làm tăng sinh khả dụng của thuốc biểu hiện bằng tăng nồng độ đỉnh và AUC",https://thuocbietduoc.com.vn/thuoc-38179/rialcef.aspx,"XL Laboratories Pvt., Ltd - India",
Metavigel,VD-21850-14,Gel bôi da,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm","Metronidazol 0,1g/10g",Hộp 1 tuýp x 10g,Metronidazole (-),"Điều trị mụn mủ viêm, sưng to, mụn trứng cá Các bệnh nhiễm khuẩn ngoài da do vi khuẩn kỵ khí, giúp mau lành vết loét,vết cắt, vết bỏng Điều trị mụn mủ viêm",Mẫn cảm với các thành phần của thuốc,"Sau khi làm sạch và khô da vùng tổn thương, bôi 1 -2 lần /ngày. dùng trong 8 tuần","Mẩn ngứa, kích ứng da, nóng rát, ban đỏ tại vị trí bôi thuốc. Nếu gặp những triệu chứng kể trên hay các triệu chứng bất thường khác hãy ngưng dùng thuốc và trao đổi lại với bác sĩ để có biện pháp xử lý","Metronidazole Không nên phối hợp: - Disulfiram: vì có thể gây cơn hoang tưởng và rối loạn tâm thần. - Rượu: hiệu ứng antabuse (nóng, đỏ, nôn mửa, tim đập nhanh)",https://thuocbietduoc.com.vn/thuoc-48469/metavigel.aspx,Công ty cổ phần Dược phẩm Hà Tây - VIETNAM,
Pyrazinamid,VNB-1106-02,Viên nén,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm",Pyrazinamide,Hộp 1 lọ 500 viên nén,Pyrazinamide (-),"Kết hợp với các thuốc kháng lao khác, đặc biệt trong 8 tuần đầu giai đoạn điều trị ngắn hạn","Quá mẫn cảm với thuốc. Tổn thương gan nặng, bệnh gan cấp, gout cấp. Suy gan. Phụ nữ có thai, cho con bú","Người lớn 1,5 g/ngày hoặc 2 g x 3 lần/tuần hoặc 3 g x 2 lần/tuần","Suy gan. Tăng urê máu & bệnh gout. Rối loạn tiêu hóa. Ảnh hưởng lên hệ tạo máu, quá mẫn","Pyrazinamide Pyrazinamid làm tăng ure máu và làm giảm hiệu quả điều trị của các thuốc trị bệnh gout như allopurinol, colchicin, probenecid, sulffinpyaon. cần liều chỉnh các thuốc này để tăng acid uric huyết và bệnh gout khi chúng được dùng đồng thời với pyrazinamid. Pyrazinamid làm giảm nồng độ ciclosporin khi dùng đồng thời. Phải theo dõi nồng độ ciclosporin trong huyết thanh",https://thuocbietduoc.com.vn/thuoc-18529/pyrazinamid.aspx,Công ty cổ phần Dược phẩm Hà Tây - VIETNAM,
Getimox 625,VN-6164-08,Viên nén bao phim,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm","Amoxicillin Trihydrate, Clavulanat Kali",Hộp 2 vỉ nhôm/nhôm x 6 viên,Amoxicillin (-),"Điều trị trong thời gian ngắn các trường hợp nhiễm khuẩn sau: – Nhiễm khuẩn đường hô hấp trên: Viêm Amidan, viêm xoang, viêm tai giữa đã được điều trị bằng các kháng sinh thông thường nhưng không giảm. – Nhiễm khuẩn đường hô hấp dưới bởi các chủng H. influenzae và Branhamella catarrbalissản sinh beta– lactamase: Viêm phế quản cấp và mãn, viêm phổi– phế quản. – Nhiễm khuẩn nặng đường tiết niệu– sinh dục bởi các chủng E. coli, Klebsiella và Enterobacter sản sinh beta– lactamase: Viêm bàng quang, viêm niệu đạo, viêm bể thận (nhiễm khuẩn đường sinh dục nữ);. – Nhiễm khuẩn da và mô mềm: Mụn nhọt, áp xe, nhiễm khuẩn vết thương. – Nhiễm khuẩn xương và khớp: Viêm tủy xương. – Nhiễm khuẩn nha khoa: Áp xe ổ răng. – Nhiễm khuẩn khác: Sản phụ khoa, ổ bụng","– Mẫn cảm với nhóm Beta– lactam (các Penicillin, Cephalosporin). Những người có tiền sử vàng da hoặc rối loạn gan mật do dùng Amoxicillin, Clavulanate hay các Penicillin",tính theo hàm lượng amoxicilin có trong thuốc. Người lớn và trẻ em ≥ 12 tuổi: Liều dùng: tính theo hàm lượng amoxicilin có trong thuốc. Người lớn và trẻ em ≥ 12 tuổi: – Nhiễm khuẩn nhẹ và vừa: 1 viên (500mg amoxicilin) cách 12 giờ/lần. – Nhiễm khuẩn nặng: 1 viên(500 mg amoxicilin) cách 8 giờ/lần. Trẻ em 6 tuổi và cân nặng < 25kg nên điều trị dạng hỗn dịch hoặc dạng thuốc gói. Nên uống thuốc vào đầu bữa ăn để giảm thiểu hiện tượng không dung nạp thuốc ở dạ dày– ruột. Điều trị không được vượt quá 14 ngày mà không khám lại,"– Thường gặp: Tiêu chảy, ngoại ban, ngứa. – Ít gặp: Tăng bạch cầu ái toan, buồn nôn, nôn, viêm gan và vàng da ứ mật, tăng transaminase. – Hiếm gặp: Phản ứng phản vệ, phù Quincke, giảm nhẹ tiểu cầu, giảm bạch cầu, thiếu máu tán huyết, viêm đại tràng giả mạc, hội chứng Stevens– Johnson, ban đỏ đa dạng, viêm da bong, hoại tử biểu bì do ngộ độc, viêm thận kẽ. – Thông báo cho bác sỹ những tác dụng không mong muốn gặp phải khi sử dụng thuốc","– Thuốc có thể gây kéo dài thời gian chảy máu và thời gian prothrombin. Vì vậy cần phải cẩn thận đối với những người bệnh đang điều trị bằng thuốc chống đông máu. – Thuốc có thể làm giảm hiệu quả thuốc tránh thai uống, do đó cần phải báo trước cho người bệnh. – Probenecid kéo dài thời gian đào thải của Amoxicillin nhưng không ảnh hưởng đến sự đào thải của Acid clavulanic",https://thuocbietduoc.com.vn/thuoc-27363/getimox-625.aspx,"Getz Pharm Pvt., Ltd - PAKISTAN",
Roxithromycin 50mg,VNB-0022-02,Thuốc bột,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm",Roxithromycin,Hộp 20 gói thuốc bột,Roxithromycin (50mg),"Nhiễm trùng tai mũi họng: viêm tai giữa, viêm amidan, viêm thực quản, viêm phổi, viêm phế quản, viêm xoang. - Nhiễm trùng đường niệu - sinh dục: viêm niệu đạo, viêm tuyến tiền liệt, viêm cổ tử cung, viêm cổ âm đạo, viêm vòi tử cung đặc biệt do nhiễm Chlamydia. - Nhiễm trùng da và mô mềm: viêm nang, nhọt, nhọt độc, chốc lở, bệnh mủ da, chứng viêm da do nhiễm trùng, viêm quầng, loét do nhiễm trùng. - Nhiễm trùng răng miệng",Quá mẫn với thành phần thuốc,"Uống trước bữa ăn 15 phút. - Người lớn: liều dùng mỗi ngày cho người lớn là 300 mg chia 2 lần. - Trẻ em: 5 - 8 mg/kg/ngày, chia 2 lần. - Trẻ em: 6 – 11 kg: 1/2 gói x 2 lần/ngày. - Trẻ em: 12 – 23 kg: 1 gói x 2 lần/ngày. - Trẻ em: 24 – 40 kg: 2 gói x 2 lần/ngày","Buồn nôn, nôn, đau bụng, đầy bụng, chóng mặt, nhức đầu, ù tai, ngứa, mề đay, khó chịu. - Liều cao: tăng men gan, viêm gan ứ mật",Không dùng với ergotamin & dẫn xuất,https://thuocbietduoc.com.vn/thuoc-7941/roxithromycin-50mg.aspx,Công ty cổ phần Dược phẩm Dược liệu Mê Kông - VIETNAM,
Linxox,VNB-3843-05,Viên nang,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm",Lincomycin hydrochloride,Hộp 10 vỉ x 10 viên nang,Lincomycin (-),"Nhiễm trùng đường hô hấp. - Nhiễm khuẩn tai mũi họng. - Nhiễm trùng ổ bụng. - Nhiễm trùng sản phụ khoa. - Nhiễm trùng xương và khớp. - Nhiễm trùng da và mô mềm, nhiễm trùng răng. - Nhiễm trùng máu và viêm màng trong tim",Quá mẫn với lincomycin & clindamycin. - Bệnh màng não. - Phụ nữ có thai & cho con bú. - Không dùng chung với erythromycin,"Người lớn: - Nhiễm trùng nặng: 1 - 2 viên mỗi 6 giờ. - Nhiễm trùng nghiêm trọng: 2 - 3 viên mỗi 6 giờ. Trẻ em: - Nhiễm trùng nặng: 8 - 16 mg/kg/ngày, chia 3 - 4 lần. - Nhiễm trùng nghiêm trọng: 16 - 20 mg/kg/ngày, chia 3 - 4 lần","Buồn nôn, nôn, tiêu chảy",Lincomycin Ðối kháng với erythromycin,https://thuocbietduoc.com.vn/thuoc-14132/linxox.aspx,Công ty cổ phần Dược & thiết bị vật tư Y tế Thanh Hóa - VIETNAM,
