Drug Name,Registration Number,Dosage Form,Category,Ingredients,Packaging,Active Ingredients,Indications,Contraindications,Dosage and Administration,Side Effects,Drug Interactions,Source URL,Manufacturer,Registrant
Korucin Tab,880115450125,Viên nén bao phim-200mg,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm",Ofloxacin,Hộp 10 vỉ x 10 viên,Ofloxacin (200mg),"Bệnh nhân trưởng thành bị nhiễm trùng niệu sinh dục: viêm bể thận, tiền liệt tuyến, bàng quang, mào tinh, nhiễm trùng do phẫu thuật. - Ðiều trị nhiễm trùng đường hô hấp: viêm phổi, viêm phế quản, áp xe phổi, dãn phế quản, viêm tai giữa, viêm xoang, viêm amiđan. - Ðiều trị nhiễm trùng: Máu, xương khớp, mắt, mật & tuyến tiền liệt, da & mô mềm, sản phụ khoa","Quá mẫn với quinolone. Trẻ em, trẻ dậy thì. Có thai & cho con bú",Uống: 200-400 mg x 2 lần/ngày x 7-14 ngày tùy bệnh lý. - Suy thận ClCr 20-50 mL/phút: giảm nửa liều; ClCr < 20 mL/phút: giảm nửa liều dùng xen kẽ cách ngày,"Tiêu chảy, nôn, mệt mỏi, phát ban, chóng mặt","Thuốc kháng acid: Theophylline, Warfarin. - Thuốc uống trị đái tháo đường",https://thuocbietduoc.com.vn/thuoc-16947/korucin-tab.aspx,"Hankook Korus Pharma Co., Ltd - KOREA",
A.T Ribavirin,VD-29688-18,Dung dịch uống,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm",Mỗi 10 ml dung dịch chứa: Ribavirin 400 mg,Hộp 1 chai 30 ml; Hộp 1 chai 60 ml; Hộp 1 chai 100 ml,Ribavirin (400 mg),"Viêm gan A, B, C do virus, Herpes zoster, herpes simplex. Rút ngắn thời gian bị cúm. - Các bệnh virus ở trẻ em: sởi, quai bị, thủy đậu, hợp bào hô hấp",Suy thận nặng (ClCr < 30 mL/phút);. Thiếu máu mạn tính (Hb < 10 g/dl). Thai kỳ. Mẫn cảm với thuốc,"Người lớn: Viêm gan A 800 mg/ngày, chia ra nhiều lần x 10 - 14 ngày. - Viêm gan B & C 800 - 1200 mg/ngày, chia 3 - 4 lần x 6 tháng - 1 năm. - Herpes zoster/simplex 800 - 1200 mg/ngày, chia 3 - 4 lần x 7 - 10 ngày. - Dự phòng tái phát Herpes sinh dục 400 mg/ngày, chia 1 - 2 lần x 6 tháng","Thiếu máu tán huyết nhẹ. Ðau cơ, buồn nôn, mệt mỏi & ngứa (hồi phục sau khi ngưng điều trị). Tăng bilirubin, acid uric huyết thanh. Rối loạn tiêu hóa, TKTW",Ribavirin Khi dùng bằng đường toàn thân người ta thấy có sự hiệp lực giữa Ribavirin và dideoxyinosine (ddI) trong việc ức chế HIV,https://thuocbietduoc.com.vn/thuoc-54627/at-ribavirin.aspx,Công ty Cổ phần Dược phẩm An Thiên - VIETNAM,
Crocin 100mg,VNA-1663-04,Viên nang,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm",Cefixime,Hộp 1 vỉ x 10 viên nang,Cefixime (100mg),"Nhiễm khuẩn đường hô hấp trên và dưới. Viêm tai giữa cấp tính. Nhiễm khuẩn đường niệu, viêm niệu đạo do lậu cầu",Bệnh nhân quá mẫn kháng sinh nhóm Cephalosporin. Trẻ sơ sinh dưới 6 tháng tuổi,Người lớn và trẻ em > 12 tuổi: Liều thường dùng là 400mg/ngày. Điều trị viêm nhiễm khuẩn đường niệu do lậu cầu uống liều duy nhất 400mg hoặc 200mg x 2lần/ngày. Trẻ em 6 tháng - 12 tuổi: 8mg/kg x 1lần/ngày hoặc 4mg/kg x 2lần/ngày,"Các phản ứng phụ xảy ra thường nhẹ và tự hồi phục như tiêu chảy, đau bụng buồn nôn, nôn, viêm ruột kết giả mạc, đau đầu, chóng mặt. Phản ứng quá mẫn: Dị ứng da, mề đay, ngứa rất hiếm khi xảy ra",Sử dụng đồng thời cefixime với carbamazepine làm tăng nồng độ carbamazepine trong huyết tương. Probenecid làm tăng và kéo dài tác động của cefixime,https://thuocbietduoc.com.vn/thuoc-5819/crocin-100mg.aspx,Công ty cổ phần Pymepharco VTYT Phú Yên - VIETNAM,
Clavsun,VN-9986-10,Viên nén bao phim,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm",Amoxicillin ; Kali Clavulanat,Hộp 2 vỉ x 4 viên,Clavulanate Kali (-),"Clavulanate Kali Nhiễm khuẩn nặng đường hô hấp trên: viêm amidan , viêm xoang , viêm tai giữa đã được điều trị bằng các kháng sinh thông thường nhưng không đỡ. Nhiễm khuẩn đường hô hấp dưới bởi các chủng H.influenza và Branhamella catarrbalis sản sinh beta - lactamase: viêm phế quản cấp và mạn, viêm phổi - phế quản. Nhiễm khuẩn nặng đường tiết niệu - sinh dục bởi các chủgn E.coli, Klebsiella và Enterobacter sản sinh: viêm bàng quang , viêm niệu đạo , viêm bể thận (nhiễm khuẩn đường sinh dục nữ). Nhiễm khuẩn da và mô mềm: mụn nhọt, áp xe, nhiễm khuẩn máu sản khoa, nhiễm khuẩn trong ổ bụng (tiêm tĩnh mạch trong nhiễm khuẩn máu, viêm phúc mạc, nhiễm khuẩn sau mổ, đề phòng nhiễm khuẩn trong khi mổ dạ dày - ruột,tử cung, đầu và cổ, tim, thận, thay khớp và đường mật)",Clavulanate Kali Cần chú ý đến khả năng dị ứng chéo với các kháng sinh beta - lactam như các cephalosporin. Chú ý đến người bệnh có tiền sử vàng da/rối loạn chức năng gan do dùng amoxicillin và clavulanat hay các penicillin vì acid clavulanic gây tăng nguy cơ ứ mật trong gan,"Clavulanate Kali Dạng uống: - Liều người lớn: uống 1 viên 125 mg acid clavulanic cách 8 giờ /lần. Với nhiễm khuẩn nặng và nhiễm khuẩn đường hô hấp dưới điều trị 1 viên 125 mg acid clavulanic cách 8 giờ/lần, trong 5 ngày. - Liều trẻ em: + Trẻ em trên 40 kg: uống theo liều người lớn. Điều trị không được vượt quá 14 ngày mà không khám lại. Dạng tiêm: Người lớn và trẻ em trên 12 tuổi: tiêm tĩnh mạch trực tiếp rất chậm hoặc tiêm truyền nhanh 1 g/lần, cứ 8 giờ tiêm 1 lần. Trường hợp nhiễm khuẩn nặng hơn, có thể hoặc tăng liều tiêm (cứ 6 giờ tiêm 1 lần) hạơc tăng liều lên tới 6 g/ngày. Không bao giờ vượt quá 200 mg acid clavulanic cho mỗi lần tiêm. Dự phòng nhiễm khuẩn khi phẫu thuật: tiêm tĩnh mạch 1 g vào lúc gây tiền mê. Trẻ em, trẻ đang bú, trẻ sơ sinh: dùng loại lọ tiêm 500 mg. Không vượt quá 5 mg/kg thể trọng đối với acid clavulanic cho mỗi lần tiêm. Trẻ em từ ba tháng đến 12 tuổi: 100 mg/kg/ngày, chia làm 4 lần, tiêm tĩnh mạch trực tiếp rất chậm hoặc tiêm truyền","Clavulanate Kali Các tác dụng không mong muốn thường gặp nhất là những phản ứng về tiêu hoá: ỉa chảy, buồn nôn, nôn. Ngoài ra còn có thể gây ngoại ban, ngứa. Ít gặp: tăng bạch cầu ái toan, viêm gan, vàng da ứ mật, tăng transaminase, ngứa, ban đỏ, phát ban. Hiếm gặp: phản ứng phản vệ, phù Quincke, giảm nhẹ tiểu cầu, giảm bạch cầu, thiếu máu tan máu, viêm đại tràng giả mạc, hội chứng Stevens - Johnson, ban đỏ đa dạng, viêm da bong, hoại tử biểu bì do ngộ độc, viêm thận kẽ","Clavulanate Kali Thuốc có thể gây kéo dài thời gian chảy máu và đông máu. Vì vậy cần phải cẩn thận đối với những người bệnh đang điều trị bằng thuốc chống đông máu. Giống các kháng sinh có phổ tác dụng rộng, thuốc có thể làm giảm hiệu quả của các thuốc tránh thai uống, do đó cần phải báo trước cho người bệnh",https://thuocbietduoc.com.vn/thuoc-32745/clavsun.aspx,Farma Glow - INDIA,Công ty cổ phần Dược phẩm Minh Kỳ - VIETNAM
Ceftriaxone sodium for Inj,VN-8567-04,Thuốc bột pha tiêm,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm",Ceftriaxone,,Ceftriaxone (1g),"Nhiễm trùng hô hấp, tai - mũi - họng, thận - tiết niệu sinh dục, nhiễm trùng máu, viêm màng não mủ. - Dự phòng nhiễm trùng hậu phẫu, nhiễm trùng xương khớp, da, vết thương & mô mềm, viêm phúc mạc, viêm túi mật, viêm đường mật & nhiễm trùng tiêu hóa","Quá mẫn cảm với ceftriaxone hoặc cephalosporin, penicilline","Tiêm IM hoặc IV: - Người lớn & trẻ > 12 tuổi: 1 - 2 g/ngày; trường hợp nặng: 4 g/ngày. - Trẻ 15 ngày tuổi đến 12 tuổi: 20 - 80 mg/kg. - Trẻ < 14 ngày tuổi: 20 - 50 mg/kg/ngày. - Viêm màng não: 100 mg/kg x 1 lần/ngày, tối đa 4 g. - Lậu: Tiêm IM liều duy nhất 250 mg. - Dự phòng trước phẫu thuật: 1 - 2 g tiêm 30 - 90 phút trước mổ","Quá mẫn da, vàng da, tăng men gan, suy thận cấp, viêm đại tràng nặng, viêm phổi kẽ & sốc",Thuốc lợi tiểu,https://thuocbietduoc.com.vn/thuoc-6559/ceftriaxone-sodium-for-inj.aspx,"Kaifeng Pharma Group Co., Ltd - CHINA",
Cefixim 50mg Tipharco,VD-35214-21,Hộp 20 gói x 1g thuốc bột pha hỗn dịch uống,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm",Cefixim trihydrat 56mg (tương đương Cefixim 50mg),Hộp 20 gói x 1g thuốc bột pha hỗn dịch uống,Cefixime (56mg),"Viêm tai giữa gây bởi Haemophilus influenzae, Moraxella (Branhamella) catarrhalis, Streptococcus pyogenese. Viêm xoang, viêm hầu họng, viêm amiđan gây bởi Streptococcus pyogenese. Viêm phổi, viêm phế quản cấp và đợt kịch phát cấp của viêm phế quản mạn tính gây bởi Streptococcus pneumoniae, Haemophilus influenzae. Viêm đường mật, viêm túi mật. Viêm bàng quang, viêm thận – bể thận, nhiễm khuẩn đường tiểu không biến chứng gây bởi Escherichia coli, Proteus mirabilis. Bệnh lậu không biến chứng (cổ tử cung/ niệu đạo) gây bởi Neisseria gonorrhoeae",Bệnh nhân có tiền sử mẫn cảm với các kháng sinh Betalactam,"được tính theo trọng lượng cơ thể: 8mg/ kg trọng lượng cơ thể/ ngày, chia làm 2 lần. Dưới 6 tháng tuổi: theo chỉ định của bác sĩ. (Liều tính theo gói 50mg) Từ 6 tháng – 2 tuổi: ½ gói x 2 lần/ ngày. Từ 2 – 3 tuổi: 1 gói x 2 lần/ ngày. Từ 4 – 5 tuổi: 1½ gói x 2 lần/ ngày. Từ 6 – 12 tuổi: 2 gói x 2 lần/ ngày","Rối loạn tiêu hoá như tiêu chảy, đau bụng, buồn nôn, nôn, đầy hơi. - Nhức đầu, chóng mặt, nổi mẩn, ngứa, mề đay. - Hiếm: viêm đại tràng giả mạc, giảm tiểu cầu, bạch cầu, tăng bạch cầu ái toan, thay đổi chức năng gan, thận, hội chứng Lyell, hội chứng Stevens - Johnson. - Thông báo cho bác sĩ những tác dụng không mong muốn gặp phải khi sử dụng thuốc","Cefixim làm tăng tác dụng của thuốc kháng đông (Warfarin) và làm tăng nồng độ Carbamazepin trong máu khi sử dụng đồng thời. - Xét nghiệm glucose trong nước tiểu bằng Clinitest, dung dịch Benedict, dung dịch Fehling có thể cho kết quả dương tính giả khi bệnh nhân dùng Cefixim. - Xét nghiệm Coomb có thể cho kết quả dương tính giả trong quá trình điều trị với Cefixim",https://thuocbietduoc.com.vn/thuoc-40318/cefixim-50mg.aspx,Công ty cổ phần Dược phẩm Tipharco Tiền Giang - VIETNAM,
Axolev,VN-0200-06,Viên nén bao phim-500mg,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm",Levofloxacine,Hộp 3 vỉ x 4 viên,Levofloxacine (-),"Điều trị nhiễm trùng nhẹ, trung bình & nặng ở người lớn > 18 tuổi như: Viêm xoang cấp, đợt cấp viêm phế quản mãn, viêm phổi, viêm phổi mắc phải trong cộng đồng, nhiễm trùng da & cấu trúc da, nhiễm trùng đường tiết niệu có & không có biến chứng, viêm thận - bể thận cấp tính","Quá mẫn với thành phần thuốc, nhóm quinolon","Levofloxacine Liều lượng và đường dùng tùy từng loại và độ nặng nhiễm khuẩn và độ nhạy của tác nhân gây bệnh được nghi ngờ. Trong trường hợp cần phải điều trị bước đầu bằng đường tĩnh mạch với dung dịch tiêm truyền levofloxacin (bệnh nhân không thích hợp với đường uống), sau vài ngày có thể chuyển từ đường tĩnh mạch lúc đầu sang dùng đường uống với cùng liều lượng, tùy theo tình trạng của bệnh nhân","Có thể có: buồn nôn, nôn, tiêu chảy, thay đổi vị giác, rối loạn giấc ngủ, nhức đầu, chóng mặt. - Hiếm: nhạy cảm ánh nắng, đau sưng khớp/cơ/gân, đau bụng, thay đổi thị giác, phản ứng dị ứng. - Rất hiếm: động kinh, rối loạn tinh thần, đau ngực, rối loạn nhịp tim, bồn chồn, lo âu, thay đổi lượng nước tiểu, vàng mắt/da, Bội nhiễm khi dùng kéo dài","Levofloxacine Thuốc viên: Không có sự tương tác có ý nghĩa với thức ăn. Hai giờ trước hoặc sau khi uống levofloxacin, không nên uống những chế phẩm có chứa các cation hóa trị hai hoặc hóa trị ba như các muối sắt hoặc thuốc kháng-acid chứa magnesi hay nhôm, vì có thể làm giảm hấp thu. Sinh khả dụng của levofloxacin giảm có ý nghĩa khi thuốc được dùng chung với sucralfate, vì thế chỉ nên uống sucralfate 2 giờ sau khi uống levofloxacin. Thuốc và dung dịch tiêm truyền: Trong một nghiên cứu lâm sàng, không thấy các tương tác dược động học của levofloxacin với theophyllin. Tuy vậy, ngưỡng co giật ở não có thể giảm đáng kể khi dùng chung quinolone với theophyllin, fenbufen hoặc các thuốc kháng viêm không-steroid tương tự hoặc các thuốc khác có tác dụng hạ thấp ngưỡng co giật. Nên thận trọng khi dùng chung levofloxacin với những thuốc ảnh hưởng sự bài tiết ở ống thận như probenecid và cimetidine, đặc biệt là trên bệnh nhân suy thận.Tăng thời gian đông máu (PT/INR) và/hoặc chảy máu, có thể trầm trọng, đã được báo cáo trên bệnh nhân được điều trị levofloxacin phối hợp với thuốc đối kháng vitamin K (ví dụ warfarin). Do đó, cần theo dõi các xét nghiệm đông máu trên bệnh nhân được điều trị thuốc đối kháng vitamin K",https://thuocbietduoc.com.vn/thuoc-13932/axolev.aspx,"Axon Drugs Private., Ltd - India",Công ty TNHH Dược phẩm Lê Khải - VIETNAM
Vancomycin 500mg Vinphaco,893115078524,Thuốc tiêm bột đông khô,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm",Vancomycin (dưới dạng Vancomycin hydrochlorid) 500mg,Hộp 1 lọ + 1 ống nước cất pha tiêm 10ml hộp 5 lọ hộp 10 lọ,Vancomycin (dưới dạng Vancomycin hydrochlorid),"Viêm nội tâm mạc, viêm tủy xương, viêm phổi, nhiễm trùng huyết, nhiễm trùng da. - Viêm khớp, viêm phổi sinh mủ, viêm mủ màng phổi, viêm phúc mạc, viêm màng não",Quá mẫn với vancomycin hoặc các kháng sinh khác,"Người lớn liều dùng đường IV: 500 mg trong 6 giờ hoặc 1 g trong 12 giờ. - Trẻ em liều dùng đường IV: 10 mg/kg TRONG 6 giờ. - Trẻ sơ sinh, trẻ nhỏ liều dùng đường IV: 10 - 15 mg/kg trong 12 giờ","Vancomycin Các phản ứng sốt, buồn nôn, ớn lạnh, mẩn đỏ ở da, và sự thay đổi chức năng thận có thể xảy ra, và hiếm khi xảy ra phản ứng miễn dịch và giảm bạch cầu trung tính. Giảm tiểu cầu thì hiếm khi xuất hiện. Giảm bạch cầu trung tính thì biến mất khi ngưng điều trị. Tăng huyết áp thì xuất hiện ở 5-10% bệnh nhân. Ðộc tính trên tai và thận đã được quan sát. Các phản ứng liên quan đến việc tiêm truyền: - Ban đỏ ở cổ hoặc trên cơ thể với phát ban ở cổ có thể xảy ra kết hợp với chứng khó thở, mề đay và ngứa. - Hội chứng giảm huyết áp kết hợp giảm áp lực tâm thu từ vừa đến mức độ nặng. - Hội chứng viêm co cứng thì hiếm khi xuất hiện, được đặc trưng bởi các cơn đau cấp tính, co cơ ngực hoặc cơ gần cột sống. Nói chung, các phản ứng này có thể xuất hiện trong 20 phút hoặc có thể kéo dài trong vài giờ. Phản ứng miễn dịch, viêm tróc da, hội chứng Stevens- Johnson và viêm mạch thì hiếm khi được báo cáo","Thuốc gây mê. Các loại thuốc có độc tính trên hệ thần kinh & thận như amphotericin B, aminoglycoside, bacitracin, polymixin B, colistin, viomycin, cisplatin",https://thuocbietduoc.com.vn/thuoc-52896/vancomycin.aspx,Công ty cổ phần Dược phẩm Vĩnh Phúc VINPHACO - VIETNAM,
Cloppun dry syrup,VN-9107-04,Bột pha si rô,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm",Cefaclor,,Cefaclor (3;75g/100g),"Nhiễm khuẩn đường hô hấp trên và hô hấp dưới mức độ nhẹ và vừa do các vi khuẩn nhạy cảm: viêm tai giữa cấp, viêm xoang cấp, viêm họng, viêm amidan tái phát nhiều lần, viêm phế quản cấp có bội nhiễm, viêm phổi, đợt bùng phát của viêm phế quản mạn tính. - Nhiễm khuẩn đường tiết niệu không biến chứng do các chủng vi khuẩn nhạy cảm (bao gồm viêm thận - bể thận và viêm bàng quang);. - Nhiễm khuẩn da và mô mềm do các chủng Staphylococcus aureus nhạy cảm với methicilin và Streptococcus pyogenes nhạy cảm",Không dùng cho bệnh nhân nhạy cảm với kháng sinh nhóm cephalosporin và các thành phần khác của thuốc. Trẻ em dưới 1 tháng tuổi,"Cách sử dụng: Dùng thuốc đường uống. Cho thuốc vào trong ½ ly nước, khuấy đều tạo hỗn dịch","Ước tính gặp ở khoảng 4% người bệnh dùng cefaclor. Ban da và tiêu chảy thường gặp nhất. Thường gặp, ADR > 1/100 Máu: Tăng bạch cầu ưa eosin. Tiêu hóa: Tiêu chảy. Da: Ban da dạng sởi. Ít gặp, 1/1000 < ADR < 1/100 Toàn thân: Test Coombs trực tiếp dương tính. Máu: Tăng tế bào lympho, giảm bạch cầu, giảm bạch cầu trung tính. Tiêu hóa: Buồn nôn, nôn. Da: Ngứa, nổi mày day. Tiết niệu - sinh dục: Ngứa bộ phận sinh dục, viêm âm đạo, bệnh nấm Candida. Hiếm gặp, ADR < 1/1000 Toàn thân: Phản ứng phản vệ, sốt, triệu chứng giống bệnh huyết thanh (thường gặp ở bệnh nhi dưới 6 tuổi). Hội chứng Stevens-Johnson, hoại tử biểu bì nhiễm độc (hội chứng Lyell), ban da mụn mủ toàn thân. Phản ứng giống bệnh huyết thanh hay gặp ở trẻ em hơn người lớn: Ban da dạng, viêm hoặc đau khớp, sốt hoặc không, có thể kèm theo hạch to, protein niệu. Máu: Giảm tiểu cầu, thiếu máu tan huyết. Tiêu hóa: Viêm đại tràng màng giả. Gan: Tăng enzym gan (ASAT, ALAT, phosphatase kiềm), viêm gan và vàng da ứ mật. Thận: Viêm thận kẽ hồi phục, tăng nhẹ urê huyết hoặc creatinin huyết thanh hoặc xét nghiệm nước tiểu không bình thường. Thần kinh trung ương: Cơn động kinh (với liều cao và suy giảm chức năng thận), tăng kích động, đau đầu, tình trạng bồn chồn, mất ngủ, lú lẫn, tăng trương lực, chóng mặt, ảo giác và ngủ gà. Bộ phận khác: Đau khớp. Hướng dẫn cách xử trí ADR Ngừng sử dụng cefaclor nếu xảy ra dị ứng. Các triệu chứng quá mẫn có thể dai dẳng trong một vài tháng. Trong trường hợp dị ứng hoặc phản ứng quá mẫn nghiêm trọng cần tiến hành điều trị hỗ trợ (duy trì thông khí, thở oxy, sử dụng adrenalin, tiêm tĩnh mạch corticosteroid). Ngừng điều trị nếu bị tiêu chảy nặng. Các trường hợp bị viêm đại tràng màng giả do Clostridium difficile phát triển quá mức ở thể nhẹ, thường chỉ cần ngừng thuốc. Các trường hợp thể vừa và nặng, cần lưu ý cho truyền dịch và chất điện giải, bổ sung protein và điều trị bằng kháng sinh có tác dụng với C.difficile (nên dùng metronidazol, không dùng vancomycin). Phản ứng giống bệnh huyết thanh thường xảy ra một vài ngày sau khi bắt đầu điều trị và giảm dần sau khi ngừng thuốc vài ngày. Đôi khi phản ứng nặng cần điều trị bằng các thuốc kháng histamin và corticosteroid. Nếu bị co giật do thuốc điều trị, phải ngừng thuốc. Có thể điều trị bằng thuốc chống co giật nếu cần","Dùng dồng thời cefaclor và warfarin hiếm khi gây tăng thời gian prothrombin, biểu hiện gây chảy máu hay không chảy máu lâm sàng. Bệnh nhân thiếu vitamin K (ăn kiêng, hội chứng kém hấp thu) và bệnh nhân suy thận là những đối tượng có nguy cơ cao gặp tương tác. Đối với những bệnh nhân này, nên theo dõi thường xuyên thời gian prothrombin và điều chỉnh liều nếu cần thiết. Probenecid làm tăng nồng độ cefaclor trong huyết thanh. Cefaclor dùng đồng thời với các thuốc kháng sinh aminoglycosid hoặc thuốc lợi tiểu furosemid có thể làm tăng độc tính đối với thận",https://thuocbietduoc.com.vn/thuoc-5314/cloppun-dry-syrup.aspx,"Korea Pharm Co., Ltd - KOREA",Kolon International Corp - KOREA
Leflumax 750mg,VN-14310-11,Viên nén bao phim,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm",Levofloxacin hemihydrate,Hộp 1 vỉ x 5 viên hộp 1 vỉ x 10 viên,Levofloxacine (750mg Levofloxacin),"Điều trị nhiễm trùng nhẹ, trung bình & nặng ở người lớn > 18 tuổi như: Viêm xoang cấp, đợt cấp viêm phế quản mãn, viêm phổi, viêm phổi mắc phải trong cộng đồng, nhiễm trùng da & cấu trúc da, nhiễm trùng đường tiết niệu có & không có biến chứng, viêm thận - bể thận cấp tính","Quá mẫn với thành phần thuốc, nhóm quinolon","Levofloxacine Liều lượng và đường dùng tùy từng loại và độ nặng nhiễm khuẩn và độ nhạy của tác nhân gây bệnh được nghi ngờ. Trong trường hợp cần phải điều trị bước đầu bằng đường tĩnh mạch với dung dịch tiêm truyền levofloxacin (bệnh nhân không thích hợp với đường uống), sau vài ngày có thể chuyển từ đường tĩnh mạch lúc đầu sang dùng đường uống với cùng liều lượng, tùy theo tình trạng của bệnh nhân","Có thể có: buồn nôn, nôn, tiêu chảy, thay đổi vị giác, rối loạn giấc ngủ, nhức đầu, chóng mặt. - Hiếm: nhạy cảm ánh nắng, đau sưng khớp/cơ/gân, đau bụng, thay đổi thị giác, phản ứng dị ứng. - Rất hiếm: động kinh, rối loạn tinh thần, đau ngực, rối loạn nhịp tim, bồn chồn, lo âu, thay đổi lượng nước tiểu, vàng mắt/da, Bội nhiễm khi dùng kéo dài","Levofloxacine Thuốc viên: Không có sự tương tác có ý nghĩa với thức ăn. Hai giờ trước hoặc sau khi uống levofloxacin, không nên uống những chế phẩm có chứa các cation hóa trị hai hoặc hóa trị ba như các muối sắt hoặc thuốc kháng-acid chứa magnesi hay nhôm, vì có thể làm giảm hấp thu. Sinh khả dụng của levofloxacin giảm có ý nghĩa khi thuốc được dùng chung với sucralfate, vì thế chỉ nên uống sucralfate 2 giờ sau khi uống levofloxacin. Thuốc và dung dịch tiêm truyền: Trong một nghiên cứu lâm sàng, không thấy các tương tác dược động học của levofloxacin với theophyllin. Tuy vậy, ngưỡng co giật ở não có thể giảm đáng kể khi dùng chung quinolone với theophyllin, fenbufen hoặc các thuốc kháng viêm không-steroid tương tự hoặc các thuốc khác có tác dụng hạ thấp ngưỡng co giật. Nên thận trọng khi dùng chung levofloxacin với những thuốc ảnh hưởng sự bài tiết ở ống thận như probenecid và cimetidine, đặc biệt là trên bệnh nhân suy thận.Tăng thời gian đông máu (PT/INR) và/hoặc chảy máu, có thể trầm trọng, đã được báo cáo trên bệnh nhân được điều trị levofloxacin phối hợp với thuốc đối kháng vitamin K (ví dụ warfarin). Do đó, cần theo dõi các xét nghiệm đông máu trên bệnh nhân được điều trị thuốc đối kháng vitamin K",https://thuocbietduoc.com.vn/thuoc-43460/leflumax-750mg.aspx,Laboratorio Elea S.a.c.i.f.y.a - ARGENTINA,Pharmaceuticals Production Company Hasco-Lek S.A - POLAND
