Drug Name,Registration Number,Dosage Form,Category,Ingredients,Packaging,Active Ingredients,Indications,Contraindications,Dosage and Administration,Side Effects,Drug Interactions,Source URL,Manufacturer,Registrant
Laclomez,VN-12354-11,Viên nén không bao,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm",Clarithromycin,Hộp 1 vỉ x 10 viên,Clarithromycin (500mg),"Clarithromycin Các bệnh nhiễm khuẩn do vi khuẩn nhạy cảm: - Nhiễm trùng đường hô hấp: viêm xoang , viêm họng , viêm tai giữa , viêm phế quản cấp và mạn tính, viêm phổi cộng đồng. - Nhiễm trùng da và mô mềm mức độ nhẹ đến vừa. - Nhiễm khuẩn bội nhiễm trên bệnh nhân nhiễm HIV do nhiễm Mycobacterium avium hay M. avium complex (MAC). - Viêm loét dạ dày -tá tràng do nhiễm H. pylori (thường phối hợp với một thuốc ức chế tiết acid dịch vị)","Clarithromycin - Tiền sử quá mẫn với những kháng sinh thuộc nhóm macrolid hoặc các thành phần của thuốc. - Bệnh nhân đang điều trị bằng terfenadin có tiền sử bệnh tim hoặc rối loạn điện giải. - Bệnh nhân đang dùng các dẫn chất như ergotamin, cisaprid, pimosid","Clarithromycin Người lớn và trẻ em trên 12 tuổi: - Nhiễm trùng đường hô hấp, da và mô mềm: liều thường dùng là 250mg x 2 lần/ngày trong 7 ngày. Trường hợp nhiễm trùng nặng có thể tăng liều lên 500mg x 2 lần/ngày và thời gian điều trị có thể kéo dài đến 14 ngày. - Trong viêm loét dạ dày tá tràng do nhiễm H. pylori: uống 1 viên x 2 lần/ngày, một đợt điều trị kéo dài 7-14 ngày, tùy theo công thức điều trị phối hợp. - Nhiễm Mycobacterium: khởi đầu 500mg x 2 lần/ngày trong 3-4 tuần, nếu không hiệu quả có thể tăng lên 1000mg/2 lần/ngày. Ðối với bệnh nhân suy thận, nên giảm một nửa tổng liều điều trị và không nên dùng quá 14 ngày. Dùng đường uống. Có thể dùng trước hay sau bữa ăn vì thức ăn không ảnh hưởng đến sinh khả dụng của thuốc","Clarithromycin Mặc dù nói chung Clarithromycin được dung nạp tốt, cũng như tất cả các loại thuốc khác, thuốc này có thể gây ra một số phản ứng phụ ở một số người. Thông thường là buồn nôn, nôn, đau bụng và tiêu chảy. Các phản ứng phụ ít gặp hơn như viêm miệng, viêm lưỡi, nhức đầu, rối loạn vị giác. Các phản ứng ở mức độ khác nhau có thể xảy ra như nổi mày đay, phát ban nhẹ, phản ứng phản vệ và hiếm hơn là hội chứng Stevens-Jonhson ở những cơ địa mẫn cảm đặc biệt. Viêm đại tràng giả mạc, rối loạn chức năng gan bao gồm thay đổi trên các xét nghiệm, viêm gan có hoặc không có vàng da đi kèm tuy nhiên thường có thể hồi phục. Rất hiếm gặp các rối loạn chức năng gan ở mức trầm trọng và suy gan gây tử vong","Clarithromycin Clarithromycin tương tác với các dẫn chất alkaloid gây co mạch của nấm cựa lõa mạch như ergotamin, dihydroertamin và làm tăng độc tính của các chất này vì vậy không được sử dụng để điều trị cùng một lúc. Giống như những macrolid khác, clarithromycin có thể làm tăng nồng độ các thuốc được chuyển hóa qua hệ cytocrom P450 khác như: warfarin, triazolam, lovastatin, disopyramid, phenytoin và cylosporin... vì vậy, cần thận trọng khi phối hợp. Clarithromycin làm tăng nồng độ theophyllin máu, do đó cần theo dõi nồng độ theophyllin huyết tương khi sử dụng đồng thời. Việc sử dụng clarithromycin trên những bệnh nhân đang dùng warfarin có thể làm tăng hiệu lực chống đông của warfarin vì vậy nên thường xuyên theo dõi thời gian prothrombin ở những bệnh nhân này. Hiệu quả của digoxin có thể tăng khi dùng đồng thời với clarithromycin vì vậy nên theo dõi nồng độ digoxin trong huyết thanh khi dùng kết hợp. Clarithromycin có thể làm tăng hiệu lực của carbamazepin do làm giảm tốc độ bài tiết. Các macrolid được ghi nhận là làm thay đổi chuyển hóa của terfenadin, gây tăng nồng độ của terfenadin (tình trạng này có thể đi kèm với rối loạn nhịp tim). Do đó, nên tránh chỉ định Clarithromycin cho những bệnh nhân đang dùng terfenadin hoặc bất kỳ những thuốc kháng histamin không gây ngủ có liên quan như astemizol. Việc sử dụng đồng thời Clarithromycin với zidovudin trên những bệnh nhân nhiễm HIV người lớn có thể làm giảm nồng độ zidovudin ở trạng thái bền. Ðể tránh tình trạng này, nên bố trí những liều Clarithromycin và zidovudin chéo nhau khoảng 1-2 giờ",https://thuocbietduoc.com.vn/thuoc-39094/laclomez.aspx,Gracure Pharmaceuticals Ltd - INDIA,Công ty cổ phần Dược Kim Bảng - VIETNAM
Clex,VN-6251-02,Viên nang,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm",Cefaclor,Hộp 2 vỉ; 10 vỉ x 10 viên,Cefaclor (250mg),"Nhiễm khuẩn đường hô hấp trên và hô hấp dưới mức độ nhẹ và vừa do các vi khuẩn nhạy cảm: viêm tai giữa cấp, viêm xoang cấp, viêm họng, viêm amidan tái phát nhiều lần, viêm phế quản cấp có bội nhiễm, viêm phổi, đợt bùng phát của viêm phế quản mạn tính. - Nhiễm khuẩn đường tiết niệu không biến chứng do các chủng vi khuẩn nhạy cảm (bao gồm viêm thận - bể thận và viêm bàng quang);. - Nhiễm khuẩn da và mô mềm do các chủng Staphylococcus aureus nhạy cảm với methicilin và Streptococcus pyogenes nhạy cảm",Không dùng cho bệnh nhân nhạy cảm với kháng sinh nhóm cephalosporin và các thành phần khác của thuốc. Trẻ em dưới 1 tháng tuổi,"Người lớn: Liều thông thường 250mg mỗi 8 giờ. Liều tối đa 4g/ngày. Viêm họng, viêm phế quản, viêm amiđan, nhiễm khuẩn da và mô mềm, nhiễm khuẩn dường tiết niệu dưới: 250 - 500mg x 2 lần/ngày; hoặc 250mg x 3 lần/ngày. Đối với các nhiễm khuẩn nặng hơn: 500mg x 3 lần/ngày. Trẻ em: Trẻ em > 1 tháng tuổi: Liều thông thường 20 - 40mg/kg/ngày, chia ra uống mỗi 8 giờ. Liều tối đa 1g/ngày. Viêm tai giữa ở trẻ em: 40mg/kg/ngày chia làm 2 - 3 lần. Trẻ em < 1 tháng tuổi: Liều lượng chưa được xác định. Bệnh nhân suy thận: Cefaclor có thể dùng cho bệnh nhân suy thận. Trường hợp suy thận nặng, cần điều chỉnh liều cho người lớn như sau: Nếu độ thanh thải creatinin 10 - 50ml/phút, dùng 50% liều thường dùng; nếu độ thanh thải creatinin < 10ml/phút, dùng 25% liều thường dùng. Bệnh nhân phải thẩm tách máu đều đặn: Dùng liều khởi đầu 250mg -1g trước khi thẩm tách máu và duy trì liều diều trị 250 - 500mg cứ 6 - 8 giờ một lần, trong thời gian giữa các lần thẩm tách. Người cao tuổi: Dùng liều như người lớn","Ước tính gặp ở khoảng 4% người bệnh dùng cefaclor. Ban da và tiêu chảy thường gặp nhất. Thường gặp, ADR > 1/100 Máu: Tăng bạch cầu ưa eosin. Tiêu hóa: Tiêu chảy. Da: Ban da dạng sởi. Ít gặp, 1/1000 < ADR < 1/100 Toàn thân: Test Coombs trực tiếp dương tính. Máu: Tăng tế bào lympho, giảm bạch cầu, giảm bạch cầu trung tính. Tiêu hóa: Buồn nôn, nôn. Da: Ngứa, nổi mày day. Tiết niệu - sinh dục: Ngứa bộ phận sinh dục, viêm âm đạo, bệnh nấm Candida. Hiếm gặp, ADR < 1/1000 Toàn thân: Phản ứng phản vệ, sốt, triệu chứng giống bệnh huyết thanh (thường gặp ở bệnh nhi dưới 6 tuổi). Hội chứng Stevens-Johnson, hoại tử biểu bì nhiễm độc (hội chứng Lyell), ban da mụn mủ toàn thân. Phản ứng giống bệnh huyết thanh hay gặp ở trẻ em hơn người lớn: Ban da dạng, viêm hoặc đau khớp, sốt hoặc không, có thể kèm theo hạch to, protein niệu. Máu: Giảm tiểu cầu, thiếu máu tan huyết. Tiêu hóa: Viêm đại tràng màng giả. Gan: Tăng enzym gan (ASAT, ALAT, phosphatase kiềm), viêm gan và vàng da ứ mật. Thận: Viêm thận kẽ hồi phục, tăng nhẹ urê huyết hoặc creatinin huyết thanh hoặc xét nghiệm nước tiểu không bình thường. Thần kinh trung ương: Cơn động kinh (với liều cao và suy giảm chức năng thận), tăng kích động, đau đầu, tình trạng bồn chồn, mất ngủ, lú lẫn, tăng trương lực, chóng mặt, ảo giác và ngủ gà. Bộ phận khác: Đau khớp. Hướng dẫn cách xử trí ADR Ngừng sử dụng cefaclor nếu xảy ra dị ứng. Các triệu chứng quá mẫn có thể dai dẳng trong một vài tháng. Trong trường hợp dị ứng hoặc phản ứng quá mẫn nghiêm trọng cần tiến hành điều trị hỗ trợ (duy trì thông khí, thở oxy, sử dụng adrenalin, tiêm tĩnh mạch corticosteroid). Ngừng điều trị nếu bị tiêu chảy nặng. Các trường hợp bị viêm đại tràng màng giả do Clostridium difficile phát triển quá mức ở thể nhẹ, thường chỉ cần ngừng thuốc. Các trường hợp thể vừa và nặng, cần lưu ý cho truyền dịch và chất điện giải, bổ sung protein và điều trị bằng kháng sinh có tác dụng với C.difficile (nên dùng metronidazol, không dùng vancomycin). Phản ứng giống bệnh huyết thanh thường xảy ra một vài ngày sau khi bắt đầu điều trị và giảm dần sau khi ngừng thuốc vài ngày. Đôi khi phản ứng nặng cần điều trị bằng các thuốc kháng histamin và corticosteroid. Nếu bị co giật do thuốc điều trị, phải ngừng thuốc. Có thể điều trị bằng thuốc chống co giật nếu cần","Dùng dồng thời cefaclor và warfarin hiếm khi gây tăng thời gian prothrombin, biểu hiện gây chảy máu hay không chảy máu lâm sàng. Bệnh nhân thiếu vitamin K (ăn kiêng, hội chứng kém hấp thu) và bệnh nhân suy thận là những đối tượng có nguy cơ cao gặp tương tác. Đối với những bệnh nhân này, nên theo dõi thường xuyên thời gian prothrombin và điều chỉnh liều nếu cần thiết. Probenecid làm tăng nồng độ cefaclor trong huyết thanh. Cefaclor dùng đồng thời với các thuốc kháng sinh aminoglycosid hoặc thuốc lợi tiểu furosemid có thể làm tăng độc tính đối với thận",https://thuocbietduoc.com.vn/thuoc-5310/clex.aspx,Kolon International Corp - KOREA,
"Neumomicid 1,5 M.I.U",VD-17820-12,Viên nén bao phim,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm",Spiramycin,Hộp 1chai 50v nén bao phim,Spiramycin,"Các bệnh nhiễm khuẩn đường hô hấp trên và dưới, tai mũi họng, phế quản phổi, miệng, da, sinh dục, xương khớp. - Phòng ngừa tái phát thấp khớp cấp tính ở bệnh nhân dị ứng với Penicillin",Dị ứng với Spiramycin,"Spiramycin Người lớn: 2-3 viên 3MUI hoặc 4-6 viên 1,5MUI (tức 6-9MUI) một ngày, chia làm 2 hoặc 3 lần. Nhũ nhi và trẻ em: 150.000-300.000UI/kg/ngày, chia làm 2-3 lần Viên 3MUI không sử dụng cho trẻ em. Phòng ngừa viêm màng não do não cầu khuẩn: Người lớn: 3MUI/12 giờ, trong 5 ngày. Trẻ em: 75.000UI/kg/12 giờ, trong 5 ngày","Hiếm: buồn nôn, nôn, tiêu chảy, dị ứng ngoài da",Spiramycin Lưu ý khi phối hợp: - Levodopa: ức chế sự hấp thu của carbidopa với giảm nồng độ levodopa trong huyết tương. Theo dõi lâm sàng và điều chỉnh liều levodopa,https://thuocbietduoc.com.vn/thuoc-19888/neumomicid.aspx,Công ty cổ phần công nghệ sinh học Dược phẩm ICA - VIETNAM,
Bidorox 125,VN-8983-04,Bột pha hỗn dịch uống,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm",Cefuroxime,,Cefuroxime (125mg/gói),"Cefuroxime Nhiễm khuẩn đường hô hấp dưới như viêm phổi và viêm phế quản cấp và mạn. Nhiễm khuẩn đường hô hấp trên như nhiễm khuẩn ở tai, mũi, họng ví dụ như viêm tai giữa, viêm xoang, viêm amydale và viêm họng",Cefuroxime Mẫn cảm đã biết với các kháng sinh cephalosporine,thuốc uống,"Cefuroxime Nhìn chung, các tác dụng ngoại ý do cefuroxime axetil thường nhẹ và chỉ kéo dài trong một thời gian ngắn. Một số ít bệnh nhân dùng cefuroxime axetil đã bị rối loạn tiêu hóa, bao gồm tiêu chảy, buồn nôn và nôn mửa. Cũng như với các kháng sinh phổ rộng, cũng có một vài báo cáo (rất hiếm) về viêm đại tràng giả mạc. Nhức đầu cũng đã được báo cáo. Tăng bạch cầu ưa eosine và sự gia tăng thoáng qua của các enzyme ở gan [ALT(SGPT) và AST (SGOT)] đã được ghi nhận trong quá trình điều trị bằng Zinnat. Một phản ứng Coombs dương tính đã được báo cáo trong quá trình điều trị bằng cephalosporine; hiện tượng này có thể can thiệp vào thử nghiệm chéo của máu",Cefuroxime - Giảm,https://thuocbietduoc.com.vn/thuoc-6709/bidorox-125.aspx,Helix Life Sciences Inc - India,Công ty TNHH Kiến Việt - VIETNAM
Mipalin Powder for Injection 250mg,VN-16066-12,Bột pha dung dịch tiêm,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm","Imipenem , Cilastatin sodium",Hộp 10 lọ,"Imipenem (250mg; 250mg Cilasta), Imipenem + Cilastatin (-)","Nhiễm trùng ổ bụng, đường hô hấp dưới, phụ khoa, tiết niệu sinh dục, xương khớp, da và mô mềm. - Viêm nội tâm mạc, nhiễm trùng huyết",Quá mẫn cảm với thuốc,"được tính theo imipenem trong hợp chất. - Nhiễm khuẩn do vi khuẩn nhạy cảm, tiêm truyền tĩnh mạch, người lớn, 1 - 2 g/ngày (chia làm 3 - 4 lần); - Nhiễm khuẩn do vi khuẩn giảm nhạy cảm, người lớn, tới 50 mg/kg/ngày (liều tối đa 4 g/ngày); -Trẻ trên 3 tháng tuổi, 60 mg/kg/ngày (liều tối đa 2 g/ngày) chia làm 4 lần; - Trẻ em nặng trên 40 kg, liều người lớn. - Người lớn Phòng ngừa: tiêm truyền IV 1000 mg khi bắt đầu gây mê 1000 mg vào 3 giờ sau đó. - Suy thận: liều không quá 2 g/ngày. Pha chế và sử dụng: Theo chỉ dẫn của nhà sản xuất. Dung dịch tiêm bắp không được dùng tiêm tĩnh mạch. Dung dịch tiêm truyền không được dùng tiêm bắp","Viêm tĩnh mạch huyết khối, đau, cứng, hồng ban & nhạy đau tại chỗ tiêm",Ganciclovir,https://thuocbietduoc.com.vn/thuoc-43165/mipalin-powder-for-injection-250mg.aspx,"Gentle Pharma Co., Ltd. - TAIWAN","Sunward Pharm Pte., Ltd - Singapore"
Ciprofloxacin injection 200mg/100ml,VN-8462-04,Dung dịch tiêm,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm",Ciprofloxacin,Chai 100ml,Ciprofloxacin (200mg/100ml),"Viêm phổi, viêm phế quản, viêm màng phổi, ápxe phổi, giãn phế quản bội nhiễm, đợt cấp viêm phế quản mạn. - Viêm cầu thận cấp & mạn, viêm tuyến tiền liệt, viêm bàng quang. - Viêm tai giữa, viêm xoang. - Nhiễm lậu cầu. - Nhiễm khuẩn da & mô mềm. - Tiêu chảy nhiễm khuẩn, viêm phúc mạc, viêm đường mật, viêm phần phụ, viêm xương khớp. - Nhiễm khuẩn huyết",Dị ứng với nhóm quinolone. Trẻ em đang tăng trưởng,Truyền IV chậm người lớn: + Nhiễm khuẩn đường tiểu 100 mg x 2 lần/ngày. + Nhiễm khuẩn hô hấp dưới 200 mg x 2 lần/ngày. + Nhiễm khuẩn khác 200 mg x 2 lần/ngày. + Lậu liều đơn 150 mg. + Suy thận ClCr < 20 mL/phút: 1/2 liều,"Tiêu chảy, nôn, đau bụng, nhức đầu, khó ngủ, nổi mẩn. - Rất hiếm: co giật, đau khớp, tăng men gan, viêm tĩnh mạch",Theophylline. Probenecid,https://thuocbietduoc.com.vn/thuoc-8195/ciprofloxacin-injection-200mg100ml.aspx,"Claris Lifesciences., Ltd - India",
Biomyces 2G,VD-25794-16,Bột pha tiêm,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm",Ceftezol (dưới dạng Ceftezol natri) 2000mg,Hộp 1 lọ,Ceftezole (2000mg),"Ceftezole Viêm phổi, giãn phế quản bội nhiễm, nhiễm khuẩn thứ phát bệnh đường hô hấp trên, áp xe phổi, viêm màng bụng, viêm thận-bể thận, viêm bàng quang, viêm niệu đạo",Ceftezole Tiền sử sốc với thuốc này. Quá mẫn với thuốc gây tê lidocain (khi tiêm IM);,"Ceftezole Tiêm IV chậm hoặc truyền IV hoặc tiêm IM. Người lớn: 0.5-4 g/ngày, dùng 1 lần hoặc chia làm 2 lần. Trẻ em: 20-80 mg/kg/ngày, dùng 1 lần hoặc chia làm 2 lần. Chỉnh liều theo tuổi & triệu chứng","Ceftezole Quá mẫn: phát ban, mề đay, ngứa, sốt (nên ngưng thuốc), hiếm khi sốc. Ðôi khi: buồn nôn, nôn, chán ăn, tăng men gan. Hiếm khi: thay đổi huyết học, viêm ruột giả mạc, nhiễm nấm candida, viêm phỗi kẽ, thiếu vit K, vit nhóm B. Rất hiếm: suy thận",,https://thuocbietduoc.com.vn/thuoc-53751/biomyces-2g.aspx,Công ty cổ phần dược phẩm TW1 Pharbaco - VIETNAM,
Panacef,VN-5533-01,Viên nang,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm",Cefaclor,Hộp 10 vỉ x 10 viên,Cefaclor (250mg),"Nhiễm khuẩn đường hô hấp trên và hô hấp dưới mức độ nhẹ và vừa do các vi khuẩn nhạy cảm: viêm tai giữa cấp, viêm xoang cấp, viêm họng, viêm amidan tái phát nhiều lần, viêm phế quản cấp có bội nhiễm, viêm phổi, đợt bùng phát của viêm phế quản mạn tính. - Nhiễm khuẩn đường tiết niệu không biến chứng do các chủng vi khuẩn nhạy cảm (bao gồm viêm thận - bể thận và viêm bàng quang);. - Nhiễm khuẩn da và mô mềm do các chủng Staphylococcus aureus nhạy cảm với methicilin và Streptococcus pyogenes nhạy cảm",Không dùng cho bệnh nhân nhạy cảm với kháng sinh nhóm cephalosporin và các thành phần khác của thuốc. Trẻ em dưới 1 tháng tuổi,"Người lớn: Liều thông thường 250mg mỗi 8 giờ. Liều tối đa 4g/ngày. Viêm họng, viêm phế quản, viêm amiđan, nhiễm khuẩn da và mô mềm, nhiễm khuẩn dường tiết niệu dưới: 250 - 500mg x 2 lần/ngày; hoặc 250mg x 3 lần/ngày. Đối với các nhiễm khuẩn nặng hơn: 500mg x 3 lần/ngày. Trẻ em: Trẻ em > 1 tháng tuổi: Liều thông thường 20 - 40mg/kg/ngày, chia ra uống mỗi 8 giờ. Liều tối đa 1g/ngày. Viêm tai giữa ở trẻ em: 40mg/kg/ngày chia làm 2 - 3 lần. Trẻ em < 1 tháng tuổi: Liều lượng chưa được xác định. Bệnh nhân suy thận: Cefaclor có thể dùng cho bệnh nhân suy thận. Trường hợp suy thận nặng, cần điều chỉnh liều cho người lớn như sau: Nếu độ thanh thải creatinin 10 - 50ml/phút, dùng 50% liều thường dùng; nếu độ thanh thải creatinin < 10ml/phút, dùng 25% liều thường dùng. Bệnh nhân phải thẩm tách máu đều đặn: Dùng liều khởi đầu 250mg -1g trước khi thẩm tách máu và duy trì liều diều trị 250 - 500mg cứ 6 - 8 giờ một lần, trong thời gian giữa các lần thẩm tách. Người cao tuổi: Dùng liều như người lớn","Ước tính gặp ở khoảng 4% người bệnh dùng cefaclor. Ban da và tiêu chảy thường gặp nhất. Thường gặp, ADR > 1/100 Máu: Tăng bạch cầu ưa eosin. Tiêu hóa: Tiêu chảy. Da: Ban da dạng sởi. Ít gặp, 1/1000 < ADR < 1/100 Toàn thân: Test Coombs trực tiếp dương tính. Máu: Tăng tế bào lympho, giảm bạch cầu, giảm bạch cầu trung tính. Tiêu hóa: Buồn nôn, nôn. Da: Ngứa, nổi mày day. Tiết niệu - sinh dục: Ngứa bộ phận sinh dục, viêm âm đạo, bệnh nấm Candida. Hiếm gặp, ADR < 1/1000 Toàn thân: Phản ứng phản vệ, sốt, triệu chứng giống bệnh huyết thanh (thường gặp ở bệnh nhi dưới 6 tuổi). Hội chứng Stevens-Johnson, hoại tử biểu bì nhiễm độc (hội chứng Lyell), ban da mụn mủ toàn thân. Phản ứng giống bệnh huyết thanh hay gặp ở trẻ em hơn người lớn: Ban da dạng, viêm hoặc đau khớp, sốt hoặc không, có thể kèm theo hạch to, protein niệu. Máu: Giảm tiểu cầu, thiếu máu tan huyết. Tiêu hóa: Viêm đại tràng màng giả. Gan: Tăng enzym gan (ASAT, ALAT, phosphatase kiềm), viêm gan và vàng da ứ mật. Thận: Viêm thận kẽ hồi phục, tăng nhẹ urê huyết hoặc creatinin huyết thanh hoặc xét nghiệm nước tiểu không bình thường. Thần kinh trung ương: Cơn động kinh (với liều cao và suy giảm chức năng thận), tăng kích động, đau đầu, tình trạng bồn chồn, mất ngủ, lú lẫn, tăng trương lực, chóng mặt, ảo giác và ngủ gà. Bộ phận khác: Đau khớp. Hướng dẫn cách xử trí ADR Ngừng sử dụng cefaclor nếu xảy ra dị ứng. Các triệu chứng quá mẫn có thể dai dẳng trong một vài tháng. Trong trường hợp dị ứng hoặc phản ứng quá mẫn nghiêm trọng cần tiến hành điều trị hỗ trợ (duy trì thông khí, thở oxy, sử dụng adrenalin, tiêm tĩnh mạch corticosteroid). Ngừng điều trị nếu bị tiêu chảy nặng. Các trường hợp bị viêm đại tràng màng giả do Clostridium difficile phát triển quá mức ở thể nhẹ, thường chỉ cần ngừng thuốc. Các trường hợp thể vừa và nặng, cần lưu ý cho truyền dịch và chất điện giải, bổ sung protein và điều trị bằng kháng sinh có tác dụng với C.difficile (nên dùng metronidazol, không dùng vancomycin). Phản ứng giống bệnh huyết thanh thường xảy ra một vài ngày sau khi bắt đầu điều trị và giảm dần sau khi ngừng thuốc vài ngày. Đôi khi phản ứng nặng cần điều trị bằng các thuốc kháng histamin và corticosteroid. Nếu bị co giật do thuốc điều trị, phải ngừng thuốc. Có thể điều trị bằng thuốc chống co giật nếu cần","Dùng dồng thời cefaclor và warfarin hiếm khi gây tăng thời gian prothrombin, biểu hiện gây chảy máu hay không chảy máu lâm sàng. Bệnh nhân thiếu vitamin K (ăn kiêng, hội chứng kém hấp thu) và bệnh nhân suy thận là những đối tượng có nguy cơ cao gặp tương tác. Đối với những bệnh nhân này, nên theo dõi thường xuyên thời gian prothrombin và điều chỉnh liều nếu cần thiết. Probenecid làm tăng nồng độ cefaclor trong huyết thanh. Cefaclor dùng đồng thời với các thuốc kháng sinh aminoglycosid hoặc thuốc lợi tiểu furosemid có thể làm tăng độc tính đối với thận",https://thuocbietduoc.com.vn/thuoc-5371/panacef.aspx,"Samchully Pharm Co., Ltd - KOREA",LG International Corp - KOREA
Cefotaxime G.E.S,VN-0820-06,Bột pha tiêm-1g Cefotaxime,"Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm",Cefotaxime sodium,Hộp 1 lọ + 1 lọ dung môi 4ml,Cefotaxime (-),"Nhiễm trùng máu, nhiễm khuẩn xương, khớp, viêm màng tim do cầu khuẩn Gr(+) & vi khuẩn Gr(-), viêm màng não. - Nhiễm khuẩn da & mô mềm, ổ bụng, phụ khoa & sản khoa, hô hấp dưới, tiết niệu, lậu. - Dự phòng nhiễm khuẩn sau phẫu thuật","Quá mẫn với cephalosporin, phụ nũ có thai & cho con bú","Người lớn: + Nhiễm khuẩn không biến chứng 1 g/12 giờ, tiêm IM hay IV. + Nhiễm khuẩn nặng, viêm màng não 2 g/6 - 8 giờ, tiêm IM hay IV. + Lậu không biến chứng liều duy nhất 1 g, tiêm IM. + Dự phòng nhiễm khuẩn phẫu thuật 1 g, tiêm 30 phút trước mổ. - Trẻ em: + Trẻ 2 tháng hoạc < 12 tuổi 50 mg - 150 mg/kg/ngày, chia làm 3 - 4 lần, Tiêm IM hay IV. + Sơ sinh > 7 ngày 75 - 150 mg/kg/ngày, chia làm 3 lần, tiêm IV. + Trẻ sinh non & sơ sinh < 7 ngày 50 mg/kg/ngày, chia làm 2 lần, tiêm IV. - Suy thận ClCr < 10 mL: giảm nửa liều","Quá mẫn, sốt, tăng bạch cầu ái toan. - Buồn nôn, nôn, đau bụng hay tiêu chảy, viêm đại tràng giả mạc. - Thay đổi huyết học. - Nhức đầu, hoa mắt, ảo giác. - Loạn nhịp tim","Probenecid, azlocillin, fosfomycin",https://thuocbietduoc.com.vn/thuoc-6246/cefotaxime-ges.aspx,LDP Laboratoires Torlan - Spain,Công ty TNHH Dược phẩm Việt Pháp - VIETNAM
Klonaxol,VN-20927-18,"Bột pha tiêm, truyền","Thuốc trị ký sinh trùng, chống nhiễm khuẩn, kháng virus,kháng nấm",Cefoperazon (dưới dạng Cefoperazol natri) 1g,"Hộp 1 lọ, 10 lọ",Cefoperazone (1g),"Nhiễm trùng hô hấp, tiết niệu, tiêu hóa. - Viêm phúc mạc, nhiễm trùng máu, viêm màng não mủ, sản phụ khoa, xương khớp",Quá mẫn với cefoperazone hoặc cephalosporins,"Tiêm IM hoặc IV: - Người lớn: 2 - 4 g/ngày, chia 2 lần. + Nhiễm trùng nặng: 8 - 12 g/ngày chia 2 - 3 lần, có thể tăng lên 16 g. - Sơ sinh & trẻ em: 50 - 200 mg/kg/ngày, chia 2 - 4 lần. + Viêm màng não: có thể tăng lên 300 mg/kg. - Suy thận liều tối đa 4 g/ngày","Quá mẫn da, vàng da, tăng men gan, suy thận cấp, viêm đại tràng nặng, viêm phổi kẽ & sốc",Tránh uống chất cồn,https://thuocbietduoc.com.vn/thuoc-56757/klonaxol.aspx,Klonal S.R.L - ARGENTINA,Công ty CP Dược phẩm Duy Tân DUYTANPHARMA - VIETNAM
